Symbol,Name,Market Cap,Sector,Industry
CAR,"Avis Budget Group, Inc.",$18.12 B,Industrials,Rental & Leasing Services
AA,Alcoa Corporation,$16.85 B,Basic Materials,Aluminum
CLF,Cleveland-Cliffs Inc.,$16.20 B,Basic Materials,Steel
CZR,"Caesars Entertainment, Inc.",$15.68 B,Consumer Discretionary,Resorts & Casinos
PLUG,Plug Power Inc.,$15.03 B,Industrials,Electrical Equipment & Parts
OVV,Ovintiv Inc.,$13.68 B,Energy,Oil & Gas E&P
BLDR,"Builders FirstSource, Inc.",$13.13 B,Industrials,Building Products & Equipment
DAR,Darling Ingredients Inc.,$12.92 B,Consumer Staples,Packaged Foods
GME,GameStop Corp.,$12.69 B,Consumer Discretionary,Specialty Retail
AMC,"AMC Entertainment Holdings, Inc.",$12.36 B,Communication Services,Entertainment
X,United States Steel Corporation,$10.48 B,Basic Materials,Steel
BJ,"BJ's Wholesale Club Holdings, Inc.",$9.49 B,Consumer Staples,Discount Stores
AR,Antero Resources Corporation,$9.49 B,Energy,Oil & Gas E&P
WSC,WillScot Mobile Mini Holdings Corp.,$9.35 B,Industrials,Rental & Leasing Services
LAD,"Lithia Motors, Inc.",$9.19 B,Consumer Discretionary,Auto & Truck Dealerships
THC,Tenet Healthcare Corporation,$8.89 B,Healthcare,Medical Care Facilities
TTEK,"Tetra Tech, Inc.",$8.76 B,Industrials,Engineering & Construction
WMS,"Advanced Drainage Systems, Inc.",$8.60 B,Industrials,Building Products & Equipment
CHDN,Churchill Downs Incorporated,$8.46 B,Consumer Discretionary,Gambling
LSCC,Lattice Semiconductor Corporation,$8.24 B,Technology,Semiconductors
EGP,"EastGroup Properties, Inc.",$8.16 B,Real Estate,REIT—Industrial
KBR,"KBR, Inc.",$7.78 B,Industrials,Engineering & Construction
IIVI,II-VI Incorporated,$7.55 B,Technology,Scientific & Technical Instruments
RRC,Range Resources Corporation,$7.50 B,Energy,Oil & Gas E&P
M,"Macy's, Inc.",$7.49 B,Consumer Discretionary,Department Stores
RCM,R1 RCM Inc.,$7.43 B,Healthcare,Health Information Services
BYD,Boyd Gaming Corporation,$7.42 B,Consumer Discretionary,Resorts & Casinos
DECK,Deckers Outdoor Corporation,$7.40 B,Consumer Discretionary,Footwear & Accessories
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,$7.38 B,Healthcare,Biotechnology
BEPC,Brookfield Renewable Corporation,$7.37 B,Utilities,Utilities—Renewable
PDCE,"PDC Energy, Inc.",$7.31 B,Energy,Oil & Gas E&P
BRKS,"Brooks Automation, Inc.",$7.31 B,Technology,Semiconductor Equipment & Materials
SITE,"SiteOne Landscape Supply, Inc.",$7.08 B,Industrials,Industrial Distribution
SF,Stifel Financial Corp.,$7.03 B,Financials,Capital Markets
CWEN,"Clearway Energy, Inc.",$7.02 B,Utilities,Utilities—Renewable
CWEN.A,"Clearway Energy, Inc.",$7.02 B,Utilities,Utilities—Renewable
SYNA,Synaptics Incorporated,$6.98 B,Technology,Semiconductors
SWAV,"ShockWave Medical, Inc.",$6.95 B,Healthcare,Medical Devices
PFGC,Performance Food Group Company,$6.75 B,Consumer Staples,Food Distribution
STAG,"STAG Industrial, Inc.",$6.71 B,Real Estate,REIT—Industrial
LPX,Louisiana-Pacific Corporation,$6.69 B,Industrials,Building Products & Equipment
VAC,Marriott Vacations Worldwide Corporation,$6.64 B,Consumer Discretionary,Resorts & Casinos
SLAB,Silicon Laboratories Inc.,$6.59 B,Technology,Semiconductors
RH,RH,$6.59 B,Consumer Discretionary,Specialty Retail
INSP,"Inspire Medical Systems, Inc.",$6.57 B,Healthcare,Medical Devices
SAIA,"Saia, Inc.",$6.47 B,Industrials,Trucking
INOV,"Inovalon Holdings, Inc.",$6.42 B,Healthcare,Health Information Services
WCC,"WESCO International, Inc.",$6.42 B,Industrials,Industrial Distribution
PENN,"Penn National Gaming, Inc.",$6.39 B,Consumer Discretionary,Resorts & Casinos
TNET,"TriNet Group, Inc.",$6.36 B,Industrials,Staffing & Employment Services
FFIN,"First Financial Bankshares, Inc.",$6.32 B,Financials,Banks
MTZ,"MasTec, Inc.",$6.28 B,Industrials,Engineering & Construction
ASGN,ASGN Incorporated,$6.24 B,Industrials,Staffing & Employment Services
GTLS,"Chart Industries, Inc.",$6.15 B,Industrials,Specialty Industrial Machinery
EME,"EMCOR Group, Inc.",$6.15 B,Industrials,Engineering & Construction
MTDR,Matador Resources Company,$6.06 B,Energy,Oil & Gas E&P
STMP,Stamps.com Inc.,$6.04 B,Technology,Software—Application
RUN,Sunrun Inc.,$5.93 B,Technology,Solar
BLD,TopBuild Corp.,$5.92 B,Industrials,Engineering & Construction
ESGR,Enstar Group Limited,$5.91 B,Financials,Insurance—Diversified
HLI,"Houlihan Lokey, Inc.",$5.90 B,Financials,Capital Markets
RPD,"Rapid7, Inc.",$5.83 B,Technology,Software—Application
SSB,SouthState Corporation,$5.80 B,Financials,Banks
TXRH,"Texas Roadhouse, Inc.",$5.80 B,Consumer Discretionary,Restaurants
TENB,"Tenable Holdings, Inc.",$5.78 B,Technology,Software—Infrastructure
MEDP,"Medpace Holdings, Inc.",$5.77 B,Healthcare,Diagnostics & Research
SEAS,"SeaWorld Entertainment, Inc.",$5.73 B,Consumer Discretionary,Leisure
WK,Workiva Inc.,$5.69 B,Technology,Software—Application
EXPO,"Exponent, Inc.",$5.63 B,Industrials,Consulting Services
AQUA,Evoqua Water Technologies Corp.,$5.60 B,Industrials,Pollution & Treatment Controls
OMCL,"Omnicell, Inc.",$5.58 B,Healthcare,Health Information Services
POWI,"Power Integrations, Inc.",$5.56 B,Technology,Semiconductors
HALO,"Halozyme Therapeutics, Inc.",$5.56 B,Healthcare,Biotechnology
MGY,Magnolia Oil & Gas Corporation,$5.54 B,Energy,Oil & Gas E&P
QLYS,"Qualys, Inc.",$5.49 B,Technology,Software—Infrastructure
