Company,Symbol,GICS Sector,GICS Sub-Industry
10x Genomics,TXG,Health Care,Health Care Technology
3M,MMM,Industrials,Industrial Conglomerates
A. O. Smith,AOS,Industrials,Building Products
AAON,AAON,Industrials,Building Products
Abbott Laboratories,ABT,Health Care,Health Care Equipment
AbbVie,ABBV,Health Care,Pharmaceuticals
Acadia Healthcare,ACHC,Health Care,Health Care Facilities
Accenture,ACN,Information Technology,IT Consulting & Other Services
Acuity Brands,AYI,Industrials,Electrical Components & Equipment
Adobe Inc.,ADBE,Information Technology,Application Software
ADT Inc.,ADT,Consumer Discretionary,
Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail
Advanced Drainage Systems,WMS,Industrials,
Advanced Micro Devices,AMD,Information Technology,Semiconductors
AECOM,ACM,Industrials,Construction & Engineering
AES Corporation,AES,Utilities,Independent Power Producers & Energy Traders
Affiliated Managers Group,AMG,Financials,Asset Management & Custody Banks
Affirm Holdings,AFRM,Information Technology,
Aflac,AFL,Financials,Life & Health Insurance
AGCO,AGCO,Industrials,Agricultural & Farm Machinery
Agilent Technologies,A,Health Care,Health Care Equipment
Agree Realty,ADC,Real Estate,
AGNC Investment,AGNC,Financials,
Air Lease Corporation,AL,Industrials,
Air Products,APD,Materials,Industrial Gases
Airbnb,ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise lines"
Akamai Technologies,AKAM,Information Technology,Internet Services & Infrastructure
Alaska Air Group,ALK,Industrials,Passenger Airlines
Albemarle Corporation,ALB,Materials,Specialty Chemicals
Albertsons,ACI,Consumer Staples,
Alcoa,AA,Materials,Aluminum
Alexandria Real Estate Equities,ARE,Real Estate,Office REITs
Align Technology,ALGN,Health Care,Health Care Supplies
Allegion,ALLE,Industrials,Building Products
Allegro MicroSystems,ALGM,Information Technology,
Alliant Energy,LNT,Utilities,Electric Utilities
Allison Transmission,ALSN,Industrials,
Allstate,ALL,Financials,Property & Casualty Insurance
Ally Financial,ALLY,Financials,
Alnylam Pharmaceuticals,ALNY,Health Care,
Alphabet (Class A),GOOGL,Communication Services,Interactive Media & Services
Alphabet (Class C),GOOG,Communication Services,Interactive Media & Services
Altria,MO,Consumer Staples,Tobacco
Amazon,AMZN,Consumer Discretionary,Broadline Retail
Amcor,AMCR,Materials,Paper & Plastic Packaging Products & Materials
Amdocs,DOX,Information Technology,
Amedisys,AMED,Health Care,Health Care Services
Amer Sports,AS,Consumer Discretionary,Leisure Products
Ameren,AEE,Utilities,Multi-Utilities
American Airlines Group,AAL,Industrials,Passenger Airlines
American Electric Power,AEP,Utilities,Electric Utilities
American Express,AXP,Financials,Consumer Finance
American Financial Group,AFG,Financials,Multi-line Insurance
American Homes 4 Rent,AMH,Real Estate,
American International Group,AIG,Financials,Property & Casualty Insurance
American Tower,AMT,Real Estate,Telecom Tower REITs
American Water Works,AWK,Utilities,Water Utilities
Americold,COLD,Real Estate,
Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks
Ametek,AME,Industrials,Electrical Components & Equipment
Amgen,AMGN,Health Care,Biotechnology
Amkor Technology,AMKR,Information Technology,Semiconductors
Amphenol,APH,Information Technology,Electronic Components
Analog Devices,ADI,Information Technology,Semiconductors
Annaly Capital Management,NLY,Financials,
Ansys,ANSS,Information Technology,Application Software
Antero Midstream,AM,Energy,
Antero Resources,AR,Energy,
AON,AON,Financials,Insurance Brokers
APA Corporation,APA,Energy,Oil & Gas Exploration & Production
APi Group,APG,Industrials,Construction & Engineering
Apellis Pharmaceuticals,APLS,Health Care,Biotechnology
Apollo Global Management,APO,Financials,
AppFolio,APPF,Information Technology,Application Software
Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
Applied Materials,AMAT,Information Technology,Semiconductor Materials & Equipment
AppLovin,APP,Information Technology,
AptarGroup,ATR,Materials,"Metal, Glass & Plastic Containers"
Aptiv,APTV,Consumer Discretionary,Automotive Parts & Equipment
Aramark,ARMK,Consumer Discretionary,
Arch Capital Group,ACGL,Financials,Reinsurance
Archer Daniels Midland,ADM,Consumer Staples,Agricultural Products & Services
Ares Management,ARES,Financials,
Arista Networks,ANET,Information Technology,Communications Equipment
Armstrong World Industries,AWI,Industrials,
Arrow Electronics,ARW,Information Technology,Technology Distributors
Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers
Ashland Global,ASH,Materials,Diversified Chemicals
Aspen Technology,AZPN,Information Technology,Application Software
Assurant,AIZ,Financials,Multi-line Insurance
Assured Guaranty,AGO,Financials,
Astera Labs,ALAB,Information Technology,Semiconductors
AT&T,T,Communication Services,Integrated Telecommunication Services
ATI Inc.,ATI,Materials,Steel
Atlassian,TEAM,Information Technology,Application Software
Atmos Energy,ATO,Utilities,Gas Utilities
Autodesk,ADSK,Information Technology,Application Software
Automatic Data Processing,ADP,Industrials,Human Resource & Employment Services
AutoNation,AN,Consumer Discretionary,Automotive Retail
AutoZone,AZO,Consumer Discretionary,Automotive Retail
AvalonBay Communities,AVB,Real Estate,Residential REITs
Avangrid,AGR,Utilities,
Avantor,AVTR,Health Care,
Avery Dennison,AVY,Materials,Paper & Plastic Packaging Products & Materials
Avis Budget Group,CAR,Industrials,Passenger Ground Transportation
Avnet,AVT,Information Technology,Technology Distributors
Axalta,AXTA,Materials,
AXIS Capital,AXS,Financials,
Axon Enterprise,AXON,Industrials,Aerospace & Defense
Azek,AZEK,Industrials,
Azenta,AZTA,Health Care,Life Sciences Tools & Services
Baker Hughes,BKR,Energy,Oil & Gas Equipment & Services
Ball Corporation,BALL,Materials,"Metal, Glass & Plastic Containers"
Bank of America,BAC,Financials,Diversified Banks
Bank OZK,OZK,Financials,Regional Banks
"Bath & Body Works, Inc.",BBWI,Consumer Discretionary,Other Specialty Retail
Baxter International,BAX,Health Care,Health Care Equipment
Becton Dickinson,BDX,Health Care,Health Care Equipment
BellRing Brands,BRBR,Consumer Staples,Packaged Foods & Meats
Bentley Systems,BSY,Information Technology,
Berkshire Hathaway,BRK.B,Financials,Multi-Sector Holdings
Berry Global,BERY,Materials,
Best Buy,BBY,Consumer Discretionary,Computer & Electronics Retail
Bill.com,BILL,Information Technology,
Bio-Rad Laboratories,BIO,Health Care,Life Sciences Tools & Services
Bio-Techne,TECH,Health Care,Life Sciences Tools & Services
Biogen,BIIB,Health Care,Biotechnology
BioMarin Pharmaceutical,BMRN,Health Care,
Birkenstock,BIRK,Consumer Discretionary,Footwear
BJ's Wholesale Club,BJ,Consumer Staples,Hypermarkets & Super Centers
BlackRock,BLK,Financials,Asset Management & Custody Banks
Blackstone Inc.,BX,Financials,Asset Management & Custody Banks
H&R Block,HRB,Consumer Discretionary,Specialized Consumer Services
"Block, Inc.",SQ,Financials,Transaction & Payment Processing Services
Blue Owl Capital,OWL,Financials,
BNY Mellon,BK,Financials,Asset Management & Custody Banks
Boeing,BA,Industrials,Aerospace & Defense
BOK Financial Corporation,BOKF,Financials,
Booking Holdings,BKNG,Consumer Discretionary,
Booz Allen Hamilton,BAH,Industrials,
BorgWarner,BWA,Consumer Discretionary,Automotive Parts & Equipment
Boston Beer Company,SAM,Consumer Staples,Brewers
Boston Scientific,BSX,Health Care,Health Care Equipment
Boyd Gaming,BYD,Consumer Discretionary,Casinos & Gaming
Bright Horizons,BFAM,Consumer Discretionary,
Brighthouse Financial,BHF,Financials,Life & Health Insurance
Bristol Myers Squibb,BMY,Health Care,Health Care Distributors
Brixmor Property Group,BRX,Real Estate,Retail REITs
Broadcom,AVGO,Information Technology,Semiconductors
Broadridge Financial Solutions,BR,Industrials,Data Processing & Outsourced Services
Brookfield Renewable Partners,BEPC,Utilities,
Brown & Brown,BRO,Financials,Insurance Brokers
Brown–Forman (Class A),BF.A,Consumer Staples,Distillers & Vintners
Brown–Forman (Class B),BF.B,Consumer Staples,Distillers & Vintners
Bruker,BRKR,Health Care,Health Care Equipment
Brunswick Corporation,BC,Consumer Discretionary,Leisure Products
Builders FirstSource,BLDR,Industrials,Building Products
Bunge Global,BG,Consumer Staples,Agricultural Products & Services
Burlington,BURL,Consumer Discretionary,
BWX Technologies,BWXT,Industrials,
"BXP, Inc.",BXP,Real Estate,Office REITs
C.H. Robinson,CHRW,Industrials,Air Freight & Logistics
CACI,CACI,Industrials,Diversified Support Services
Cadence Design Systems,CDNS,Information Technology,Application Software
Caesars Entertainment,CZR,Consumer Discretionary,Casinos & Gaming
Camden Property Trust,CPT,Real Estate,Residential REITs
Campbell Soup Company,CPB,Consumer Staples,Packaged Foods & Meats
Capital One,COF,Financials,Consumer Finance
Capri Holdings,CPRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Cardinal Health,CAH,Health Care,Health Care Distributors
Carlisle Companies,CSL,Industrials,Industrial Conglomerates
Carlyle Group (The),CG,Financials,
CarMax,KMX,Consumer Discretionary,Automotive Retail
Carnival,CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Carrier Global,CARR,Industrials,Building Products
Carter's,CRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Carvana,CVNA,Consumer Discretionary,Automotive Retail
Casey's,CASY,Consumer Staples,Food Retail
Catalent,CTLT,Health Care,Pharmaceuticals
Caterpillar Inc.,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment
Cava Group,CAVA,Consumer Discretionary,Restaurants
Cboe Global Markets,CBOE,Financials,Financial Exchanges & Data
CBRE Group,CBRE,Real Estate,Real Estate Services
CCC Intelligent Solutions,CCCS,Information Technology,
CDW,CDW,Information Technology,Technology Distributors
Celanese,CE,Materials,Specialty Chemicals
Celsius Holdings,CELH,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Cencora,COR,Health Care,Health Care Distributors
Centene,CNC,Health Care,Managed Health Care
Centerpoint Energy,CNP,Utilities,Multi-Utilities
"Certara, Inc.",CERT,Health Care,
CF Industries,CF,Materials,Fertilizers & Agricultural Chemicals
Charles River Laboratories,CRL,Health Care,Life Sciences Tools & Services
Charles Schwab Corporation,SCHW,Financials,Investment Banking & Brokerage
Charter Communications,CHTR,Communication Services,Cable & Satellite
Chemed Corporation,CHE,Health Care,Health Care Services
Chemours,CC,Materials,Diversified Chemicals
Cheniere,LNG,Energy,
Chesapeake Energy,CHK,Energy,
Chevron Corporation,CVX,Energy,Integrated Oil & Gas
Chipotle Mexican Grill,CMG,Consumer Discretionary,Restaurants
Choice Hotels,CHH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Chord Energy,CHRD,Energy,Oil & Gas Exploration & Production
Chubb Limited,CB,Financials,Property & Casualty Insurance
Church & Dwight,CHD,Consumer Staples,Household Products
Churchill Downs Incorporated,CHDN,Consumer Discretionary,Casinos & Gaming
Ciena,CIEN,Information Technology,Communications Equipment
Cigna,CI,Health Care,Managed Health Care
Cincinnati Financial,CINF,Financials,Property & Casualty Insurance
Cintas,CTAS,Industrials,Diversified Support Services
Cirrus Logic,CRUS,Information Technology,Semiconductors
Cisco,CSCO,Information Technology,Communications Equipment
Citigroup,C,Financials,Diversified Banks
Citizens Financial Group,CFG,Financials,Regional Banks
Civitas Resources,CIVI,Energy,Oil & Gas Exploration & Production
Clarivate,CLVT,Industrials,
Clean Harbors,CLH,Industrials,Environmental & Facilities Services
Clearway Energy (Class A),CWEN.A,Utilities,
Clearway Energy (Class C),CWEN,Utilities,
Cleveland-Cliffs,CLF,Materials,Steel
Clorox,CLX,Consumer Staples,Household Products
Cloudflare,NET,Information Technology,
CME Group,CME,Financials,Financial Exchanges & Data
CMS Energy,CMS,Utilities,Multi-Utilities
CNA Financial,CNA,Financials,
CNH Industrial,CNH,Industrials,
Coca-Cola Company (The),KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Coca-Cola Consolidated,COKE,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Cognex Corporation,CGNX,Information Technology,Electronic Equipment & Instruments
Cognizant,CTSH,Information Technology,IT Consulting & Other Services
Coherent Corp.,COHR,Information Technology,Electronic Components
Coinbase,COIN,Financials,
Colgate-Palmolive,CL,Consumer Staples,Household Products
Columbia Banking System,COLB,Financials,Regional Banks
Columbia Sportswear,COLM,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Comcast,CMCSA,Communication Services,Cable & Satellite
Comerica,CMA,Financials,Diversified Banks
Comfort Systems USA,FIX,Industrials,Construction & Engineering
Commerce Bancshares,CBSH,Financials,Regional Banks
Conagra Brands,CAG,Consumer Staples,Packaged Foods & Meats
Concentrix,CNXC,Information Technology,Data Processing & Outsourced Services
"Confluent, Inc.",CFLT,Information Technology,
ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production
Consolidated Edison,ED,Utilities,Electric Utilities
Constellation Brands,STZ,Consumer Staples,Distillers & Vintners
Constellation Energy,CEG,Utilities,Multi-Utilities
Cooper Companies (The),COO,Health Care,Health Care Supplies
Copart,CPRT,Industrials,Diversified Support Services
Core & Main,CNM,Industrials,
Corning Inc.,GLW,Information Technology,Electronic Components
Corpay,CPAY,Financials,Transaction & Payment Processing Services
Corteva,CTVA,Materials,Fertilizers & Agricultural Chemicals
CoStar Group,CSGP,Industrials,
Costco,COST,Consumer Staples,Consumer Staples Merchandise Retail
Coterra,CTRA,Energy,Oil & Gas Exploration & Production
Coty,COTY,Consumer Staples,Personal Care Products
Coupang,CPNG,Consumer Discretionary,
Cousins Properties,CUZ,Real Estate,Office REITs
Crane,CR,Industrials,Industrial Machinery & Supplies & Components
Crane NXT,CXT,Industrials,Industrial Machinery & Supplies & Components
Credit Acceptance,CACC,Financials,
CRH plc,CRH,Materials,Construction Materials
Crocs,CROX,Consumer Discretionary,Footwear
CrowdStrike,CRWD,Information Technology,Application Software
Crown Castle,CCI,Real Estate,Telecom Tower REITs
Crown Holdings,CCK,Materials,
CSX Corporation,CSX,Industrials,Rail Transportation
CubeSmart,CUBE,Real Estate,
Cummins,CMI,Industrials,Industrial Machinery & Supplies & Components
Curtiss-Wright,CW,Industrials,Aerospace & Defense
CVS Health,CVS,Health Care,Health Care Services
D.R. Horton,DHI,Consumer Discretionary,Homebuilding
Danaher Corporation,DHR,Health Care,Life Sciences Tools & Services
Darden Restaurants,DRI,Consumer Discretionary,Restaurants
Darling Ingredients,DAR,Consumer Staples,
Datadog,DDOG,Information Technology,Application Software
DaVita,DVA,Health Care,Health Care Facilities
Dayforce,DAY,Industrials,Human Resource & Employment Services
Deckers Brands,DECK,Consumer Discretionary,Footwear
Deere & Company,DE,Industrials,Agricultural & Farm Machinery
Delta Air Lines,DAL,Industrials,Passenger Airlines
Dell Technologies,DELL,Information Technology,"Technology Hardware, Storage & Peripherals"
Dentsply Sirona,XRAY,Health Care,Health Care Supplies
Devon Energy,DVN,Energy,Oil & Gas Exploration & Production
Dexcom,DXCM,Health Care,Health Care Equipment
Diamondback Energy,FANG,Energy,Oil & Gas Exploration & Production
Dick's Sporting Goods,DKS,Consumer Discretionary,Other Specialty Retail
Digital Realty,DLR,Real Estate,Data Center REITs
Dillard's,DDS,Consumer Discretionary,Broadline Retail
Discover Financial,DFS,Financials,Consumer Finance
Disney,DIS,Communication Services,Movies & Entertainment
DocuSign,DOCU,Information Technology,Application Software
Dolby Laboratories,DLB,Information Technology,
Dollar General,DG,Consumer Staples,Consumer Staples Merchandise Retail
Dollar Tree,DLTR,Consumer Staples,Consumer Staples Merchandise Retail
Dominion Energy,D,Utilities,Electric Utilities
Domino's,DPZ,Consumer Discretionary,Restaurants
Donaldson,DCI,Industrials,Industrial Machinery & Supplies & Components
DoorDash,DASH,Consumer Discretionary,
DoubleVerify,DV,Information Technology,
Dover Corporation,DOV,Industrials,Industrial Machinery & Supplies & Components
Dow Inc.,DOW,Materials,Commodity Chemicals
Doximity,DOCS,Health Care,
DraftKings,DKNG,Consumer Discretionary,
Dropbox,DBX,Information Technology,
DT Midstream,DTM,Energy,
DTE Energy,DTE,Utilities,Multi-Utilities
Duke Energy,DUK,Utilities,Electric Utilities
Dun & Bradstreet,DNB,Industrials,
Duolingo,DUOL,Consumer Discretionary,Education Services
DuPont,DD,Materials,Specialty Chemicals
Dutch Bros. Coffee,BROS,Consumer Discretionary,Restaurants
DXC Technology,DXC,Information Technology,IT Consulting & Other Services
Dynatrace,DT,Information Technology,
e.l.f. Beauty,ELF,Consumer Staples,Personal Care Products
Eagle Materials,EXP,Materials,Construction Materials
East West Bancorp,EWBC,Financials,Regional Banks
EastGroup Properties,EGP,Real Estate,
Eastman Chemical Company,EMN,Materials,Diversified Chemicals
Eaton Corporation,ETN,Industrials,Electrical Components & Equipment
eBay,EBAY,Consumer Discretionary,
Ecolab,ECL,Materials,Specialty Chemicals
Edison International,EIX,Utilities,Electric Utilities
Edwards Lifesciences,EW,Health Care,Health Care Equipment
Elanco,ELAN,Health Care,
Elastic,ESTC,Information Technology,
Electronic Arts,EA,Communication Services,Interactive Home Entertainment
Element Solutions,ESI,Materials,
Elevance Health,ELV,Health Care,Managed Health Care
Emcor,EME,Industrials,Construction & Engineering
Emerson Electric,EMR,Industrials,Electrical Components & Equipment
Encompass Health,EHC,Health Care,Health Care Facilities
Enovis,ENOV,Health Care,Health Care Equipment
Enphase Energy,ENPH,Information Technology,Electronic Components
Entegris,ENTG,Information Technology,
Entergy,ETR,Utilities,Electric Utilities
Envista,NVST,Health Care,Health Care Supplies
EOG Resources,EOG,Energy,Oil & Gas Exploration & Production
EPAM Systems,EPAM,Information Technology,IT Consulting & Other Services
EPR Properties,EPR,Real Estate,Other Specialized REITs
EQT Corporation,EQT,Energy,Oil & Gas Exploration & Production
Equifax,EFX,Industrials,Research & Consulting Services
Equinix,EQIX,Real Estate,Data Center REITs
Equitable Holdings,EQH,Financials,
Equity Lifestyle Properties,ELS,Real Estate,
Equity Residential,EQR,Real Estate,Residential REITs
ESAB,ESAB,Industrials,Industrial Machinery & Supplies & Components
Essential Utilities,WTRG,Utilities,Water Utilities
Essex Property Trust,ESS,Real Estate,Residential REITs
Estée Lauder Companies (The),EL,Consumer Staples,Personal Care Products
Etsy,ETSY,Consumer Discretionary,
Euronet Worldwide,EEFT,Financials,Transaction & Payment Processing Services
Evercore,EVR,Financials,Investment Banking & Brokerage
Everest Group,EG,Financials,Reinsurance
Evergy,EVRG,Utilities,Electric Utilities
Eversource Energy,ES,Utilities,Multi-Utilities
Exact Sciences,EXAS,Health Care,
Exelixis,EXEL,Health Care,Biotechnology
Exelon,EXC,Utilities,Multi-Utilities
Expedia Group,EXPE,Consumer Discretionary,
Expeditors International,EXPD,Industrials,Air Freight & Logistics
Extra Space Storage,EXR,Real Estate,Self-Storage REITs
ExxonMobil,XOM,Energy,Integrated Oil & Gas
F5,FFIV,Information Technology,Communications Equipment
FactSet,FDS,Financials,Financial Exchanges & Data
Fair Isaac,FICO,Information Technology,Application Software
Fastenal,FAST,Industrials,Building Products
Federal Realty Investment Trust,FRT,Real Estate,Retail REITs
FedEx,FDX,Industrials,Air Freight & Logistics
Ferguson plc,FERG,Industrials,Industrial Machinery & Supplies & Components
Fidelity National Financial,FNF,Financials,
Fidelity National Information Services,FIS,Financials,Transaction & Payment Processing Services
Fifth Third Bank,FITB,Financials,Regional Banks
First American,FAF,Financials,Property & Casualty Insurance
First Citizens BancShares,FCNCA,Financials,
First Hawaiian Bank,FHB,Financials,Regional Banks
First Horizon,FHN,Financials,Regional Banks
First Industrial Realty Trust,FR,Real Estate,
First Solar,FSLR,Information Technology,Semiconductors
FirstEnergy,FE,Utilities,Electric Utilities
Fiserv,FI,Financials,Transaction & Payment Processing Services
Five Below,FIVE,Consumer Discretionary,Other Specialty Retail
Five9,FIVN,Information Technology,
Floor & Decor,FND,Consumer Discretionary,Home Improvement Retail
Flowers Foods,FLO,Consumer Staples,Packaged Foods & Meats
Flowserve,FLS,Industrials,Industrial Machinery & Supplies & Components
FMC Corporation,FMC,Materials,Fertilizers & Agricultural Chemicals
FNB Corporation,FNB,Financials,Regional Banks
Ford Motor Company,F,Consumer Discretionary,Automobile Manufacturers
Fortinet,FTNT,Information Technology,Systems Software
Fortive,FTV,Industrials,Industrial Machinery & Supplies & Components
Fortrea,FTRE,Health Care,
Fortune Brands Innovations,FBIN,Industrials,Building Products
Fox Corporation (Class A),FOXA,Communication Services,Movies & Entertainment
Fox Corporation (Class B),FOX,Communication Services,Movies & Entertainment
Franklin Templeton Investments,BEN,Financials,Asset Management & Custody Banks
Freeport-McMoRan,FCX,Materials,Copper
Freshpet,FRPT,Consumer Staples,
Frontier Communications,FYBR,Communication Services,
Frost Bank,CFR,Financials,Regional Banks
FTI Consulting,FCN,Industrials,Research & Consulting Services
GameStop,GME,Consumer Discretionary,Computer & Electronics Retail
Gaming and Leisure Properties,GLPI,Real Estate,
Gap Inc.,GAP,Consumer Discretionary,Apparel Retail
Garmin,GRMN,Consumer Discretionary,Consumer Electronics
Gartner,IT,Information Technology,IT Consulting & Other Services
Gates,GTES,Industrials,
GE Aerospace,GE,Industrials,Aerospace & Defense
GE HealthCare,GEHC,Health Care,Health Care Equipment
GE Vernova,GEV,Industrials,Industrial Machinery & Supplies & Components
Gen Digital,GEN,Information Technology,Application Software
Generac,GNRC,Industrials,Electrical Components & Equipment
General Dynamics,GD,Industrials,Aerospace & Defense
General Mills,GIS,Consumer Staples,Packaged Foods & Meats
General Motors,GM,Consumer Discretionary,Automobile Manufacturers
Genpact,G,Information Technology,IT Consulting & Other Services
Gentex,GNTX,Consumer Discretionary,Automotive Parts & Equipment
Genuine Parts Company,GPC,Consumer Discretionary,Automotive Parts & Equipment
Gilead Sciences,GILD,Health Care,Biotechnology
GitLab,GTLB,Information Technology,
Global Payments,GPN,Financials,Transaction & Payment Processing Services
GlobalFoundries,GFS,Information Technology,
Globant,GLOB,Information Technology,
Globe Life,GL,Financials,Life & Health Insurance
Globus Medical,GMED,Health Care,Health Care Equipment
GoDaddy,GDDY,Information Technology,
Goldman Sachs,GS,Financials,Investment Banking & Brokerage
Graco,GGG,Industrials,Industrial Machinery & Supplies & Components
"Grail, Inc.",GRAL,Health Care,Health Care Services
Grainger,GWW,Industrials,Industrial Machinery & Supplies & Components
Grand Canyon Education,LOPE,Consumer Discretionary,Education Services
Graphic Packaging,GPK,Materials,
Grocery Outlet,GO,Consumer Staples,Food Retail
Guidewire,GWRE,Information Technology,
GXO Logistics,GXO,Industrials,Air Freight & Logistics
Halliburton,HAL,Energy,Oil & Gas Equipment & Services
Hanover Insurance,THG,Financials,Property & Casualty Insurance
Harley-Davidson,HOG,Consumer Discretionary,Motorcycle Manufacturers
Hartford (The),HIG,Financials,Property & Casualty Insurance
Hasbro,HAS,Consumer Discretionary,Leisure Products
HashiCorp,HCP,Information Technology,
Hayward,HAYW,Industrials,
HCA Healthcare,HCA,Health Care,Health Care Facilities
Healthcare Realty Trust,HR,Real Estate,
