Symbol,Name,Market Cap,Sector,Industry
AAPL,Apple Inc.,$2.825 T,Technology,Consumer Electronics
MSFT,Microsoft Corporation,$2.328 T,Technology,Software—Infrastructure
GOOGL,Alphabet Inc.,$1.825 T,Communication Services,Internet Content & Information
GOOG,Alphabet Inc.,$1.825 T,Communication Services,Internet Content & Information
AMZN,"Amazon.com, Inc.",$1.642 T,Consumer Discretionary,Internet Retail
TSLA,"Tesla, Inc.",$1.016 T,Consumer Discretionary,Auto Manufacturers
BRK.B,Berkshire Hathaway Inc.,$798.47 B,Financials,Financial Conglomerates
NVDA,Nvidia Corporation,$660.38 B,Technology,Semiconductors
META,"Meta Platforms, Inc.",$617.50 B,Communication Services,Internet Content & Information
UNH,UnitedHealth Group Incorporated,$488.52 B,Healthcare,Healthcare Plans
V,Visa Inc.,$486.77 B,Financials,Credit Services
JNJ,Johnson & Johnson,$475.93 B,Healthcare,Drug Manufacturers—General
WMT,Walmart Inc.,$429.05 B,Consumer Staples,Discount Stores
JPM,JPMorgan Chase & Co.,$410.84 B,Financials,Banks
PG,The Procter & Gamble Company,$384.60 B,Consumer Staples,Household & Personal Products
MA,Mastercard Incorporated,$358.60 B,Financials,Credit Services
BAC,Bank of America Corporation,$350.84 B,Financials,Banks
XOM,Exxon Mobil Corporation,$348.72 B,Energy,Oil & Gas Integrated
HD,"The Home Depot, Inc.",$321.47 B,Consumer Discretionary,Home Improvement Retail
CVX,Chevron Corporation,$315.13 B,Energy,Oil & Gas Integrated
PFE,Pfizer Inc.,$300.79 B,Healthcare,Drug Manufacturers—General
ABBV,AbbVie Inc.,$294.27 B,Healthcare,Drug Manufacturers—General
KO,The Coca-Cola Company,$273.20 B,Consumer Staples,Beverages—Non-Alcoholic
LLY,Eli Lilly and Company,$273.01 B,Healthcare,Drug Manufacturers—General
AVGO,Broadcom Inc.,$265.27 B,Technology,Semiconductors
COST,Costco Wholesale Corporation,$258.15 B,Consumer Staples,Discount Stores
DIS,The Walt Disney Company,$247.88 B,Communication Services,Entertainment
PEP,"PepsiCo, Inc.",$241.05 B,Consumer Staples,Beverages—Non-Alcoholic
CSCO,"Cisco Systems, Inc.",$238.45 B,Technology,Communication Equipment
TMO,Thermo Fisher Scientific Inc.,$236.15 B,Healthcare,Diagnostics & Research
ORCL,Oracle Corporation,$228.18 B,Technology,Software—Infrastructure
ACN,Accenture plc,$219.03 B,Technology,Information Technology Services
CMCSA,Comcast Corporation,$218.90 B,Communication Services,Entertainment
VZ,Verizon Communications Inc.,$216.68 B,Communication Services,Telecom Services
ABT,Abbott Laboratories,$215.02 B,Healthcare,Medical Devices
NKE,"Nike, Inc.",$213.60 B,Consumer Discretionary,Footwear & Accessories
MRK,"Merck & Co., Inc.",$210.38 B,Healthcare,Drug Manufacturers—General
DHR,Danaher Corporation,$208.03 B,Healthcare,Diagnostics & Research
INTC,Intel Corporation,$201.72 B,Technology,Semiconductors
WFC,Wells Fargo & Company,$200.01 B,Financials,Banks
ADBE,Adobe Inc.,$199.57 B,Technology,Software—Infrastructure
CRM,"salesforce.com, inc.",$193.80 B,Technology,Software—Application
UPS,"United Parcel Service, Inc.",$190.50 B,Industrials,Integrated Freight & Logistics
MCD,McDonald's Corporation,$186.57 B,Consumer Discretionary,Restaurants
UNP,Union Pacific Corporation,$184.19 B,Industrials,Railroads
T,AT&T Inc.,$175.88 B,Communication Services,Telecom Services
QCOM,Qualcomm Incorporated,$172.25 B,Technology,Semiconductors
TXN,Texas Instruments Incorporated,$171.28 B,Technology,Semiconductors
BMY,Bristol-Myers Squibb Company,$170.56 B,Healthcare,Drug Manufacturers—General
LIN,Linde plc,$166.07 B,Basic Materials,Specialty Chemicals
NEE,"NextEra Energy, Inc.",$165.53 B,Utilities,Utilities—Regulated Electric
TMUS,"T-Mobile US, Inc.",$164.31 B,Communication Services,Telecom Services
MS,Morgan Stanley,$164.05 B,Financials,Capital Markets
NFLX,"Netflix, Inc.",$163.19 B,Communication Services,Entertainment
SCHW,The Charles Schwab Corporation,$158.06 B,Financials,Capital Markets
PM,Philip Morris International Inc.,$154.71 B,Consumer Staples,Tobacco
MDT,Medtronic plc,$151.06 B,Healthcare,Medical Devices
RTX,Raytheon Technologies Corporation,$150.96 B,Industrials,Aerospace & Defense
AXP,American Express Company,$150.76 B,Financials,Credit Services
,,,,
LOW,"Lowe's Companies, Inc.",$143.77 B,Consumer Discretionary,Home Improvement Retail
AMGN,Amgen Inc.,$141.72 B,Healthcare,Drug Manufacturers—General
HON,Honeywell International Inc.,$136.48 B,Industrials,Specialty Industrial Machinery
COP,ConocoPhillips,$136.32 B,Energy,Oil & Gas E&P
CVS,CVS Health Corporation,$135.27 B,Healthcare,Healthcare Plans
PYPL,"PayPal Holdings, Inc.",$133.92 B,Financials,Credit Services
DE,Deere & Company,$130.31 B,Industrials,Farm & Heavy Construction Machinery
AMD,"Advanced Micro Devices, Inc.",$128.29 B,Technology,Semiconductors
INTU,Intuit Inc.,$126.77 B,Technology,Software—Application
LMT,Lockheed Martin Corporation,$124.98 B,Industrials,Aerospace & Defense
CAT,Caterpillar Inc.,$124.13 B,Industrials,Farm & Heavy Construction Machinery
PLD,"Prologis, Inc.",$121.20 B,Real Estate,REIT—Industrial
AMAT,"Applied Materials, Inc.",$121.12 B,Technology,Semiconductor Equipment & Materials
ANTM,"Anthem, Inc.",$119.80 B,Healthcare,Healthcare Plans
IBM,International Business Machines Corporation,$119.20 B,Technology,Information Technology Services
BLK,"BlackRock, Inc.",$115.98 B,Financials,Asset Management
AMT,American Tower Corporation (REIT),$115.11 B,Real Estate,REIT—Specialty
GS,"The Goldman Sachs Group, Inc.",$112.71 B,Financials,Capital Markets
BA,The Boeing Company,$110.46 B,Industrials,Aerospace & Defense
C,Citigroup Inc.,$109.56 B,Financials,Banks
SBUX,Starbucks Corporation,$108.19 B,Consumer Discretionary,Restaurants
NOW,"ServiceNow, Inc.",$107.99 B,Technology,Software—Application
TGT,Target Corporation,$106.89 B,Consumer Staples,Discount Stores
CHTR,"Charter Communications, Inc.",$104.97 B,Communication Services,Entertainment
MO,"Altria Group, Inc.",$102.98 B,Consumer Staples,Tobacco
SYK,Stryker Corporation,$101.41 B,Healthcare,Medical Devices
SPGI,S&P Global Inc.,$100.84 B,Financials,Financial Data & Stock Exchanges
EL,The Estée Lauder Companies Inc.,$100.16 B,Consumer Staples,Household & Personal Products
GE,General Electric Company,$99.22 B,Industrials,Specialty Industrial Machinery
CB,Chubb Limited,$98.57 B,Financials,Insurance—Property & Casualty
ADP,"Automatic Data Processing, Inc.",$96.98 B,Industrials,Staffing & Employment Services
BKNG,Booking Holdings Inc.,$95.02 B,Consumer Discretionary,Travel Services
MDLZ,"Mondelez International, Inc.",$90.67 B,Consumer Staples,Confectioners
ZTS,Zoetis Inc.,$89.82 B,Healthcare,Drug Manufacturers—Specialty & Generic
MMM,3M Company,$88.77 B,Industrials,Specialty Industrial Machinery
DUK,Duke Energy Corporation,$88.76 B,Utilities,Utilities—Regulated Electric
CME,CME Group Inc.,$87.17 B,Financials,Financial Data & Stock Exchanges
MMC,"Marsh & McLennan Companies, Inc.",$87.16 B,Financials,Insurance Brokers
MU,"Micron Technology, Inc.",$86.49 B,Technology,Semiconductors
CI,Cigna Corporation,$84.67 B,Healthcare,Healthcare Plans
HCA,"HCA Healthcare, Inc.",$82.60 B,Healthcare,Medical Care Facilities
CCI,Crown Castle International Corp. (REIT),$80.92 B,Real Estate,REIT—Specialty
USB,U.S. Bancorp,$80.16 B,Financials,Banks
SO,The Southern Company,$78.38 B,Utilities,Utilities—Regulated Electric
LRCX,Lam Research Corporation,$77.60 B,Technology,Semiconductor Equipment & Materials
PNC,"The PNC Financial Services Group, Inc.",$77.10 B,Financials,Banks
BDX,"Becton, Dickinson and Company",$76.98 B,Healthcare,Medical Instruments & Supplies
GILD,"Gilead Sciences, Inc.",$76.15 B,Healthcare,Drug Manufacturers—General
REGN,"Regeneron Pharmaceuticals, Inc.",$74.91 B,Healthcare,Biotechnology
TFC,Truist Financial Corporation,$74.79 B,Financials,Banks
ICE,"Intercontinental Exchange, Inc.",$74.17 B,Financials,Financial Data & Stock Exchanges
TJX,"The TJX Companies, Inc.",$73.99 B,Consumer Discretionary,Apparel Retail
EW,Edwards Lifesciences Corporation,$73.38 B,Healthcare,Medical Devices
AON,Aon Plc,$73.33 B,Financials,Insurance Brokers
NOC,Northrop Grumman Corporation,$73.25 B,Industrials,Aerospace & Defense
NSC,Norfolk Southern Corporation,$72.31 B,Industrials,Railroads
FCX,Freeport-McMoRan Inc.,$72.16 B,Basic Materials,Copper
EOG,"EOG Resources, Inc.",$71.90 B,Energy,Oil & Gas E&P
GD,General Dynamics Corporation,$70.55 B,Industrials,Aerospace & Defense
D,"Dominion Energy, Inc.",$70.20 B,Utilities,Utilities—Diversified
PSA,Public Storage,$69.31 B,Real Estate,REIT—Industrial
FISV,"Fiserv, Inc.",$68.68 B,Technology,Information Technology Services
SHW,The Sherwin-Williams Company,$67.54 B,Basic Materials,Specialty Chemicals
VRTX,Vertex Pharmaceuticals Incorporated,$67.49 B,Healthcare,Biotechnology
ITW,Illinois Tool Works Inc.,$67.49 B,Industrials,Specialty Industrial Machinery
PGR,The Progressive Corporation,$67.31 B,Financials,Insurance—Property & Casualty
WM,"Waste Management, Inc.",$66.95 B,Industrials,Waste Management
EQIX,"Equinix, Inc. (REIT)",$66.35 B,Real Estate,REIT—Specialty
NEM,Newmont Corporation,$65.89 B,Basic Materials,Gold
F,Ford Motor Company,$65.74 B,Consumer Discretionary,Auto Manufacturers
CL,Colgate-Palmolive Company,$65.64 B,Consumer Staples,Household & Personal Products
EXC,Exelon Corporation,$65.53 B,Utilities,Utilities—Diversified
FDX,FedEx Corporation,$63.25 B,Industrials,Integrated Freight & Logistics
BSX,Boston Scientific Corporation,$63.08 B,Healthcare,Medical Devices
MET,"MetLife, Inc.",$62.69 B,Financials,Insurance—Life
GM,General Motors Company,$62.69 B,Consumer Discretionary,Auto Manufacturers
MCO,Moody's Corporation,$62.58 B,Financials,Financial Data & Stock Exchanges
PXD,Pioneer Natural Resources Company,$62.19 B,Energy,Oil & Gas E&P
ETN,Eaton Corporation plc,$62.17 B,Industrials,Specialty Industrial Machinery
ADI,"Analog Devices, Inc.",$62.00 B,Technology,Semiconductors
FIS,"Fidelity National Information Services, Inc.",$61.73 B,Technology,Information Technology Services
COF,Capital One Financial Corporation,$59.67 B,Financials,Credit Services
EMR,Emerson Electric Co.,$59.66 B,Industrials,Specialty Industrial Machinery
APD,"Air Products and Chemicals, Inc.",$57.82 B,Basic Materials,Chemicals
SLB,Schlumberger Limited,$57.63 B,Energy,Oil & Gas Equipment & Services
MAR,"Marriott International, Inc.",$57.18 B,Consumer Discretionary,Lodging
INFO,IHS Markit Ltd.,$56.94 B,Industrials,Consulting Services
HUM,Humana Inc.,$56.55 B,Healthcare,Healthcare Plans
KLAC,KLA Corporation,$56.48 B,Technology,Semiconductor Equipment & Materials
MPC,Marathon Petroleum Corporation,$54.54 B,Energy,Oil & Gas Refining & Marketing
AIG,"American International Group, Inc.",$54.31 B,Financials,Insurance—Diversified
DG,Dollar General Corporation,$54.30 B,Consumer Staples,Discount Stores
FTNT,"Fortinet, Inc.",$53.86 B,Technology,Software—Infrastructure
SRE,Sempra Energy,$52.47 B,Utilities,Utilities—Diversified
OXY,Occidental Petroleum Corporation,$52.30 B,Energy,Oil & Gas E&P
XLNX,"Xilinx, Inc.",$52.19 B,Technology,Semiconductors
LHX,"L3Harris Technologies, Inc.",$51.51 B,Industrials,Aerospace & Defense
ADM,Archer-Daniels-Midland Company,$51.03 B,Consumer Staples,Farm Products
AEP,"American Electric Power Company, Inc.",$50.95 B,Utilities,Utilities—Regulated Electric
ECL,Ecolab Inc.,$50.29 B,Basic Materials,Specialty Chemicals
SNPS,"Synopsys, Inc.",$50.18 B,Technology,Software—Infrastructure
ILMN,"Illumina, Inc.",$49.91 B,Healthcare,Diagnostics & Research
ROP,"Roper Technologies, Inc.",$49.66 B,Industrials,Specialty Industrial Machinery
KHC,The Kraft Heinz Company,$49.42 B,Consumer Staples,Packaged Foods
CNC,Centene Corporation,$49.32 B,Healthcare,Healthcare Plans
PAYX,"Paychex, Inc.",$49.23 B,Industrials,Staffing & Employment Services
DOW,Dow Inc.,$48.50 B,Basic Materials,Chemicals
MCK,McKesson Corporation,$48.46 B,Healthcare,Medical Distribution
JCI,Johnson Controls International plc,$48.15 B,Industrials,Engineering & Construction
ORLY,"O'Reilly Automotive, Inc.",$48.14 B,Consumer Discretionary,Specialty Retail
ADSK,"Autodesk, Inc.",$47.69 B,Technology,Software—Application
PRU,"Prudential Financial, Inc.",$47.17 B,Financials,Insurance—Life
CTSH,Cognizant Technology Solutions Corporation,$47.07 B,Technology,Information Technology Services
NUE,Nucor Corporation,$46.86 B,Basic Materials,Steel
DXCM,"DexCom, Inc.",$46.86 B,Healthcare,Diagnostics & Research
HSY,The Hershey Company,$45.83 B,Consumer Staples,Confectioners
APH,Amphenol Corporation,$45.77 B,Technology,Electronic Components
IDXX,"IDEXX Laboratories, Inc.",$45.64 B,Healthcare,Diagnostics & Research
