Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
BA,116.71,116.71,117.02,115.88,109.45,95.02,99,92,53,8,226.6,1.0,203.1,173.38,1.93
NVDA,114.55,114.55,111.65,103.96,109.98,110.48,96,40,60,57,162.88,1.0,137.3,130.69,0.9
MSFT,111.48,111.48,110.96,106.91,97.51,95.92,92,53,8,11,503.51,1.0,462.64,424.18,0.9
IBM,108.35,108.78,109.19,116.94,115.22,117.49,89,96,92,89,290.14,0.96,268.86,239.76,0.81
GS,107.06,107.06,105.27,105.5,114.34,110.69,86,47,89,66,696.56,0.9,618.54,575.13,0.79
DIS,106.7,106.7,105.07,99.35,111.71,110.7,83,24,73,70,120.61,0.92,111.81,104.96,0.65
JPM,106.45,106.45,105.99,108.35,111.79,107.53,79,60,76,37,283.16,0.88,266.38,244.58,1.32
AXP,103.96,103.96,102.94,100.26,110.28,109.05,76,27,66,43,317.35,0.9,295.82,286.63,0.89
CSCO,103.73,103.75,104.19,109.74,109.99,111.15,73,66,63,76,69.27,1.0,63.75,59.2,1.14
WMT,103.59,104.58,104.9,108.81,113.85,110.61,70,63,83,60,96.81,0.8,97.17,91.2,0.79
HON,102.71,102.76,103.95,104.11,103.59,103.63,66,43,34,27,238.72,0.97,223.38,215.45,0.6
V,102.15,103.51,108.33,114.51,113.57,106.39,63,83,79,34,357.76,0.87,355.93,326.81,1.14
TRV,101.75,103.8,110.5,112.77,106.54,111.05,60,76,37,73,255.32,0.74,266.58,251.82,1.16
CAT,101.21,101.21,99.75,97.09,101.2,110.1,57,14,21,50,402.18,0.92,353.65,359.41,1.21
KO,100.7,103.1,109.93,117.8,110.65,110.67,53,99,70,63,69.48,0.71,70.72,67.14,2.12
MMM,100.1,100.47,105.66,115.32,115.36,127.46,50,89,96,99,155.98,1.0,146.76,139.37,0.96
AMZN,99.77,99.77,98.97,100.61,113.91,109.49,47,30,86,47,222.54,0.76,207.05,206.2,0.88
VZ,99.16,101.45,109.08,114.96,108.4,104.38,43,86,48,30,42.61,0.64,43.22,41.7,1.41
MCD,97.13,99.58,107.46,113.15,107.12,114.84,40,79,40,86,293.02,0.65,304.88,298.68,0.94
SHW,97.04,98.31,101.54,102.99,99.63,117.75,37,37,17,92,351.54,0.51,351.28,356.67,1.37
JNJ,95.4,96.82,102.98,111.56,108.4,108.08,34,70,48,40,156.28,0.62,153.33,153.31,0.78
HD,94.37,95.22,96.13,98.11,101.65,110.39,30,21,24,53,371.04,0.41,364.49,382.65,0.99
PG,94.0,95.89,100.99,106.33,102.91,103.22,27,50,30,24,157.52,0.04,161.93,165.76,2.3
AMGN,93.55,94.82,101.01,112.03,109.94,102.11,24,73,57,21,296.52,0.56,282.35,289.48,0.73
NKE,91.08,91.08,88.44,95.04,97.75,111.53,21,11,11,79,73.56,0.59,62.73,70.83,0.67
CVX,90.99,91.72,96.95,107.89,107.91,99.69,17,57,43,14,153.02,0.61,141.08,147.29,1.04
CRM,90.91,90.92,91.24,94.65,117.79,118.88,14,8,99,96,270.92,0.27,272.34,296.4,0.84
AAPL,90.51,90.51,92.25,97.75,101.96,101.33,11,17,27,17,211.14,0.45,203.84,222.57,0.89
MRK,86.53,86.92,89.91,93.03,93.17,92.51,8,4,4,4,83.71,0.21,78.85,91.08,1.15
UNH,68.93,71.52,80.18,101.91,98.73,114.54,4,34,14,83,302.91,0.09,323.55,480.82,0.65
