Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
COHR,131.82,132.04,130.38,122.86,119.64,133.32,99,96,89,96,100.01,0.87,92.67,71.11,0.63
NVDA,114.57,114.68,114.25,132.4,140.34,147.24,96,99,99,99,146.76,0.98,130.18,108.49,0.76
MRVL,113.8,113.8,110.96,99.34,104.91,112.81,92,40,40,70,90.7,0.93,78.45,71.63,0.7
AVGO,109.21,110.26,110.18,114.52,114.97,116.28,89,83,76,76,170.38,0.84,172.29,150.36,0.77
TSM,108.42,109.15,109.19,115.61,118.65,121.24,86,86,86,86,188.5,0.84,185.2,160.54,0.76
MPWR,101.26,107.89,113.39,116.71,114.47,112.58,83,89,73,66,576.79,0.1,861.12,783.59,2.63
TXN,100.13,100.41,101.9,106.4,108.63,100.52,79,73,57,24,206.0,0.79,204.32,189.68,0.79
NOVT,97.97,99.08,103.09,103.74,99.37,103.97,76,63,27,34,169.71,0.65,174.02,169.04,1.8
ADI,97.21,98.1,98.78,107.45,110.23,99.34,73,76,63,21,212.24,0.51,226.02,215.16,1.19
AMD,96.57,97.1,97.04,92.93,104.97,131.12,70,24,43,92,138.84,0.23,154.5,161.55,0.89
ON,95.3,96.6,98.79,99.92,97.81,101.58,66,47,24,27,67.02,0.25,70.49,72.49,1.03
IPGP,90.83,90.83,87.98,86.76,91.55,97.29,63,14,14,11,75.06,0.26,74.49,82.05,0.64
LSCC,90.66,90.66,88.71,80.07,106.42,109.05,60,11,47,50,50.63,0.21,51.3,61.69,0.61
KLAC,90.41,92.81,98.23,109.87,112.71,110.32,57,79,70,57,645.0,0.32,722.79,735.31,0.98
QCOM,89.76,89.84,89.62,105.85,118.12,111.63,53,70,83,60,163.97,0.37,168.3,175.83,0.86
MU,89.65,89.7,88.44,102.03,134.71,124.68,50,52,96,89,99.18,0.32,101.13,109.21,0.78
TER,88.73,90.51,95.03,116.97,127.2,104.08,47,92,92,37,106.52,0.22,122.7,123.49,0.73
NXPI,88.7,89.4,89.59,102.03,107.83,105.95,43,52,53,43,223.96,0.27,234.34,248.21,0.9
AMAT,88.29,88.76,88.7,103.02,115.93,116.83,40,57,79,79,186.0,0.37,191.0,204.03,1.51
SWKS,86.89,89.07,96.27,105.03,100.93,103.78,37,66,34,30,84.0,0.02,95.44,101.39,1.27
SYNA,85.79,85.79,83.98,87.32,89.92,98.23,34,17,8,17,75.24,0.14,73.82,87.1,1.79
ENTG,85.42,85.42,84.84,91.51,107.77,111.7,30,21,50,63,101.5,0.07,107.9,123.79,0.99
MCHP,85.05,85.97,85.97,93.84,102.77,98.04,27,34,37,14,65.6,0.0,75.88,84.84,0.9
LRCX,83.31,83.51,83.35,98.18,109.52,115.15,24,37,60,73,74.79,0.12,77.45,89.34,0.76
INTC,82.38,82.38,77.6,75.95,79.0,104.45,21,4,4,40,25.03,0.19,22.58,30.82,0.55
GFS,81.5,81.5,81.97,93.17,96.1,95.28,17,27,21,8,42.75,0.26,40.23,47.96,1.66
AZTA,80.98,81.24,89.89,93.8,93.5,109.4,14,30,17,53,42.62,0.07,45.68,53.48,1.36
QRVO,79.84,84.03,93.58,103.72,100.0,105.98,9,60,30,47,66.3,0.01,94.75,107.03,1.04
ASML,79.84,81.35,85.33,99.43,111.09,120.56,9,43,66,83,692.96,0.07,758.59,900.41,1.84
WOLF,66.79,66.79,64.15,76.4,90.5,92.21,4,8,11,4,7.6,0.0,10.84,20.27,0.67
