Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
COHR,Technology,Scientific & Technical Instruments,121.15,121.15,120.2,122.93,133.58,136.72,99,89,92,96,99.03,1.0,78.48,64.27,0.55
MPWR,Technology,Semiconductors,113.78,114.11,116.24,116.88,111.24,119.87,96,79,53,79,930.07,0.97,885.27,756.83,0.42
AVGO,Technology,Semiconductors,108.57,108.96,113.34,115.25,116.63,121.61,92,76,66,89,185.69,1.0,161.84,142.55,0.59
NVDA,Technology,Semiconductors,108.53,109.62,121.02,138.61,149.94,149.43,89,99,99,99,134.81,0.99,117.79,97.8,0.73
TSM,Technology,Semiconductors,104.48,105.5,110.39,118.83,122.52,120.81,86,86,83,83,185.78,0.95,170.55,149.54,0.47
NOVT,Technology,Scientific & Technical Instruments,103.55,103.73,103.28,102.17,100.15,103.25,83,43,30,37,170.74,0.77,174.33,167.13,1.29
TXN,Technology,Semiconductors,102.05,102.59,103.63,108.47,107.32,96.73,79,63,43,17,202.47,0.84,201.16,184.89,0.67
MRVL,Technology,Semiconductors,99.15,99.15,98.93,100.45,112.98,115.49,76,37,63,60,72.54,0.67,69.34,69.19,0.66
ON,Technology,Semiconductors,99.1,99.71,99.83,98.95,91.48,93.37,73,34,14,4,70.31,0.28,71.89,73.27,0.68
ADI,Technology,Semiconductors,98.98,99.39,101.6,110.27,108.98,100.68,70,66,50,27,230.7,0.86,222.86,211.07,0.56
KLAC,Technology,Semiconductor Equipment & Materials,98.47,99.61,105.4,113.07,112.78,112.42,66,73,57,47,797.98,0.78,768.31,722.71,0.49
SWKS,Technology,Semiconductors,97.29,99.07,104.98,104.98,93.8,99.5,63,53,24,21,96.44,0.29,101.57,103.11,0.98
TER,Technology,Semiconductor Equipment & Materials,95.84,97.92,105.11,126.98,123.01,100.13,60,96,86,24,128.94,0.58,128.69,122.31,0.56
QRVO,Technology,Semiconductors,94.57,96.88,103.64,103.71,102.36,105.3,57,47,34,40,101.5,0.37,106.32,109.4,0.65
AMD,Technology,Semiconductors,92.89,92.97,92.67,93.76,127.77,136.32,53,21,89,92,164.18,0.6,150.31,162.2,1.81
AZTA,Healthcare,Medical Instruments & Supplies,90.52,91.05,92.83,93.9,97.79,117.19,50,24,27,70,44.4,0.02,49.66,56.19,0.57
NXPI,Technology,Semiconductors,90.03,91.02,95.29,107.89,107.39,106.08,47,60,47,43,236.17,0.55,239.58,245.91,0.5
AMAT,Technology,Semiconductor Equipment & Materials,88.56,89.65,95.57,111.45,118.73,116.95,43,70,76,66,203.96,0.59,194.46,200.53,0.57
QCOM,Technology,Semiconductors,87.4,88.34,94.25,117.03,118.71,113.85,40,83,73,50,168.52,0.52,167.41,172.77,0.59
MCHP,Technology,Semiconductors,85.72,86.23,87.88,101.03,103.02,101.73,37,40,37,34,77.34,0.23,78.08,86.45,0.58
ASML,Technology,Semiconductor Equipment & Materials,85.67,87.09,93.85,104.82,121.94,120.97,34,50,79,86,833.97,0.49,843.94,907.86,0.63
ENTG,Technology,Semiconductor Equipment & Materials,84.34,85.56,88.26,98.25,112.96,115.25,30,30,60,57,108.07,0.37,110.18,125.29,0.65
SYNA,Technology,Semiconductors,84.12,84.43,84.35,90.23,91.03,114.31,27,14,11,53,72.2,0.08,75.24,91.58,1.56
LRCX,Technology,Semiconductor Equipment & Materials,82.69,84.02,91.32,105.65,116.92,116.7,24,57,70,63,82.06,0.44,80.19,89.7,0.55
GFS,Technology,Semiconductors,82.48,84.12,89.39,96.08,91.54,94.83,21,27,17,11,40.31,0.07,42.29,50.14,0.84
IPGP,Technology,Semiconductor Equipment & Materials,82.19,82.21,81.8,91.47,89.88,94.72,17,17,4,8,74.11,0.24,69.32,84.93,0.74
MU,Technology,Semiconductors,79.77,79.93,88.55,125.41,135.3,117.21,14,92,96,73,105.69,0.46,96.59,106.58,1.05
LSCC,Technology,Semiconductors,79.6,79.6,78.2,86.48,104.6,101.53,11,8,40,30,51.31,0.23,48.27,63.45,0.45
INTC,Technology,Semiconductors,72.21,72.57,72.57,79.13,92.5,119.8,8,4,21,76,23.22,0.14,21.21,33.82,0.49
WOLF,Technology,Semiconductors,48.6,49.32,58.58,88.55,90.4,95.35,4,11,8,14,9.5,0.05,10.61,23.34,0.61
