Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
PLTR,Technology,Software - Infrastructure,136.75,136.75,134.48,126.56,126.55,120.18,99,98,97,93,43.51,1.0,33.94,25.49,1.0
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",126.16,126.35,125.4,115.76,113.99,117.49,99,95,89,91,157.3,0.94,152.68,125.59,0.47
ERIE,Financial Services,Insurance Brokers,125.7,125.7,123.04,110.31,110.42,110.59,99,88,81,77,534.7,0.96,501.1,406.6,0.31
MMM,Industrials,Conglomerates,125.47,125.47,124.59,120.01,112.41,107.77,98,97,86,66,134.75,0.93,131.34,102.61,0.9
K,Consumer Defensive,Packaged Foods,125.24,125.24,122.79,113.5,102.64,104.15,98,92,52,49,80.55,0.99,79.22,62.62,0.27
IRM,Real Estate,REIT - Specialty,124.32,124.69,124.71,123.06,108.55,104.91,98,97,76,53,120.34,1.0,113.61,88.2,0.47
FICO,Technology,Software - Application,123.64,123.67,123.67,121.41,106.62,118.44,98,97,70,92,2031.0,1.0,1819.06,1442.09,1.41
CBRE,Real Estate,Real Estate Services,122.33,122.33,121.49,113.36,101.79,109.18,98,92,45,71,121.93,0.95,116.45,97.1,0.6
AXON,Industrials,Aerospace & Defense,122.07,122.07,118.72,109.9,114.69,112.24,97,87,90,82,434.98,1.0,376.97,311.89,0.53
DHI,Consumer Cyclical,Residential Construction,120.75,120.99,120.21,111.52,104.56,125.21,97,90,62,96,182.82,0.85,185.14,158.92,0.75
HWM,Industrials,Aerospace & Defense,118.5,118.5,116.98,118.48,119.91,112.21,97,96,95,81,103.82,1.0,96.32,76.86,0.7
NEM,Basic Materials,Gold,117.66,118.6,118.65,114.9,112.4,97.14,97,94,86,17,54.3,0.94,51.9,42.32,1.01
VTR,Real Estate,REIT - Healthcare Facilities,117.07,117.31,117.35,114.88,104.45,103.81,97,94,61,47,62.95,0.9,61.61,50.87,0.53
UHS,Healthcare,Medical Care Facilities,116.74,117.04,117.05,114.91,107.89,110.42,96,94,73,76,214.33,0.77,227.0,187.09,0.62
BXP,Real Estate,REIT - Office,116.56,116.56,115.47,107.43,93.69,110.79,96,80,11,78,82.97,1.0,75.64,67.06,0.79
CHRW,Industrials,Integrated Freight & Logistics,116.5,116.5,115.41,113.39,104.74,95.44,96,92,63,13,110.17,1.0,102.95,86.23,0.5
FTNT,Technology,Software - Infrastructure,116.43,116.43,113.57,104.9,108.62,109.55,96,68,76,73,82.87,1.0,74.57,66.19,0.58
VST,Utilities,Utilities - Independent Power Producers,115.78,115.78,111.44,146.52,172.41,140.97,96,99,99,99,125.29,0.88,93.95,74.94,1.44
GL,Financial Services,Insurance - Life,115.77,115.77,114.73,107.92,88.27,100.12,95,81,3,29,107.78,0.74,101.59,100.67,0.61
LMT,Industrials,Aerospace & Defense,115.59,115.59,113.7,108.83,99.62,98.0,95,83,32,20,604.17,0.98,571.63,485.02,0.55
TSLA,Consumer Cyclical,Auto Manufacturers,115.59,119.61,122.06,117.96,100.74,89.94,95,96,38,3,217.8,0.62,225.31,202.34,1.82
TRGP,Energy,Oil & Gas Midstream,115.49,115.49,115.92,115.1,117.67,107.04,95,94,93,64,165.76,1.0,147.08,119.11,1.28
MKTX,Financial Services,Capital Markets,115.32,115.32,113.27,104.39,86.57,103.04,95,65,2,44,278.1,0.82,249.91,228.62,0.8
AFL,Financial Services,Insurance - Life,115.02,115.02,114.32,110.45,99.99,97.07,94,88,34,16,113.26,0.95,107.68,90.92,0.64
PHM,Consumer Cyclical,Residential Construction,114.62,114.62,113.34,105.08,109.18,123.65,94,69,78,95,139.2,0.92,133.38,117.07,0.45
KKR,Financial Services,Asset Management,114.37,114.37,113.58,110.72,117.13,124.8,94,89,92,96,135.59,1.0,123.17,105.19,0.71
NVR,Consumer Cyclical,Residential Construction,113.97,113.97,113.26,106.99,106.14,108.61,94,77,68,69,9534.19,0.92,9154.77,8005.16,0.51
WELL,Real Estate,REIT - Healthcare Facilities,113.88,113.88,113.61,110.5,104.43,98.77,94,88,61,23,125.18,0.91,122.53,102.83,0.62
TYL,Technology,Software - Application,113.72,114.08,114.97,114.08,107.15,102.7,93,93,71,42,594.41,1.0,581.27,488.21,0.99
MPWR,Technology,Semiconductors,113.65,114.04,116.23,116.88,111.27,120.06,93,96,83,93,938.47,0.98,888.34,758.34,0.54
