Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
PLTR,152.64,152.64,153.09,160.27,192.33,183.17,99,99,99,99,143.13,0.99,129.06,86.92,0.76
NRG,145.07,145.07,144.33,136.65,113.29,111.46,99,99,80,63,150.27,0.87,147.33,108.47,0.56
COIN,130.1,130.1,122.91,100.89,152.1,148.84,99,33,98,98,373.85,0.99,268.67,243.99,0.93
STX,129.53,129.53,124.32,109.53,97.64,99.64,98,67,17,14,142.01,0.88,118.64,100.13,1.39
AXON,127.94,127.94,127.48,122.76,149.09,151.16,98,96,98,98,805.86,0.96,739.1,600.07,0.58
APH,127.38,127.38,126.44,120.24,105.19,104.27,98,93,48,28,98.21,0.97,89.38,73.52,0.77
DLTR,127.07,127.38,127.6,120.81,103.44,85.82,98,94,40,2,104.75,0.94,92.39,76.15,0.43
HWM,126.55,126.55,126.62,126.43,119.77,120.49,98,97,91,90,181.42,0.96,167.18,130.05,0.68
VST,126.52,126.52,122.89,110.88,144.21,157.71,97,73,98,99,197.01,1.0,165.26,144.93,1.21
DG,126.27,129.2,130.38,129.12,106.24,80.36,97,98,53,2,112.35,0.73,103.44,84.53,0.68
MOS,126.13,126.13,126.37,125.75,106.36,101.14,97,97,55,17,37.32,0.97,34.66,28.06,0.68
AVGO,123.86,123.86,120.3,111.05,127.82,116.17,97,73,96,81,277.9,1.0,239.81,204.12,0.91
CRWD,123.73,123.73,122.93,119.05,122.11,115.83,97,92,93,80,513.51,1.0,465.02,381.74,0.51
JBL,123.09,123.09,119.4,111.43,121.77,115.41,96,74,93,79,221.26,0.96,179.8,149.58,0.98
NFLX,123.01,123.16,123.08,122.12,121.58,117.75,96,95,92,85,1288.28,0.93,1211.03,966.25,0.74
CEG,122.96,122.96,120.01,109.85,121.62,122.56,96,68,92,93,317.11,0.84,292.61,261.02,0.55
SMCI,122.19,122.19,120.92,134.98,129.49,79.89,96,99,97,1,50.02,0.44,41.69,38.18,0.73
PWR,121.13,121.13,119.86,112.49,110.92,115.04,96,77,74,78,382.12,0.97,348.54,312.16,0.53
MCHP,120.58,120.58,115.45,102.64,87.33,86.55,95,40,2,2,74.68,0.68,61.98,60.33,0.68
WDC,120.22,120.22,115.1,102.64,97.67,96.63,95,40,17,8,64.64,0.96,53.76,48.98,1.26
NEM,118.81,120.09,123.02,125.03,111.2,113.56,95,97,75,72,58.75,0.94,54.66,47.86,0.83
RCL,118.14,118.14,114.13,105.85,127.66,128.52,95,55,96,96,333.57,1.0,263.67,231.23,0.81
JCI,116.88,116.88,116.57,114.58,106.27,109.0,95,83,54,47,106.5,0.99,99.01,84.72,1.11
BA,116.71,116.71,117.02,115.88,109.45,95.02,94,86,69,7,226.6,1.0,203.1,173.38,1.93
UBER,116.6,116.6,117.69,120.11,111.59,109.83,94,93,76,52,96.64,0.98,87.43,75.86,0.66
GE,116.17,116.17,117.37,117.33,115.65,108.76,94,89,86,46,250.33,0.93,234.73,198.49,0.89
PM,116.0,118.65,124.87,133.34,122.85,115.0,94,98,94,77,177.98,0.93,176.01,144.04,0.73
MU,115.92,115.92,112.24,103.79,101.77,96.77,94,46,32,8,122.24,0.81,104.07,97.67,0.96
HII,115.88,116.57,121.81,123.2,100.98,107.18,93,96,28,38,248.92,0.76,231.27,210.97,0.57
CAH,115.76,117.19,119.04,119.33,113.65,112.94,93,92,81,70,164.26,0.96,155.47,130.09,0.63
MPWR,115.38,115.38,113.22,109.32,97.62,107.41,93,65,17,39,751.14,0.61,688.74,674.28,0.93
KLAC,115.29,115.29,113.54,108.78,108.41,91.36,93,63,64,4,923.18,1.0,807.91,721.42,0.52
INTU,115.25,115.45,115.47,113.37,97.94,100.24,93,79,18,15,769.59,0.93,720.45,641.98,0.88
ORCL,115.19,115.19,110.93,97.7,107.92,120.08,92,20,62,90,235.81,0.99,180.11,168.78,0.82
ULTA,115.13,115.45,115.45,110.36,104.92,101.86,92,70,47,20,475.57,0.95,438.83,396.82,0.66
VRSN,115.0,117.33,124.24,129.94,123.94,104.5,92,98,94,29,289.76,1.0,280.81,227.93,0.84
DASH,114.74,114.74,113.83,117.46,123.11,127.45,92,89,94,95,246.06,0.99,213.37,184.07,0.62
NVDA,114.55,114.55,111.65,103.96,109.98,110.48,92,46,71,55,162.88,1.0,137.3,130.69,0.9
IDXX,114.06,114.06,113.9,111.13,101.8,101.54,91,74,32,19,540.64,0.97,511.81,455.46,0.72
LRCX,113.69,113.69,111.21,105.82,105.33,87.75,91,55,49,3,99.81,0.77,86.08,78.28,0.72
TT,112.49,112.61,112.53,110.73,102.73,109.75,91,72,36,51,433.61,0.97,420.5,385.33,0.62
RL,111.92,111.92,110.84,112.03,123.06,116.11,91,77,94,80,290.56,1.0,265.6,233.78,0.84
DELL,111.85,111.85,108.62,100.91,101.61,104.51,91,33,31,29,126.63,0.77,111.41,111.31,0.66
ROK,111.49,111.49,110.0,105.05,103.08,103.01,91,52,38,23,340.26,0.95,308.62,280.8,0.62
MSFT,111.48,111.48,110.96,106.91,97.51,95.92,90,58,16,7,503.51,1.0,462.64,424.18,0.9
TPR,111.35,111.35,110.18,131.6,147.06,130.86,90,98,98,97,95.31,1.0,80.99,67.69,1.34
TTWO,111.28,112.73,117.25,124.67,118.33,111.39,90,96,89,62,242.23,0.99,232.86,198.57,0.57
AMD,111.08,111.08,108.3,99.61,83.62,94.39,90,28,1,6,138.41,0.57,118.57,123.7,0.8
CTVA,110.94,111.06,111.27,110.51,108.67,109.25,90,71,66,49,76.2,0.97,70.2,62.48,1.64
HAS,110.71,110.71,109.56,109.53,101.98,118.73,89,67,33,88,76.68,0.95,67.54,62.68,0.97
PODD,110.67,112.07,113.01,112.69,114.5,118.68,89,78,83,88,297.46,0.8,302.5,269.69,0.51
TSLA,110.25,110.7,110.7,101.13,159.68,147.29,89,34,99,98,295.88,0.36,319.17,315.53,0.67
CDNS,110.25,110.25,109.95,108.42,107.67,104.16,89,62,61,27,322.91,0.96,306.02,287.12,0.55
BKNG,110.12,110.2,110.07,108.94,116.75,117.77,89,64,87,85,5668.04,0.94,5391.3,4882.16,0.84
