Ticker,Name,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
6144,得利影,Communication Services,Entertainment,286.36,315.01,334.96,335.91,196.91,113.59,99,99,98,82,85.1,0.66,104.29,47.32,0.27
3230,錦明,Technology,Electronic Components,284.61,288.68,287.14,237.69,138.8,106.32,99,99,93,71,48.9,0.74,48.43,22.35,0.61
8937,合騏,Consumer Cyclical,Recreational Vehicles,236.91,236.91,236.52,205.26,108.32,93.8,99,98,73,16,83.9,1.0,65.57,34.32,0.96
4510,高鋒,Industrials,Specialty Industrial Machinery,213.6,223.81,238.86,227.28,108.13,97.74,99,99,73,39,45.5,0.76,45.86,25.66,0.54
4583,台灣精銳,Industrials,Specialty Industrial Machinery,211.84,211.84,200.17,166.96,107.91,100.24,99,97,73,53,802.0,0.95,626.31,348.01,1.15
2070,精湛,Industrials,Specialty Industrial Machinery,208.63,211.29,211.69,194.82,111.61,105.06,99,98,77,68,92.9,0.74,91.56,52.11,0.14
5364,力麗店,Consumer Cyclical,Lodging,203.6,204.01,200.87,183.05,91.7,88.64,99,97,30,4,40.1,0.75,41.37,24.52,0.07
8374,羅昇,Industrials,Industrial Distribution,203.31,219.38,272.74,313.46,214.41,93.75,99,99,98,15,130.5,0.8,140.77,74.44,0.24
6199,天品,Technology,Computer Hardware,188.96,188.96,181.72,168.07,105.85,135.57,99,97,69,95,68.7,0.95,57.8,36.81,6.08
2424,隴華,Technology,Consumer Electronics,183.1,183.1,170.32,134.22,89.52,107.95,99,92,22,75,80.1,0.93,58.13,36.85,0.19
8080,印鉐,Technology,Electronic Components,181.76,181.76,175.49,154.76,176.14,169.04,99,96,97,98,35.2,0.88,30.86,19.29,0.47
1540,喬福,Industrials,Specialty Industrial Machinery,181.12,188.64,190.75,183.38,109.51,98.79,98,97,75,44,43.95,0.82,43.52,27.06,0.18
3167,大量,Industrials,Specialty Industrial Machinery,179.94,179.94,171.34,142.21,106.51,110.47,98,94,71,78,147.0,0.83,113.72,74.15,1.35
6609,瀧澤科,Technology,Electronic Components,179.82,179.82,170.32,151.88,115.13,96.32,98,95,81,31,116.5,0.97,82.51,49.48,1.12
5443,均豪,Technology,Semiconductor Equipment & Materials,178.48,186.14,201.26,201.26,152.21,152.21,98,98,96,97,121.5,0.74,136.31,79.32,0.16
4569,六方科-KY,Industrials,Metal Fabrication,178.07,178.07,168.33,134.05,97.54,90.46,98,92,50,6,272.5,1.0,189.62,119.32,8.4
2524,京城,Real Estate,Real Estate—Development,174.83,187.06,195.27,194.78,134.67,114.75,98,98,92,84,79.6,0.47,105.26,64.12,0.17
3450,聯鈞,Technology,Semiconductor Equipment & Materials,173.65,173.65,175.1,175.39,139.85,105.51,98,97,93,69,224.0,0.86,181.41,108.98,1.29
3073,天方能源,Technology,Semiconductors,170.77,192.62,223.71,223.71,142.22,108.26,98,98,94,75,73.4,0.56,81.42,51.08,0.3
3663,鑫科,Industrials,Metal Fabrication,168.8,171.39,181.1,181.05,111.47,111.26,98,97,77,79,97.8,0.84,93.77,60.07,2.08
6640,均華,Technology,Semiconductors,168.41,178.8,197.19,200.68,216.74,207.5,98,98,99,99,730.0,0.65,906.58,539.97,0.88
4563,百德,Industrials,Specialty Industrial Machinery,167.52,167.52,164.2,146.92,102.09,95.33,98,95,63,25,111.5,0.78,98.3,64.47,0.23
4562,穎漢,Industrials,Specialty Industrial Machinery,165.59,175.26,219.58,267.86,239.41,98.15,98,99,99,41,67.2,0.8,69.91,40.85,0.25
6706,惠特,Industrials,Specialty Industrial Machinery,165.5,169.0,174.44,176.72,144.71,101.59,98,97,94,58,172.0,0.9,152.21,94.89,0.35
2543,皇昌,Industrials,Engineering & Construction,163.91,163.91,161.53,152.51,158.54,143.86,98,95,96,96,89.5,1.0,62.52,39.29,0.97
5481,新華,Consumer Defensive,Education & Training Services,163.26,163.26,157.91,142.36,91.86,96.51,98,94,31,32,28.2,0.94,24.56,16.57,0.37
5345,天揚,Technology,Electronic Components,162.99,175.92,224.75,226.0,134.97,83.62,98,98,92,1,31.15,0.74,29.94,18.56,3.19
6739,竹陞科技,Technology,Semiconductors,162.83,163.68,169.04,169.04,135.72,134.02,98,97,92,94,183.5,0.77,175.54,112.95,0.22
4903,聯光通,Technology,Communication Equipment,160.79,160.79,157.02,133.09,123.25,106.54,98,91,87,71,49.4,0.87,36.08,24.35,0.84
6187,萬潤,Industrials,Specialty Industrial Machinery,160.6,160.6,156.88,145.59,152.48,154.08,98,94,96,97,452.0,0.79,421.22,282.94,0.1
3081,聯亞,Technology,Semiconductor Equipment & Materials,160.04,160.04,149.14,119.14,115.37,114.75,98,86,81,84,360.0,0.93,237.43,159.8,2.16
9906,欣巴巴,Industrials,Engineering & Construction,158.45,174.61,191.6,192.08,125.53,116.63,97,98,88,86,120.0,0.42,168.46,108.61,0.42
3535,晶彩科,Technology,Computer Hardware,158.18,173.82,224.95,236.25,169.19,104.56,97,99,97,67,61.5,0.69,64.68,40.71,0.48
4304,勝昱,Consumer Cyclical,Packaging & Containers,156.42,167.95,196.48,196.55,98.4,96.39,97,98,53,31,11.15,0.75,11.91,8.62,0.8
6877,鏵友益,Technology,Semiconductor Equipment & Materials,155.91,158.44,170.38,175.48,123.25,89.66,97,97,87,5,65.7,0.6,72.75,47.42,0.2
6231,系微,Technology,Software—Application,155.69,162.18,169.22,169.22,141.62,138.75,97,97,93,95,547.0,0.9,495.99,326.74,0.66
8043,蜜望實,Technology,Electronic Components,155.17,155.17,151.31,143.69,85.77,99.27,97,94,9,47,45.6,0.8,42.98,30.33,2.39
8028,昇陽半導體,Technology,Semiconductors,154.88,161.23,178.46,182.77,140.2,94.62,97,97,93,21,128.5,0.87,128.59,82.87,0.19
6442,光聖,Technology,Electronic Components,153.93,165.37,202.53,244.48,219.83,156.62,97,99,99,97,485.0,0.88,406.01,254.76,1.2
3581,博磊,Technology,Semiconductors,153.17,153.17,161.35,161.16,111.01,108.54,97,96,77,76,70.0,0.96,55.92,38.47,2.06
4950,牧東,Consumer Cyclical,"Furnishings, Fixtures & Appliances",151.24,151.24,145.03,117.78,86.08,82.15,97,85,10,1,12.55,0.74,10.51,7.62,0.33
3086,華義,Communication Services,Electronic Gaming & Multimedia,150.29,152.63,152.63,143.54,113.72,178.6,97,94,79,98,180.0,0.6,201.89,144.95,0.39
6223,旺矽,Technology,Semiconductor Equipment & Materials,149.92,150.53,150.96,150.94,147.29,132.93,97,95,95,94,813.0,0.93,766.66,495.08,1.18
4729,熒茂,Technology,Electronic Components,149.82,149.82,145.7,128.25,109.17,109.81,97,90,74,78,32.1,0.84,27.04,20.37,0.83
3018,隆銘綠能,Industrials,Engineering & Construction,149.71,157.58,168.95,166.5,114.95,97.81,97,97,81,40,29.95,0.9,28.8,19.9,0.44
4909,新復興,Technology,Electronic Components,148.95,153.85,155.11,149.34,218.89,221.8,97,95,99,99,141.5,0.69,144.13,97.18,0.29
4513,福裕,Industrials,Specialty Industrial Machinery,148.1,160.79,173.21,173.42,159.94,128.24,97,97,97,92,40.15,0.34,60.97,39.59,0.22
1213,大飲,Consumer Defensive,Beverages—Non-Alcoholic,146.89,152.34,153.23,148.31,96.65,95.87,97,95,48,28,12.3,0.85,12.19,8.84,0.07
1235,興泰,Consumer Defensive,Farm Products,146.82,146.82,144.62,133.97,98.37,96.93,97,92,53,34,154.5,0.97,136.52,97.06,0.14
3379,彬台,Industrials,Specialty Industrial Machinery,146.73,160.81,194.45,220.63,160.43,102.53,97,98,97,61,35.5,0.65,38.08,25.54,0.33
8249,菱光,Industrials,Electrical Equipment & Parts,146.55,146.55,138.4,117.58,89.54,95.22,97,85,22,25,67.6,0.97,49.4,36.81,7.46
2365,昆盈,Technology,Computer Hardware,146.46,162.98,201.45,233.38,179.09,140.44,97,99,98,95,47.5,0.65,55.67,36.07,0.28
3019,亞光,Technology,Electronic Components,146.31,151.35,156.02,150.87,98.53,101.42,96,95,53,57,108.5,0.68,115.2,81.35,0.8
3293,鈊象,Communication Services,Electronic Gaming & Multimedia,146.28,146.35,145.24,139.51,123.96,124.94,96,93,87,90,1040.0,0.9,893.58,624.45,0.86
6151,晉倫,Basic Materials,Specialty Chemicals,146.23,146.23,141.3,129.86,93.73,95.69,96,91,37,27,62.0,1.0,42.31,31.4,0.38
3013,晟銘電,Technology,Computer Hardware,145.89,147.36,147.36,144.23,149.27,116.65,96,94,95,86,162.5,1.0,126.53,85.83,1.14
