Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
3230,錦明,283.61,288.67,288.32,245.3,140.05,105.82,99,99,93,71,48.5,0.73,48.84,22.55,0.68
6144,得利影,276.76,311.62,332.09,335.85,201.4,113.86,99,99,98,83,76.6,0.58,104.11,47.64,0.41
8937,合騏,236.97,236.97,236.57,211.34,110.04,91.56,99,98,75,10,83.9,1.0,66.34,34.63,0.71
4583,台灣精銳,213.7,213.7,202.49,171.92,107.52,98.34,99,97,72,45,777.0,0.91,634.14,350.82,0.93
4510,高鋒,211.33,221.95,238.85,231.82,109.36,97.19,99,99,75,39,41.25,0.66,45.91,25.79,0.4
2070,精湛,207.49,210.94,211.62,199.67,112.84,102.27,99,98,79,62,88.0,0.68,92.12,52.39,0.24
5364,力麗店,202.8,204.02,201.96,186.51,93.02,88.52,99,98,35,5,40.0,0.75,41.56,24.6,0.12
8374,羅昇,199.09,216.84,265.46,313.46,218.73,93.88,99,99,99,21,128.0,0.78,140.64,74.94,0.15
6199,天品,190.33,190.33,183.19,170.58,105.13,134.13,99,97,69,94,67.5,0.92,57.96,37.01,1.2
2424,隴華,185.43,185.43,172.79,137.63,88.56,86.67,99,93,19,3,79.3,0.92,59.14,37.1,0.51
8080,印鉐,182.9,182.9,177.14,158.25,175.89,169.87,99,96,97,98,34.0,0.84,31.22,19.42,0.38
6609,瀧澤科,181.21,181.21,172.13,155.06,115.55,96.03,98,96,82,34,105.0,0.84,83.62,49.84,0.84
3167,大量,181.09,181.09,172.96,146.31,106.32,111.71,98,94,71,80,146.0,0.82,115.02,74.63,1.04
4569,六方科-KY,181.07,181.07,169.66,139.71,97.49,90.11,98,93,51,7,299.5,1.0,193.65,120.36,6.77
1540,喬福,179.26,187.4,190.75,185.51,110.79,98.91,98,97,77,48,43.2,0.8,43.62,27.19,0.21
5443,均豪,176.76,185.06,200.85,201.28,152.28,152.49,98,98,96,97,122.5,0.74,136.74,79.79,0.21
3450,聯鈞,173.77,173.77,173.93,175.41,141.41,105.8,98,97,93,71,214.0,0.81,183.04,109.75,1.38
2524,京城,172.09,184.86,195.26,194.97,134.54,115.23,98,98,92,84,79.3,0.46,104.72,64.36,0.13
3663,鑫科,167.99,170.8,180.81,181.03,110.48,110.18,98,97,76,78,93.1,0.77,93.79,60.35,1.01
4563,百德,167.73,167.73,164.83,150.08,102.61,96.66,98,95,64,36,104.5,0.7,98.97,64.75,0.31
3073,天方能源,166.44,188.73,222.1,223.58,144.59,107.01,98,98,94,73,71.4,0.54,81.52,51.31,0.19
6640,均華,165.43,177.58,193.8,200.69,217.02,209.57,98,98,99,99,690.0,0.61,906.24,542.72,1.06
6706,惠特,165.14,168.15,173.86,176.75,146.75,103.56,98,97,94,65,165.0,0.85,153.2,95.38,0.38
2543,皇昌,164.84,164.84,161.78,154.68,158.56,144.41,98,96,96,96,92.6,1.0,63.35,39.68,0.95
5481,新華,164.25,164.25,159.14,144.97,91.99,96.31,98,94,32,35,27.6,0.9,24.73,16.64,0.18
4562,穎漢,163.48,173.63,212.81,267.84,241.21,98.5,98,99,99,45,65.3,0.77,69.66,41.1,0.18
6739,竹陞科技,162.3,163.62,167.53,168.99,135.03,133.24,98,97,92,94,178.5,0.74,176.13,113.57,0.42
3081,聯亞,162.13,162.13,151.25,122.11,116.23,115.84,98,87,83,85,324.0,0.8,241.6,160.9,1.13
4903,聯光通,161.44,161.44,158.54,133.08,124.07,106.23,98,91,87,72,44.6,0.75,36.48,24.48,0.7
6187,萬潤,160.94,160.94,157.77,148.22,152.01,155.35,98,95,96,97,439.0,0.76,424.0,284.45,0.2
5345,天揚,160.87,173.31,217.24,226.08,137.43,84.91,98,98,92,2,29.2,0.67,29.98,18.65,2.58
8043,蜜望實,155.56,155.56,151.93,145.4,86.32,99.14,97,94,11,49,43.3,0.72,42.99,30.4,1.07
3535,晶彩科,155.5,169.75,218.97,236.24,172.18,104.64,97,99,97,68,59.3,0.65,64.52,40.91,0.39
9906,欣巴巴,155.06,171.64,191.08,192.06,127.3,116.54,97,98,89,86,124.5,0.45,166.83,108.96,0.58
6877,鏵友益,154.86,158.1,167.49,175.47,124.31,88.74,97,97,88,5,64.0,0.57,72.64,47.58,0.22
6231,系微,154.48,161.1,169.16,169.31,143.92,143.98,97,97,94,96,543.0,0.89,498.74,328.28,0.55
4304,勝昱,154.47,165.51,193.37,196.57,101.51,97.76,97,98,62,42,12.2,0.87,11.92,8.64,2.61
3581,博磊,153.76,153.76,160.63,161.34,111.64,108.5,97,96,77,76,67.5,0.91,56.45,38.68,0.74
8028,昇陽半導體,153.35,159.97,176.3,182.78,142.14,95.39,97,97,94,30,126.0,0.85,128.77,83.23,0.26
6442,光聖,152.34,162.71,193.74,244.49,222.68,157.08,97,99,99,97,454.0,0.81,407.75,256.71,1.25
4950,牧東,152.29,152.29,146.52,122.2,86.04,82.07,97,87,10,1,12.25,0.7,10.62,7.65,0.4
4729,熒茂,150.54,150.54,146.7,131.24,108.59,109.69,97,91,74,78,30.85,0.78,27.3,20.45,0.56
6223,旺矽,149.87,150.27,150.96,150.94,147.26,132.93,97,95,95,94,806.0,0.92,770.96,498.06,0.72
3086,華義,149.36,152.63,152.64,146.24,114.49,181.51,97,94,81,98,175.5,0.57,202.27,145.18,0.25
8249,菱光,148.92,148.92,139.71,121.9,89.04,93.77,97,87,20,21,73.5,1.0,50.21,37.01,5.96
3018,隆銘綠能,148.22,156.41,168.92,168.46,116.39,96.77,97,97,83,37,29.8,0.89,28.9,19.98,0.43
4909,新復興,148.05,153.23,155.11,150.96,216.24,221.4,97,95,99,99,134.5,0.65,144.43,97.69,0.46
1235,興泰,147.39,147.39,145.25,135.71,98.77,95.79,97,92,54,33,163.0,1.0,137.42,97.48,1.13
6151,晉倫,147.32,147.32,141.98,131.64,94.23,95.67,97,91,40,32,61.0,0.97,42.88,31.57,0.32
3293,鈊象,146.33,146.35,145.58,140.38,123.51,124.97,97,93,87,91,1070.0,0.94,898.98,627.99,0.82
1213,大飲,145.84,151.34,153.22,149.34,97.54,94.15,97,95,51,23,12.0,0.81,12.17,8.87,0.2
3013,晟銘電,145.8,147.17,147.36,143.88,149.23,117.64,97,94,95,87,157.0,0.95,127.55,86.37,1.03
4513,福裕,145.74,158.34,172.48,173.43,160.0,129.95,96,97,97,93,39.6,0.33,60.32,39.69,0.17
3019,亞光,145.62,150.13,156.02,152.43,99.23,100.89,96,95,56,57,105.0,0.63,115.14,81.52,0.43
3550,聯穎,144.74,144.74,141.53,128.44,90.27,90.87,96,90,26,8,24.2,0.67,23.38,17.22,0.29
3131,弘塑,144.23,149.35,155.66,156.27,151.5,148.96,96,96,95,97,1530.0,0.65,1818.2,1232.02,0.89
3379,彬台,144.01,157.83,187.73,220.64,163.8,102.87,96,98,97,64,34.0,0.6,37.96,25.63,0.31
2365,昆盈,143.35,159.9,196.95,233.36,182.55,140.08,96,99,98,96,46.45,0.63,55.3,36.23,0.24
6405,悅城,143.17,143.17,135.94,123.3,91.01,96.5,96,88,29,36,44.6,0.82,36.13,27.35,0.61
6228,全譜,142.66,153.92,168.96,193.59,139.88,99.54,96,98,93,51,41.95,0.38,49.24,36.35,0.37
3580,友威科,142.48,147.45,161.05,163.59,120.08,100.0,96,96,85,53,98.7,0.68,102.98,72.36,0.57
1736,喬山,142.47,144.49,144.66,134.79,114.85,93.64,96,92,81,20,148.0,0.86,133.44,95.33,0.4
6788,華景電,142.4,144.98,153.27,153.78,113.42,95.0,96,95,79,28,261.5,0.79,264.17,181.76,0.84
6535,順藥,141.56,141.56,136.73,129.16,212.2,216.7,96,90,98,99,387.0,1.0,282.24,201.49,1.49
8064,東捷,141.29,144.95,164.1,171.8,149.48,132.21,96,97,95,94,65.6,0.89,60.76,41.15,0.6
2349,錸德,140.14,150.04,177.84,178.82,131.37,94.31,96,97,91,24,14.85,0.6,15.98,11.31,0.32
8111,立碁,139.97,139.97,132.7,109.85,106.15,107.48,96,77,70,74,41.05,0.78,33.19,25.24,0.7
2924,宏太-KY,139.74,141.47,141.68,135.9,93.46,93.74,96,92,37,21,35.0,0.5,37.62,29.45,
3303,岱稜,138.81,138.92,138.61,138.74,115.57,101.58,96,93,82,59,57.9,0.73,60.63,43.03,0.21
4561,健椿,138.73,138.73,140.24,141.25,134.83,106.07,96,93,92,72,69.0,0.74,71.65,49.75,0.19
6134,萬旭,138.24,138.24,131.92,117.59,97.21,98.75,96,84,50,47,36.55,0.71,31.03,23.6,1.11
3047,訊舟,138.16,149.49,181.94,199.15,162.43,110.66,96,98,97,79,33.2,0.6,38.96,26.54,0.2
2467,志聖,137.92,145.42,156.33,156.97,176.88,178.65,96,96,97,98,207.5,0.79,220.03,154.32,0.34
8032,光菱,137.82,137.82,125.63,106.38,89.03,94.31,95,72,20,24,77.2,1.0,39.88,31.79,0.64
3522,御嵿,137.5,138.9,138.35,129.2,85.9,105.47,95,90,10,71,23.45,0.53,24.76,20.15,0.17
3374,精材,137.24,143.41,156.47,165.96,118.07,100.22,95,97,84,54,209.5,0.59,234.86,168.06,0.34
4534,慶騰,136.61,146.87,178.94,195.54,152.23,101.03,95,98,96,57,22.15,0.6,25.2,17.47,0.21
3498,陽程,136.61,136.61,136.98,137.62,116.54,102.05,95,93,83,61,66.1,0.82,57.29,42.41,0.47
4576,大銀微系統,136.55,136.55,128.6,118.48,102.94,101.03,95,85,65,57,151.0,1.0,104.17,80.67,0.37
2364,倫飛,136.19,136.19,135.12,124.76,81.14,74.1,95,89,3,1,91.3,0.62,95.72,76.28,0.18
2399,映泰,135.93,135.93,129.7,108.27,85.98,94.79,95,74,10,27,36.45,0.72,29.88,24.47,1.11
5234,達興材料,135.31,135.31,130.69,113.14,129.56,128.05,95,80,90,92,232.0,0.85,203.76,156.06,0.67
5484,慧友,135.08,145.95,197.07,261.53,190.07,113.89,95,99,98,83,58.2,0.39,70.45,48.0,0.35
4716,大立,134.89,134.89,131.44,127.73,126.27,101.22,95,90,89,58,30.2,0.81,26.54,19.22,0.71
3665,貿聯-KY,134.78,136.66,141.73,144.19,115.85,92.13,95,94,82,12,470.0,0.91,441.21,322.13,0.7
3227,原相,134.7,134.7,132.85,123.16,95.69,108.46,95,88,45,76,243.0,0.78,233.44,179.29,0.22
5386,青雲,134.62,134.62,130.81,123.07,119.3,116.07,95,88,85,86,99.7,0.82,90.26,69.38,3.95
3363,上詮,134.42,134.62,132.65,138.46,146.53,131.65,95,93,94,94,211.0,0.79,192.08,140.0,1.2
2236,百達-KY,134.21,134.21,134.84,133.89,103.36,93.08,95,91,65,17,125.5,0.96,111.48,85.03,
6246,臺龍,133.74,133.74,127.08,107.57,94.51,111.13,95,74,41,80,26.2,0.79,20.37,16.46,1.32
8467,波力-KY,133.49,135.73,135.9,131.47,135.2,173.93,95,91,92,98,261.5,0.91,247.99,198.7,0.2
1225,福懋油,133.19,145.71,177.75,184.35,150.23,93.36,95,97,95,18,93.5,0.32,141.62,94.1,0.79
3447,展達,132.78,132.78,122.56,112.36,85.72,86.48,95,79,9,3,81.4,1.0,44.51,36.45,14.66
1799,易威,132.74,151.66,194.6,215.34,175.9,140.71,94,98,97,96,95.5,0.33,162.98,105.87,1.03
6446,藥華藥,132.53,139.1,152.58,159.99,134.39,95.93,94,96,92,33,649.0,0.81,667.66,475.43,0.3
