Ticker,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
DRUG,69363.76,69363.76,18698.06,108.95,89.7,138.21,99,67,12,86,44.11,0.79,18.96,5.7,0.06
TECX,2257.99,3240.53,17616.09,229500.82,33702.29,95.37,99,99,99,21,46.07,1.0,30.59,19.68,1.21
STEC,1878.21,1878.21,1041.09,137.67,55.65,54.67,99,92,1,1,1.23,0.15,0.76,0.78,0.04
MIRA,1143.55,1755.64,7416.6,7029.22,646.62,113.49,99,99,98,67,1.71,0.26,1.35,1.21,0.51
CHSN,1006.51,1006.51,777.07,205.56,162.24,332.87,99,97,92,98,5.58,0.32,7.09,3.19,0.14
GNLN,909.8,1110.27,1091.7,761.44,127.7,117.55,99,99,84,73,2.1,0.01,4.24,5.12,0.16
MNPR,893.13,893.13,466.55,127.28,319.74,312.24,99,88,98,98,16.66,0.49,7.84,4.47,0.06
QH,833.93,833.93,713.61,374.04,72.97,104.79,99,98,3,47,1.33,0.72,1.28,0.84,0.01
CNEY,780.9,780.9,662.44,308.57,59.01,70.21,99,98,2,2,0.4,0.04,0.55,0.73,0.01
CING,689.87,689.87,629.72,467.67,62.49,119.24,99,98,2,75,4.52,0.02,4.84,9.02,2.24
TWG,647.41,647.41,519.98,154.8,101.87,103.13,99,94,47,43,0.41,0.0,2.46,1.52,0.26
LASE,591.04,612.75,615.21,452.96,253.45,225.21,99,98,97,96,5.55,0.27,7.74,3.42,0.08
SRRK,539.08,539.08,420.87,135.82,100.15,143.45,99,91,41,88,28.15,0.77,19.14,13.96,0.5
DUO,529.26,529.26,468.48,546.39,524.94,75.81,99,99,98,3,0.89,0.13,1.18,0.7,0.33
IMG,474.78,474.78,407.17,266.74,230.45,82.17,99,98,96,4,0.69,0.06,0.82,1.54,0.03
VRAX,473.25,473.25,466.24,438.55,178.05,63.36,99,98,94,2,2.41,0.31,2.28,1.52,0.26
NOVVU,469.83,469.83,436.28,293.06,95.9,95.41,99,98,27,21,41.0,1.0,36.39,17.9,
WHLR,456.07,456.07,353.08,142.47,77.96,155.16,99,93,4,90,7.21,0.0,12.28,167.82,0.05
GLMD,429.15,429.15,403.86,273.1,100.71,109.13,99,98,43,59,2.88,0.01,4.73,4.29,0.02
DSY,428.79,428.79,395.66,215.12,90.19,93.54,99,97,13,15,3.51,0.27,4.27,6.05,0.27
LUMN,422.16,493.51,556.48,526.5,125.08,122.64,99,99,83,78,10.12,1.0,6.66,3.14,1.37
