Ticker,Sector,Industry,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
WGS,Healthcare,Health Information Services,669.49,768.64,708.38,794.56,663.41,311.46,99,99,99,97,55.0,1.0,37.35,20.68,1.48
CHSN,Consumer Cyclical,Restaurants,566.47,683.75,134.98,101.17,152.8,116.62,99,52,90,73,12.24,0.8,3.08,2.13,0.0
SEZL,Financial Services,Credit Services,535.49,535.49,521.68,364.08,286.17,313.32,99,99,98,97,159.34,0.9,136.65,79.94,0.61
FTEL,Consumer Cyclical,Specialty Retail,510.23,510.23,448.23,1173.25,868.23,309.78,99,99,99,97,15.45,0.38,16.02,12.28,0.46
LASE,Industrials,Specialty Industrial Machinery,461.84,547.37,1036.99,538.7,181.62,148.59,99,99,94,88,8.3,0.42,6.46,2.87,1.11
SMMT,Healthcare,Biotechnology,448.89,486.58,818.49,654.53,419.71,241.74,99,99,98,96,18.61,0.56,16.94,8.21,0.29
ASTS,Technology,Communication Equipment,447.53,495.81,514.99,912.53,334.45,106.23,99,99,98,59,23.07,0.58,26.61,10.97,0.38
INSG,Technology,Communication Equipment,429.08,429.08,402.63,358.68,351.42,74.1,99,98,98,10,18.82,0.98,14.5,7.47,0.77
LUMN,Communication Services,Telecom Services,406.96,468.77,493.55,460.21,83.58,90.58,99,99,18,29,6.28,0.84,5.87,2.54,0.26
NEON,Technology,Electronic Components,403.46,403.46,631.28,359.25,166.4,72.62,99,99,92,9,8.84,0.7,6.62,3.17,0.33
DOGZ,Consumer Cyclical,Leisure,371.4,373.87,363.37,341.44,262.46,138.26,99,98,97,85,35.5,0.97,23.76,12.62,2.9
LENZ,Healthcare,Biotechnology,370.67,425.29,547.93,588.61,734.55,743.7,99,99,99,99,23.6,0.91,22.9,14.91,0.48
ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",363.08,374.19,616.06,579.2,645.53,671.05,99,99,99,99,2.8,0.77,3.02,2.04,0.71
CAPR,Healthcare,Biotechnology,347.76,417.93,329.36,100.26,137.03,137.27,99,51,86,85,17.14,0.76,7.15,5.62,0.99
RAIL,Industrials,Railroads,345.9,357.64,340.98,258.33,129.77,123.06,99,98,83,78,11.88,0.94,7.94,4.47,0.38
TIL,Healthcare,Biotechnology,331.84,504.44,794.16,240.13,107.09,124.87,99,97,63,79,37.49,0.4,32.41,16.29,0.43
CLOV,Healthcare,Healthcare Plans,323.15,345.46,345.46,300.4,136.42,88.25,99,98,85,21,3.95,0.97,2.84,1.46,0.5
NOVVU,Financial Services,Shell Companies,313.07,314.02,319.81,108.19,98.49,97.22,99,64,49,44,41.0,1.0,24.21,14.79,0.0
COMM,Technology,Communication Equipment,310.65,354.74,367.05,254.97,86.24,80.85,99,98,21,14,6.05,0.9,4.65,2.37,0.52
HROW,Healthcare,Drug Manufacturers—Specialty & Generic,286.85,294.05,308.91,285.57,150.58,82.83,99,98,90,15,49.67,0.97,40.69,20.96,0.93
PSNL,Healthcare,Diagnostics & Research,283.2,309.09,392.74,403.31,106.88,101.89,99,99,63,53,4.94,0.74,5.08,2.46,0.22
CRVS,Healthcare,Biotechnology,282.23,290.51,304.88,218.31,106.58,163.45,99,97,62,91,5.81,0.96,4.54,2.63,0.72
ESGL,Industrials,Waste Management,278.47,279.84,290.19,204.59,170.16,58.47,99,96,92,5,2.1,0.94,1.61,0.95,0.13
KINS,Financial Services,Insurance—Property & Casualty,278.44,278.44,284.05,396.59,233.42,252.06,99,99,96,97,9.44,0.76,8.9,5.3,0.42
NOVV,Financial Services,Shell Companies,276.06,278.65,285.36,101.31,95.6,94.3,99,53,44,38,37.0,1.0,22.26,14.4,0.0
TISI,Industrials,Specialty Business Services,273.48,282.57,237.46,214.42,115.01,118.52,99,97,73,74,25.15,0.99,14.37,9.1,1.56
AGBA,Financial Services,Asset Management,269.85,406.44,395.61,438.04,637.85,61.27,99,99,99,6,1.03,0.45,1.18,0.89,2.04
WLFC,Industrials,Rental & Leasing Services,263.97,263.97,246.34,190.59,133.77,97.21,99,95,85,44,163.4,1.0,117.34,71.69,1.27
DAVE,Technology,Software—Application,262.84,300.56,273.82,374.17,581.62,530.2,98,99,99,99,41.24,0.75,37.37,33.24,2.35
RCAT,Technology,Computer Hardware,256.7,299.15,341.2,317.6,169.36,97.37,98,98,92,44,3.19,0.91,2.8,1.47,0.79
CDNA,Healthcare,Diagnostics & Research,251.32,269.6,253.58,283.47,163.72,130.4,98,98,92,82,30.53,0.88,29.22,16.3,1.02
WLGS,Industrials,Engineering & Construction,250.8,255.25,253.41,144.34,84.45,110.16,98,90,19,65,1.7,0.9,0.95,0.7,0.32
