Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
IRM,Real Estate,REIT - Specialty,120.49,-1.08,-0.12,-0.11,305.9,0.14,10166.83,0.78,-0.95,19.885,152.72,99,73
GE,Industrials,Aerospace & Defense,189.28,-0.22,-0.04,5.08,59.0,,7134.34,3.69,-11.9,63.738,51.24,99,18
QRVO,Technology,Semiconductors,102.16,-5.58,46.99,-2.31,103.41,,6763.27,-0.28,10.25,41.376,,99,92
TRGP,Energy,Oil & Gas Midstream,163.4,0.09,0.12,0.13,-0.07,40.0,3091.86,4.75,1.16,73.064,34.31,98,79
TRV,Financial Services,Insurance - Property & Casualty,231.47,-1.1,-0.45,3.04,34.14,,2261.32,15.79,-2.05,192.627,14.74,98,71
ES,Utilities,Utilities - Regulated Electric,63.39,-0.57,3.47,-4.79,22.75,,1454.09,-0.29,-11.78,32.351,,98,19
FIS,Technology,Information Technology Services,86.37,-1.86,1.93,2.77,26.32,,1307.73,1.01,-14.34,17.242,85.36,98,12
HST,Real Estate,REIT - Hotel & Motel,17.45,-0.12,1.0,0.19,0.13,,1065.41,1.06,8.94,7.764,16.46,98,91
CCL,Consumer Cyclical,Travel Services,20.2,18.57,3.43,-3.25,0.61,,980.99,1.17,44.16,19.351,17.45,97,98
INTU,Technology,Software - Application,620.57,0.0,5.77,0.47,25.66,0.15,846.52,10.44,5.21,58.161,59.43,97,87
PODD,Healthcare,Medical Devices,231.84,2.64,-1.0,1.0,5.9,,819.89,5.54,10.41,26.782,41.8,97,93
EQT,Energy,Oil & Gas E&P,36.55,-11.0,-4.0,4.71,10.0,,674.92,1.53,0.59,10.535,23.84,97,78
BKR,Energy,Oil & Gas Equipment & Services,37.59,0.26,0.05,-0.16,0.41,,637.41,1.97,-1.65,26.993,19.25,97,71
CARR,Industrials,Building Products & Equipment,82.08,7.63,-0.67,0.16,9.79,,628.4,3.76,-2.3,27.257,21.47,96,69
FMC,Basic Materials,Agricultural Inputs,61.46,118.5,-439.5,293.33,8.79,,581.63,11.7,-12.89,32.689,5.16,96,15
GILD,Healthcare,Drug Manufacturers - General,86.14,3.59,-3.9,-0.52,0.54,,556.87,0.82,-8.2,22.298,103.78,96,39
DAL,Industrials,Airlines,50.83,33.0,-52.17,0.84,-0.4,,527.67,6.97,9.33,94.006,7.27,96,91
FOXA,Communication Services,Entertainment,41.74,0.0,5.13,-2.61,0.91,15.1,513.12,3.13,21.81,29.247,13.21,96,96
FOX,Communication Services,Entertainment,38.49,0.0,5.13,-2.61,0.91,15.1,513.12,3.13,21.81,29.247,12.18,96,96
DIS,Communication Services,Entertainment,93.6,145.0,-105.0,6.43,6.76,,462.74,2.61,-6.71,49.209,35.66,95,49
MU,Technology,Semiconductors,101.7,0.0,-1.4,2.56,5.37,6.77,460.87,0.7,46.49,22.725,150.44,95,98
HES,Energy,Oil & Gas E&P,138.48,-0.28,1.36,-0.22,5.37,,440.58,8.59,26.2,39.432,16.29,95,97
WDC,Technology,Computer Hardware,64.48,0.0,3.66,1.33,7.49,6.2,436.61,-2.61,10.38,39.887,,95,93
PCG,Utilities,Utilities - Regulated Electric,19.56,-0.42,0.36,0.56,0.2,0.17,432.6,1.17,-0.83,11.635,16.68,94,74
MMM,Industrials,Conglomerates,135.01,0.24,-0.02,3.2,6.97,,423.05,2.57,-12.97,58.822,51.89,94,15
AMD,Technology,Semiconductors,171.02,1.0,-4.12,1.28,7.0,,422.08,0.84,5.03,14.399,197.27,94,86
TJX,Consumer Cyclical,Apparel Retail,113.98,0.03,-0.3,0.18,0.13,,395.2,4.13,-2.22,48.964,27.34,94,70
PLTR,Technology,Software - Infrastructure,43.13,0.2,0.25,0.33,5.0,,390.29,0.17,14.28,1.127,256.85,94,94
STX,Technology,Computer Hardware,109.29,19.33,2.33,8.78,6.55,,379.37,1.58,-7.84,31.344,68.53,94,42
NXPI,Technology,Semiconductors,238.31,0.04,-0.09,-0.13,-0.04,,378.77,10.68,-11.31,51.066,22.05,93,21
HOLX,Healthcare,Medical Instruments & Supplies,80.12,0.15,-0.43,1.78,6.19,,378.39,2.93,-9.64,16.715,27.25,93,30
ABNB,Consumer Cyclical,Travel Services,135.49,1.12,2.34,-13.42,-0.17,,360.08,7.34,9.28,16.466,18.23,93,91
EL,Consumer Defensive,Household & Personal Products,93.7,0.0,0.06,8.67,11.22,1.09,358.07,1.08,-8.48,43.476,87.04,93,36
GPC,Consumer Cyclical,Auto Parts,133.76,0.18,-0.27,-0.1,-0.16,,336.56,8.64,-8.37,165.736,15.56,93,38
CAH,Healthcare,Medical Distribution,114.54,-0.1,-0.36,71.0,4.84,,336.0,3.45,-1.15,925.824,33.23,92,73
NVDA,Technology,Semiconductors,132.65,0.13,0.23,0.31,1.72,6.28,314.03,2.14,89.56,3.91,62.84,92,99
PRU,Financial Services,Insurance - Life,122.12,0.05,-0.16,2.62,1.38,,287.28,7.83,-6.35,171.697,15.54,92,51
CAG,Consumer Defensive,Packaged Foods,29.31,0.2,0.26,0.07,0.45,9.06,280.6,1.02,-14.62,24.944,28.72,92,11
KMB,Consumer Defensive,Household & Personal Products,142.18,-0.19,0.27,-0.15,4.37,,270.04,6.75,-13.53,60.098,20.91,92,14
FSLR,Technology,Solar,226.05,0.48,-0.07,-0.06,1.04,4.52,261.1,11.19,6.1,35.211,18.4,91,88
CRWD,Technology,Software - Infrastructure,298.34,0.06,-0.22,1.0,3.75,,255.14,0.69,25.7,14.55,448.42,91,97
SMCI,Technology,Computer Hardware,47.29,-0.19,0.3,0.85,0.64,,243.67,2.01,88.44,26.881,23.24,91,99
PGR,Financial Services,Insurance - Property & Casualty,250.76,-0.59,0.35,0.54,3.37,4.27,237.67,11.69,3.76,115.869,21.56,91,85
STZ,Consumer Defensive,Beverages - Brewers,240.42,-2.37,1.23,-0.29,-2.75,,234.27,3.13,-9.45,55.75,76.65,91,32
BKNG,Consumer Cyclical,Travel Services,4292.0,0.98,2.56,-10.09,0.28,,232.4,142.51,7.77,647.782,30.16,90,90
NCLH,Consumer Cyclical,Travel Services,23.07,8.5,7.25,-4.24,0.9,,224.97,0.97,61.79,21.224,23.95,90,98
ROST,Consumer Cyclical,Apparel Retail,142.39,0.09,-0.24,0.37,0.2,,213.45,6.2,-1.58,63.575,22.83,90,72
IFF,Basic Materials,Specialty Chemicals,102.0,1.91,45.39,-103.1,5.09,,212.74,-9.22,0.38,44.357,,90,78
OXY,Energy,Oil & Gas E&P,53.9,0.36,-0.43,-0.12,0.62,,208.4,3.86,-4.46,30.612,14.18,90,60
ALL,Financial Services,Insurance - Property & Casualty,184.91,0.0,-0.24,35.81,2.17,4.44,190.02,10.97,-0.89,229.416,16.97,89,74
IR,Industrials,Specialty Industrial Machinery,99.43,-0.09,-0.14,0.12,0.05,,168.74,2.02,-1.43,17.409,48.9,89,72
DUK,Utilities,Utilities - Regulated Electric,111.32,-0.27,-0.05,-0.05,4.53,0.43,163.79,5.84,-4.27,38.355,19.29,89,61
SJM,Consumer Defensive,Packaged Foods,117.21,0.21,0.26,-0.68,-0.03,4.95,159.61,7.08,-0.8,80.881,16.47,89,75
AES,Utilities,Utilities - Diversified,17.69,-1.3,0.29,0.41,5.5,1.82,150.35,1.05,-11.58,18.158,16.66,89,20
KMI,Energy,Oil & Gas Midstream,23.48,-0.27,0.22,0.12,0.0,,148.87,1.09,-8.08,6.911,21.76,88,40
NWSA,Communication Services,Entertainment,26.28,0.0,-4.4,4.4,6.0,-0.8,140.47,0.46,-8.63,17.656,56.37,88,35
EXPE,Consumer Cyclical,Travel Services,152.79,3.95,-2.03,-2.1,0.11,,137.35,5.55,3.44,96.863,27.19,88,84
MRNA,Healthcare,Biotechnology,58.86,-0.08,-6.39,17.72,0.09,,136.17,-15.35,634.15,13.22,,88,99
NWS,Communication Services,Entertainment,27.68,0.0,-4.4,4.4,6.0,-0.8,131.5,0.46,-8.63,17.656,59.24,88,35
PANW,Technology,Software - Infrastructure,362.87,0.0,-5.36,7.68,0.16,1.46,126.21,7.29,3.08,25.149,50.61,87,83
APTV,Consumer Cyclical,Auto Parts,71.36,3.39,-3.15,-0.76,3.13,0.46,123.52,13.25,-9.71,72.061,5.33,87,29
NRG,Utilities,Utilities - Independent Power Producers,88.56,0.47,0.25,0.33,1.75,3.47,122.54,9.12,12.07,132.602,9.61,87,93
UBER,Technology,Software - Application,77.87,2.58,-3.23,5.27,1.58,,120.91,0.92,15.32,19.36,84.65,87,94
GDDY,Technology,Software - Infrastructure,161.21,-1.71,-1.84,7.9,0.93,,119.86,12.01,-5.1,30.869,13.44,87,58
PFG,Financial Services,Asset Management,87.51,0.0,-0.64,-0.39,0.42,4.91,115.85,5.26,0.25,65.993,16.66,86,77
CRM,Technology,Software - Application,287.92,-0.07,0.06,0.18,0.14,,114.78,5.73,-1.26,37.632,50.19,86,72
TSN,Consumer Defensive,Farm Products,58.28,0.31,0.35,2.4,3.15,2.5,110.45,-0.06,-9.41,150.296,,86,32
WFC,Financial Services,Banks - Diversified,57.54,0.12,0.39,-0.71,0.07,,107.71,4.88,-11.12,21.92,11.86,86,22
VRSK,Industrials,Consulting Services,277.06,0.41,0.09,0.09,0.59,3.14,106.11,6.23,-6.82,19.287,43.02,86,48
GS,Financial Services,Capital Markets,505.18,-0.34,1.11,0.0,1.83,,105.4,31.17,-1.03,145.999,16.15,85,73
NI,Utilities,Utilities - Regulated Gas,33.99,-3.05,0.6,1.53,0.9,0.0,104.78,1.63,-11.51,12.084,20.67,85,21
TEL,Technology,Electronic Components,147.43,0.06,-2.3,2.3,0.11,,103.75,11.18,-9.84,51.172,13.19,85,29
NTRS,Financial Services,Asset Management,91.53,3.53,0.85,-1.87,1.79,,100.93,7.29,24.93,37.07,12.53,85,96
HPE,Technology,Communication Equipment,20.85,0.62,-0.25,-0.67,0.08,,97.96,1.41,-5.27,22.238,14.8,85,57
UAL,Industrials,Airlines,59.43,11.67,-5.85,-0.9,0.23,,97.25,8.92,10.16,169.49,6.77,84,92
A,Healthcare,Diagnostics & Research,144.8,-0.08,-0.13,-0.37,1.55,,94.47,4.81,-13.9,22.269,29.87,84,12
APA,Energy,Oil & Gas E&P,26.33,2.32,-12.16,2.89,0.18,,94.29,9.24,24.3,27.708,2.91,84,96
EOG,Energy,Oil & Gas E&P,130.96,-0.05,-0.1,-0.02,0.11,,93.65,12.95,7.62,41.849,10.18,84,90
FCX,Basic Materials,Copper,48.87,0.3,0.22,-0.17,0.79,,91.73,1.33,4.21,17.188,37.19,84,85
RCL,Consumer Cyclical,Travel Services,193.03,1.37,0.28,-2.61,0.85,,84.32,9.17,52.69,59.766,21.25,83,98
DECK,Consumer Cyclical,Footwear & Accessories,160.44,-1.17,-0.54,1.21,0.87,1.83,82.23,5.21,8.22,28.777,30.26,83,90
BSX,Healthcare,Medical Devices,86.7,-0.55,0.0,0.0,0.22,,81.88,1.23,1.1,10.379,69.82,83,78
JBL,Technology,Electronic Components,124.02,-5.86,3.97,0.26,-0.63,,78.07,11.17,-26.91,235.972,11.01,83,3
SBAC,Real Estate,REIT - Specialty,235.47,0.06,0.42,0.25,-0.24,,76.84,4.76,-11.6,24.783,49.0,83,19
VLO,Energy,Oil & Gas Refining & Marketing,139.36,-0.38,0.06,-1.11,-1.0,,73.5,17.66,-0.86,400.985,8.09,83,74
RL,Consumer Cyclical,Apparel Manufacturing,195.73,0.89,-2.01,0.9,0.33,,73.22,10.35,-6.86,103.016,19.16,82,47
SLB,Energy,Oil & Gas Equipment & Services,44.21,0.04,-0.04,-0.01,0.07,,72.45,3.06,-0.14,24.629,14.66,82,76
MET,Financial Services,Insurance - Life,84.54,0.15,0.44,0.37,1.65,,71.38,3.68,-8.44,94.102,22.84,82,37
NEM,Basic Materials,Gold,52.73,3.93,22.4,-17.05,2.89,,68.58,-2.75,30.16,14.576,,82,97
HAS,Consumer Cyclical,Leisure,72.24,1.36,19.19,-5.21,2.71,,68.51,-7.47,-28.28,32.685,,82,2
DFS,Financial Services,Credit Services,143.15,4.51,-0.4,-0.68,0.71,,68.01,11.32,2.73,44.386,12.66,81,83
CEG,Utilities,Utilities - Renewable,262.28,-0.08,26.36,-21.64,0.0,,67.96,7.53,-8.3,74.038,35.3,81,39
ZBH,Healthcare,Medical Devices,103.46,0.4,-1.4,1.59,0.18,,67.65,4.79,-8.42,36.369,21.47,81,37
ACGL,Financial Services,Insurance - Diversified,113.09,0.13,-1.1,2.26,0.89,,66.9,14.22,13.87,41.754,7.97,81,94
DOC,Real Estate,REIT - Healthcare Facilities,21.78,20.0,-12.0,0.08,1.33,,66.37,0.48,8.64,4.024,44.61,81,90
D,Utilities,Utilities - Regulated Electric,56.38,-0.2,1.39,0.92,-0.03,,65.63,2.4,-19.53,17.266,23.18,80,6
ESS,Real Estate,REIT - Residential,288.19,0.0,3.17,-0.33,1.74,0.79,62.83,8.07,-7.37,26.788,35.36,80,45
REG,Real Estate,REIT - Retail,71.06,-0.06,0.09,0.1,0.07,0.01,62.27,2.08,-0.68,7.99,33.59,80,75
MCK,Healthcare,Medical Distribution,502.12,0.16,0.36,-0.11,-0.0,,62.01,22.39,-5.55,2380.96,22.6,80,55
FANG,Energy,Oil & Gas E&P,193.75,0.09,-0.25,0.05,0.53,,60.83,19.32,26.03,49.524,10.14,80,97
PSX,Energy,Oil & Gas Refining & Marketing,134.72,0.37,-0.65,-0.64,-0.56,,60.77,11.65,5.23,350.463,11.73,79,87
F,Consumer Cyclical,Auto Manufacturers,10.62,0.39,0.05,0.05,-0.04,-0.33,59.79,0.96,-4.79,45.189,11.1,79,59
PPL,Utilities,Utilities - Regulated Electric,31.85,0.0,1.8,-1.07,1.8,0.08,54.57,1.13,-5.48,11.201,27.81,79,56
NSC,Industrials,Railroads,245.16,13.17,-9.15,0.11,1.09,,54.3,7.89,-8.85,53.493,30.99,79,34
WYNN,Consumer Cyclical,Resorts & Casinos,104.15,-0.29,-4.02,7.34,0.09,,48.58,7.76,9.88,63.692,13.46,79,91
SPGI,Financial Services,Financial Data & Stock Exchanges,521.47,0.02,0.72,-0.27,1.02,,48.41,10.53,3.2,42.159,48.95,78,84
FRT,Real Estate,REIT - Retail,111.59,1.0,-0.15,0.13,0.83,,46.6,3.41,-5.65,14.23,32.43,78,55
COO,Healthcare,Medical Instruments & Supplies,106.8,0.18,0.09,-0.04,0.22,,45.65,1.79,-3.0,19.14,59.4,78,67
WMB,Energy,Oil & Gas Midstream,49.58,-0.58,-0.02,-0.02,-0.15,-0.46,42.56,2.32,-6.72,8.419,21.34,78,49
CNP,Utilities,Utilities - Regulated Electric,29.49,-0.53,0.15,0.17,1.12,0.1,41.64,1.62,-9.92,13.516,18.21,78,28
HLT,Consumer Cyclical,Lodging,236.98,0.61,0.81,-1.5,0.08,,41.45,4.74,5.38,18.125,49.86,77,87
PNW,Utilities,Utilities - Regulated Electric,86.19,10.93,739.88,-17290.79,0.9,,41.3,5.42,1.4,43.054,15.77,77,80
IP,Consumer Cyclical,Packaging & Containers,47.1,7.94,6.12,-2.74,1.1,,40.22,1.31,-11.28,53.577,35.76,77,22
MAR,Consumer Cyclical,Lodging,261.88,0.0,-0.48,0.14,-0.23,-0.26,40.2,9.98,7.41,22.135,26.16,77,89
ECL,Basic Materials,Specialty Chemicals,255.68,0.19,0.01,0.0,0.48,,40.06,5.96,-7.52,54.818,42.87,77,44
AMT,Real Estate,REIT - Specialty,220.78,-0.02,9.94,-6.0,0.89,,39.72,5.32,-5.91,24.308,40.97,76,53
LYV,Communication Services,Entertainment,112.56,2.98,-2.25,-1.8,0.01,-1.12,38.76,1.1,40.59,103.854,103.1,76,98
META,Communication Services,Internet Content & Information,590.51,0.09,-0.12,0.21,0.75,,38.24,19.55,7.37,58.612,29.93,76,89
AMZN,Consumer Cyclical,Internet Retail,185.17,0.29,-0.03,0.07,0.95,,37.82,4.18,-1.36,58.221,44.78,76,72
DELL,Technology,Computer Hardware,122.34,-0.14,-0.21,0.18,0.86,,37.34,5.43,-6.55,129.078,22.86,76,50
HAL,Energy,Oil & Gas Equipment & Services,30.36,0.18,-0.09,-0.08,0.18,,36.42,3.01,-6.69,26.016,10.27,75,49
MRO,Energy,Oil & Gas E&P,28.14,0.19,-0.22,-0.18,0.32,-0.27,36.29,2.56,6.17,11.315,11.12,75,88
NTAP,Technology,Computer Hardware,127.27,-0.17,-0.08,0.36,0.71,,34.89,5.12,-6.78,30.881,24.45,75,48
COP,Energy,Oil & Gas E&P,110.97,-0.09,-0.17,0.09,0.08,,34.72,8.98,13.47,49.114,12.52,75,93
LLY,Healthcare,Drug Manufacturers - General,919.74,0.32,0.02,41.26,0.77,,32.61,8.09,15.08,43.227,112.84,75,94
AVY,Consumer Cyclical,Packaging & Containers,215.66,0.03,0.2,0.04,0.76,,32.22,7.79,-6.03,106.709,27.54,74,52
AXP,Financial Services,Credit Services,271.42,0.25,0.27,-0.25,0.44,,31.55,13.41,-1.02,80.314,20.23,74,73
ULTA,Consumer Cyclical,Specialty Retail,359.8,-0.22,-0.25,0.6,-0.14,,31.25,24.9,-4.69,234.543,14.49,74,60
UPS,Industrials,Integrated Freight & Logistics,133.0,0.27,-0.45,0.44,-0.47,,30.53,6.13,-12.73,104.497,21.76,74,16
IQV,Healthcare,Diagnostics & Research,228.79,0.26,-0.63,0.55,0.24,,30.18,7.71,-8.0,83.155,29.91,74,41
UHS,Healthcare,Medical Care Facilities,212.95,0.11,0.23,0.31,0.77,0.69,30.02,13.61,-3.68,221.859,15.57,73,64
FFIV,Technology,Software - Infrastructure,222.05,0.22,-0.16,-0.1,0.66,,29.83,9.28,-11.49,47.111,23.84,73,21
GPN,Industrials,Specialty Business Services,100.42,0.2,-0.14,0.0,0.4,,29.8,5.45,-6.64,38.357,18.13,73,50
WEC,Utilities,Utilities - Regulated Electric,94.31,0.0,1.86,-0.45,1.14,0.22,29.15,4.33,-12.96,27.336,21.73,73,15
LVS,Consumer Cyclical,Resorts & Casinos,51.93,-0.37,0.32,0.0,0.17,,28.91,2.13,14.35,15.169,24.42,73,94
WAB,Industrials,Railroads,184.22,0.06,0.28,-0.12,0.55,,28.23,5.69,-3.4,57.691,32.2,72,66
WTW,Financial Services,Insurance Brokers,298.05,-0.34,-2.27,3.63,0.56,,27.78,10.37,-8.5,94.039,28.12,72,36
FI,Technology,Information Technology Services,187.74,0.23,-0.17,-0.08,0.38,,25.88,5.74,-5.04,33.272,32.72,72,58
L,Financial Services,Insurance - Property & Casualty,78.25,-0.23,0.29,0.42,0.06,0.27,25.62,6.82,-5.01,74.742,11.44,72,59
FTNT,Technology,Software - Infrastructure,80.33,0.28,-0.05,0.0,0.47,,25.51,1.69,3.43,7.209,48.21,72,84
CTRA,Energy,Oil & Gas E&P,24.36,-0.57,-0.17,0.28,0.07,,25.35,1.73,19.27,7.43,14.15,72,95
NFLX,Communication Services,Entertainment,727.43,-0.08,1.51,-0.77,0.49,,25.23,16.0,1.85,83.491,45.77,71,81
ADSK,Technology,Software - Application,276.88,-0.01,0.17,0.09,0.75,,25.03,4.87,0.24,27.063,56.82,71,77
HWM,Industrials,Aerospace & Defense,103.7,0.1,0.04,0.27,0.38,,25.02,2.25,-0.67,17.3,45.3,71,75
XYL,Industrials,Specialty Industrial Machinery,136.29,0.27,0.0,0.0,0.78,0.15,23.25,3.24,9.56,34.747,41.55,71,91
CTVA,Basic Materials,Agricultural Inputs,56.5,1.52,2.67,0.25,0.51,,23.04,1.26,-9.88,24.07,44.7,71,29
EQIX,Real Estate,REIT - Specialty,876.76,0.3,0.01,-0.22,0.43,,23.02,10.96,-4.61,85.009,79.85,70,60
XOM,Energy,Oil & Gas Integrated,122.09,0.04,0.08,-0.18,0.1,,22.58,8.36,3.59,84.406,14.76,70,84
WELL,Real Estate,REIT - Healthcare Facilities,124.34,0.91,0.47,-0.6,1.0,,22.36,1.08,0.19,12.755,113.43,70,76
EG,Financial Services,Insurance - Reinsurance,388.89,-0.01,-0.1,0.19,0.03,,21.86,68.02,2.11,371.48,5.8,70,82
CMG,Consumer Cyclical,Restaurants,57.93,0.26,0.27,-0.11,0.32,,21.48,1.02,5.37,7.763,56.96,70,87
TAP,Consumer Defensive,Beverages - Brewers,54.31,1.07,1.04,-3.15,0.28,,20.98,5.45,-11.51,55.941,9.99,69,21
ANET,Technology,Computer Hardware,406.93,0.04,0.04,0.12,0.33,,20.79,7.69,9.88,20.221,53.14,69,91
GM,Consumer Cyclical,Auto Manufacturers,47.93,0.0,0.08,0.08,0.4,0.51,20.16,8.9,-3.99,143.45,5.37,69,63
IT,Technology,Information Technology Services,520.68,0.1,0.01,0.17,0.18,,20.09,10.52,-4.46,77.373,49.25,69,60
RVTY,Healthcare,Diagnostics & Research,121.51,1.14,-2.03,6.96,0.61,,20.0,1.6,-13.69,21.924,75.5,69,13
CB,Financial Services,Insurance - Property & Casualty,282.83,0.04,-0.53,0.62,0.27,,19.17,23.64,2.69,131.832,12.02,68,82
HIG,Financial Services,Insurance - Property & Casualty,116.29,-0.01,-0.02,0.2,0.42,,17.49,9.5,-5.82,85.093,12.21,68,54
REGN,Healthcare,Biotechnology,1012.19,0.98,-0.62,0.15,0.46,,17.38,37.75,2.73,125.831,26.59,68,83
TMUS,Communication Services,Telecom Services,212.09,0.0,0.15,-0.05,0.08,0.26,17.03,7.97,-9.04,67.556,26.47,68,34
SBUX,Consumer Cyclical,Restaurants,95.88,0.37,-0.32,-0.18,-0.08,,16.47,3.57,-7.67,32.094,26.47,68,43
RJF,Financial Services,Asset Management,128.28,0.04,-0.05,0.15,0.35,,16.17,8.86,-1.1,59.223,14.36,67,73
ETN,Industrials,Specialty Industrial Machinery,338.25,0.21,-0.16,0.06,0.34,,15.97,9.1,-4.33,60.418,37.0,67,61
