Ticker,Name,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
2724,藝舍-KY,Consumer Cyclical,Lodging,33.7,3.71,-1.3,-4.32,31000000.0,-13.0,1033332988.02,-0.39,15.7,2.719,,99,90
2369,菱生,Technology,Semiconductor Equipment & Materials,18.3,2.08,-0.72,-2.62,27000000.0,0.0,899999953.91,-0.56,-27.45,15.287,,99,30
3349,寶德,Technology,Computer Hardware,26.05,4000.68,-0.05,-0.06,4320.65,0.38,143964.66,-1.63,-52.22,9.024,,99,9
8038,長園科,Industrials,Electrical Equipment & Parts,27.5,-0.39,-0.24,-0.32,-3.37,-3.56,34797.05,-1.38,-638.03,2.054,,99,2
1213,大飲,Consumer Defensive,Beverages - Non-Alcoholic,12.1,391.69,0.27,0.21,656.53,-0.26,21786.33,-1.82,-15.84,1.417,,99,60
4541,晟田,Industrials,Aerospace & Defense,27.8,2.2,-0.58,-1.37,2.12,1.27,18536.87,-0.59,-12.13,18.375,,99,68
6609,瀧澤科,Technology,Electronic Components,88.0,6.08,-3.42,-0.77,555.83,-1.5,18505.73,2.45,-21.71,32.536,37.43,99,45
2705,六福,Consumer Cyclical,Lodging,17.35,-453.17,78.76,1.01,0.88,453.17,15104.97,-0.02,-16.16,11.879,,99,59
6264,富裔,Real Estate,Real Estate Services,10.9,241.32,250.9,1.0,2.8,275.63,9161.67,-0.39,-9.19,1.486,,99,72
2485,兆赫,Technology,Communication Equipment,17.75,0.21,-4.83,-4.83,-2.93,-0.84,7912.01,-0.83,-66.24,14.988,,99,7
3362,先進光,Technology,Electronic Components,231.5,-0.63,-0.23,-0.19,-0.28,99.0,7660.51,3.65,-20.53,29.178,64.93,98,48
6419,京晨科,Industrials,Security & Protection Services,104.0,-1.61,0.63,1.68,0.81,197.0,6533.96,6.03,116.02,45.819,16.92,98,96
1453,大將,Consumer Cyclical,Textile Manufacturing,17.7,-0.25,3.29,3.29,0.0,162.4,5385.92,0.7,45.38,1.857,24.71,98,94
4967,十銓,Technology,Computer Hardware,102.0,-1.22,0.77,3.3,2.78,8.59,5169.55,8.45,10.65,281.459,12.01,98,89
5522,遠雄,Real Estate,Real Estate—Development,71.4,1.37,-0.19,-0.16,132.0,-1.52,4294.48,5.22,256.83,30.311,13.54,98,97
8076,伍豐,Technology,Computer Hardware,35.9,0.6,0.81,4.37,124.0,0.04,4058.74,1.42,-24.46,8.849,24.01,98,37
1305,華夏,Basic Materials,Specialty Chemicals,17.05,4.2,-3.0,-1.5,133.57,-9.0,4041.05,0.3,-31.06,21.63,54.83,98,23
3512,皇龍,Real Estate,Real Estate Services,34.25,-578.93,-0.53,-0.35,118.55,0.07,3908.77,4.94,-87.89,27.369,6.85,98,5
3188,鑫龍騰,Real Estate,Real Estate - Development,33.75,-0.95,0.83,4.75,98.4,8.33,3542.7,3.22,298.93,14.885,10.16,98,97
1909,榮成,Basic Materials,Paper & Paper Products,14.35,19.58,9.76,1.11,3.5,99.77,3361.75,0.06,-20.37,35.665,230.0,98,48
2609,陽明,Industrials,Marine Shipping,63.5,0.48,0.54,1.18,100.5,1.77,3055.35,7.09,3.81,47.254,8.82,98,86
8086,宏捷科,Technology,Semiconductors,104.5,-0.03,0.27,0.37,105.0,2.09,2901.87,3.56,66.31,18.663,28.51,98,95
8906,花王,Industrials,Specialty Business Services,37.6,84.44,-0.21,-0.27,88.83,0.89,2858.08,-0.6,-16.18,6.178,,98,59
1907,永豐餘,Basic Materials,Paper & Paper Products,32.15,-16.0,-1.5,-0.6,-11.0,98.47,2843.06,1.16,-19.7,45.69,26.81,98,50
1467,南緯,Consumer Cyclical,Apparel Manufacturing,10.4,-33.39,0.14,0.17,84.12,5.08,2804.87,0.2,-38.02,20.111,51.75,98,16
1446,宏和,Consumer Cyclical,Textile Manufacturing,46.7,-0.04,1.05,21.8,52.25,24.67,2523.37,5.12,1265.06,14.259,9.0,98,98
2460,建通,Technology,Electronic Components,29.05,177.4,-0.17,-0.2,76.6,-0.83,2501.91,-1.06,7.46,17.807,,98,88
3062,建漢,Technology,Communication Equipment,32.2,13.31,6.68,0.87,6.0,74.93,2455.34,-0.24,-22.64,11.176,,98,42
5426,振發,Industrials,Metal Fabrication,28.75,-0.5,-0.92,-0.48,-1.75,80.89,2358.95,0.04,-24.23,9.361,705.0,97,38
3227,原相,Technology,Semiconductors,248.0,0.66,-0.01,-0.01,1.21,66.33,2187.58,9.21,-0.09,49.653,28.56,97,83
4960,誠美材,Technology,Electronic Components,13.1,-2.0,-2.5,-0.71,30.0,31.0,2049.89,-0.39,-26.47,16.289,,97,32
3605,宏致,Technology,Electronic Components,54.3,24.0,-5.5,-0.85,2.47,61.5,2045.98,0.08,-12.73,65.251,703.75,97,67
5487,通泰,Technology,Electronic Components,37.2,18.46,2.25,0.69,75.2,1.12,2044.28,-0.77,-25.48,7.15,,97,34
3313,斐成,Industrials,Engineering & Construction,17.3,-7.62,1.11,10.44,-0.6,14.9,2031.82,1.41,239562.83,0.419,11.88,97,99
5534,長虹,Real Estate,Real Estate—Development,97.5,3.27,-1.4,-0.58,63.0,-0.67,2018.53,7.39,187.43,39.062,13.03,97,97
6596,寬宏藝術,Communication Services,Entertainment,72.5,-2.04,0.02,0.02,2.04,1.44,1983.97,7.73,52.03,61.574,9.22,97,94
2103,台橡,Basic Materials,Specialty Chemicals,25.35,0.22,0.25,0.34,6.8,0.03,1915.18,1.17,-11.89,40.282,20.85,97,68
8107,大億金茂,Consumer Cyclical,Auto Parts,26.45,-0.22,1.44,3.25,3.65,54.0,1880.02,0.32,-2.03,10.154,81.56,97,81
2530,華建,Real Estate,Real Estate Services,38.35,1.7,1.3,4.33,32.0,24.0,1861.44,1.49,38702.29,5.36,25.81,97,99
4909,新復興,Technology,Electronic Components,170.0,-0.16,0.5,1.02,14.2,45.0,1858.95,3.97,317.46,17.321,41.81,97,97
3712,永崴投控,Technology,Semiconductors,52.9,0.36,-0.25,-0.2,16.0,38.5,1811.26,4.02,42.16,85.898,12.99,97,94
4416,三圓,Real Estate,Real Estate Services,95.6,-1.14,15000000.0,15000000.0,-2.14,3.2,1771.36,0.18,-24.3,1.811,516.11,97,38
3296,勝德,Technology,Consumer Electronics,27.5,-3.0,0.0,0.0,44.0,12.5,1749.64,0.02,-16.62,16.451,1342.5,97,58
2316,楠梓電,Technology,Electronic Components,54.0,-0.02,0.19,0.23,47.5,5.95,1737.32,6.74,-46.83,18.348,7.95,97,10
4912,聯德控股-KY,Industrials,Metal Fabrication,98.0,1.4,-0.72,-0.42,11.75,41.5,1710.94,6.88,3.37,86.945,14.1,97,85
8928,鉅明,Consumer Cyclical,Leisure,33.65,-1.59,5.17,5.17,55.0,0.31,1701.2,0.18,21.13,57.038,185.0,97,91
3229,晟鈦,Technology,Electronic Components,21.95,5.5,7.14,47.78,25.0,,1656.44,-0.54,-21.49,13.976,,97,45
1569,濱川,Industrials,Metal Fabrication,40.1,-33.0,-11.5,-0.92,-4.05,56.5,1643.61,-0.67,-43.64,26.301,,96,12
1436,華友聯,Real Estate,Real Estate - Development,136.5,16.94,-6.2,-6.2,48.83,0.11,1603.83,10.83,1649.89,32.856,12.56,96,98
3086,華義,Communication Services,Electronic Gaming & Multimedia,238.0,-4.33,0.17,0.2,-1.93,12.43,1597.51,1.82,-20.1,5.979,131.59,96,49
3221,台嘉碩,Technology,Communication Equipment,26.7,-0.54,0.65,1.89,13.0,42.0,1585.37,0.55,-22.88,21.156,47.91,96,41
6229,研通,Technology,Semiconductors,32.95,42.0,-12.5,-0.93,15.33,45.0,1489.1,0.95,28.71,38.887,33.58,96,92
3531,先益,Technology,Semiconductors,30.25,-1.57,-0.31,-0.24,-0.84,46.5,1484.62,3.02,-42.94,31.609,9.9,96,12
9962,有益,Basic Materials,Steel,16.1,3.43,-1.71,-0.63,-0.06,-5.86,1454.72,0.83,-25.29,34.22,18.8,96,35
1416,廣豐,Technology,Information Technology Services,13.55,0.87,-1.63,-0.62,27.0,16.0,1437.82,0.94,108.84,1.596,14.31,96,96
8011,台通,Technology,Communication Equipment,27.3,5.44,-1.04,-25.28,39.0,0.11,1389.03,0.64,37.67,16.821,41.64,96,93
7402,邑錡,Industrials,Security & Protection Services,80.0,0.47,-0.2,-0.17,-0.14,42.0,1345.93,1.62,-39.52,15.406,47.53,96,15
3150,鈺寶-創,Technology,Semiconductor Equipment & Materials,36.85,15.33,7.1,-25.3,20.5,,1339.09,-0.17,25.86,7.145,,96,92
3548,兆利,Technology,Electronic Components,170.5,-0.01,-0.25,-0.2,0.22,40.67,1316.47,10.95,-10.13,148.476,15.84,96,70
3260,威剛,Technology,Semiconductors,89.0,-0.4,0.39,0.65,1.53,39.22,1295.85,10.19,6.03,141.933,8.65,96,87
8450,霹靂,Communication Services,Entertainment,26.45,4.0,3.17,0.76,27.0,12.83,1270.27,-2.41,-43.15,5.57,,96,12
1310,台苯,Basic Materials,Chemicals,12.75,7.0,-1.4,-3.5,58.0,-16.42,1258.18,-0.36,8.5,20.015,,96,88
2719,燦星旅,Consumer Cyclical,Travel Services,49.05,2.51,0.28,0.39,17.0,19.5,1224.4,3.42,161.8,26.368,14.56,96,97
3492,長盛,Technology,Electronic Components,30.0,0.32,-0.3,-0.23,1.72,36.0,1211.07,1.3,-22.34,21.143,21.92,96,42
5314,世紀,Technology,Semiconductors,210.0,-0.63,0.46,0.85,12.82,17.3,1205.44,11.4,2936.08,24.538,17.76,96,99
6442,光聖,Technology,Electronic Components,392.5,0.9,0.26,0.36,2.06,33.4,1181.53,6.44,46.12,51.284,64.05,96,94
2243,宏旭-KY,Consumer Cyclical,Auto Parts,29.7,-2.5,-1.14,-0.53,28.0,6.29,1108.99,-0.2,123.05,29.312,,95,96
5310,天剛,Technology,Computer Hardware,45.35,-12.91,7.19,7.19,-2.73,0.27,1105.77,-0.01,-1582.09,0.225,,95,1
8033,雷虎,Consumer Cyclical,Leisure,59.6,0.94,2.4,2.4,32.0,2.7,1100.57,0.4,1.76,7.855,150.75,95,84
2455,全新,Technology,Semiconductor Equipment & Materials,160.0,0.05,0.33,0.37,17.17,,1090.12,1.62,55.82,18.487,95.37,95,95
2524,京城,Real Estate,Real Estate - Development,90.1,0.76,-0.02,-0.02,32.67,2.18,1084.95,2.56,69.82,10.482,34.53,95,95
5340,建榮,Consumer Cyclical,Textile Manufacturing,49.7,0.19,0.45,0.83,20.0,15.0,1083.45,0.49,27.51,8.158,96.12,95,92
6103,合邦,Technology,Semiconductors,51.8,0.96,0.33,0.5,28.5,2.08,1078.38,0.58,2.29,3.296,89.14,95,84
6271,同欣電,Technology,Semiconductor Equipment & Materials,139.0,0.21,0.13,0.15,34.17,-0.02,1076.24,7.49,-18.69,56.829,18.42,95,52
4720,德淵,Basic Materials,Specialty Chemicals,20.0,-0.59,-0.29,3.71,17.0,,1062.98,0.34,-11.13,33.561,59.41,95,69
3064,泰偉,Communication Services,Electronic Gaming & Multimedia,75.2,-2.29,0.54,1.18,-0.62,24.25,1060.67,-0.23,-44.68,7.889,,95,11
6425,易發,Technology,Semiconductor Equipment & Materials,83.1,-34.0,1.92,2.09,30.5,2.59,1040.09,0.84,10.32,34.38,100.95,95,89
2017,官田鋼,Basic Materials,Steel,12.9,-32.0,1.48,3.08,11.5,6.17,1032.77,0.29,-21.67,7.675,43.1,95,45
2514,龍邦,Industrials,Engineering & Construction,20.5,-1.98,0.44,0.78,-0.74,33.0,1017.25,3.44,18.24,67.673,5.96,95,90
4907,富宇,Real Estate,Real Estate—Development,66.4,6.93,-0.2,-0.17,27.75,2.04,997.33,5.01,3581.34,54.532,13.01,95,99
4109,加捷生醫,Consumer Defensive,Packaged Foods,26.75,14.5,-0.25,-0.2,16.5,2.86,975.32,4.36,26.04,5.144,6.04,95,92
8067,志旭,Technology,Electronics & Computer Distribution,19.45,0.0,16.0,-2.17,15.0,,950.78,-1.54,-30.66,4.724,,95,24
4401,東隆興,Consumer Cyclical,Textile Manufacturing,24.45,0.67,0.12,0.14,31.0,2.38,950.44,0.49,2.4,27.467,50.31,95,84
2348,海悅,Real Estate,Real Estate Services,171.5,-1.43,0.43,0.75,0.54,29.5,947.22,16.08,-2.11,64.112,10.6,95,81
8354,冠好,Basic Materials,Specialty Chemicals,17.7,-0.98,0.05,0.05,0.2,28.67,941.38,1.71,-26.59,7.931,10.2,94,32
8068,全達,Technology,Electronics & Computer Distribution,31.45,-5.47,0.98,61.0,20.0,9.79,930.5,1.0,-41.93,9.664,30.15,94,13
2915,潤泰全,Consumer Cyclical,Textile Manufacturing,77.0,-0.18,-0.23,-0.19,-0.19,29.57,918.52,10.64,-29.92,2.487,7.1,94,26
5455,昇益,Real Estate,Real Estate—Development,68.0,-28.8,1.1,11.19,0.2,24.17,915.29,5.46,430.2,43.871,12.56,94,98
4722,國精化,Basic Materials,Specialty Chemicals,45.7,0.15,-0.17,-0.14,0.7,28.5,909.87,2.51,-8.02,38.675,17.35,94,74
2611,志信,Industrials,Marine Shipping,23.25,-2.08,0.08,0.09,0.06,21.8,880.42,3.58,-22.87,3.496,6.42,94,41
2250,IKKA-KY,Industrials,Specialty Industrial Machinery,98.3,0.16,-0.2,-0.17,1.64,26.5,879.03,6.41,-22.04,125.96,14.9,94,44
4924,欣厚-KY,Technology,Computer Hardware,17.8,-8.5,8.5,8.5,26.5,2.19,874.72,-0.27,22.46,15.32,,94,91
4588,玖鼎電力,Industrials,Electrical Equipment & Parts,88.8,1.08,-0.22,-0.18,-0.34,0.13,866.78,3.65,-19.61,25.9,24.03,94,51
5381,合正,Technology,Electronic Components,28.2,-1.25,0.59,1.43,-0.42,26.0,857.99,0.25,-3.53,8.244,113.0,94,80
3287,廣寰科,Technology,Electronics & Computer Distribution,36.6,-0.19,0.75,3.07,29.0,2.15,855.64,2.52,-6.6,16.246,14.15,94,76
5450,南良,Consumer Cyclical,Textile Manufacturing,19.0,-0.48,0.82,4.67,1.33,30.0,855.52,0.38,-21.8,20.258,50.0,94,44
6547,高端疫苗,Healthcare,Biotechnology,43.95,6.5,-0.16,-0.19,25.0,1.95,855.4,-2.11,1.168160000000003e+18,1.897,,94,99
4510,高鋒,Industrials,Specialty Industrial Machinery,42.1,71.0,-67.0,1.34,13.0,,831.09,0.83,-7.11,18.591,48.25,94,75
4706,大恭,Basic Materials,Specialty Chemicals,30.2,-0.52,0.38,0.62,26.0,3.37,824.19,0.87,-16.48,14.998,35.46,94,58
4767,誠泰科技,Basic Materials,Specialty Chemicals,37.75,0.07,-0.13,-0.12,-0.12,26.0,808.61,3.23,-28.87,38.927,11.53,94,28
4716,大立,Basic Materials,Specialty Chemicals,29.1,0.34,1.61,2.64,5.5,22.5,804.47,1.04,-21.02,6.692,26.73,94,46
6111,大宇資,Communication Services,Electronic Gaming & Multimedia,61.8,-7.45,6.71,1.18,18.5,3.88,789.31,-2.35,28.92,42.934,,94,92
2409,友達,Technology,Electronic Components,16.75,14.33,-0.56,-1.27,20.0,2.09,788.07,-0.81,-15.62,34.855,,94,61
1532,勤美,Industrials,Metal Fabrication,37.5,0.71,0.14,0.16,1.66,23.33,787.9,4.85,7.74,57.127,7.53,93,88
2002A,中鋼特,Basic Materials,Steel,42.55,1.25,9.0,9.0,0.5,2.25,786.0,0.22,-24.01,23.827,193.18,93,38
2002,中鋼,Basic Materials,Steel,23.7,1.25,9.0,9.0,0.5,2.25,786.0,0.22,-24.01,23.827,103.18,93,38
8111,立碁,Technology,Electronic Components,42.05,-0.5,0.17,0.21,-1.28,26.0,754.37,0.61,-26.98,7.092,75.82,93,31
5014,建錩,Basic Materials,Steel,19.6,0.2,0.14,0.17,8.57,19.67,751.18,1.32,-21.55,82.334,14.36,93,45
2230,泰茂,Consumer Cyclical,Auto Parts,170.5,0.01,0.34,0.51,3.5,5.45,749.26,5.19,60.46,19.708,32.08,93,95
3051,力特,Technology,Electronic Components,29.6,-0.74,0.12,0.14,0.7,8.37,738.95,1.83,-41.2,10.863,16.97,93,14
9945,潤泰新,Industrials,Engineering & Construction,47.95,-0.6,0.08,0.09,0.01,23.6,729.71,5.04,-17.23,9.762,9.46,93,57
