Ticker,Sector,Industry,Price,EPS QoQ (%),QoQ 2Q Algo (%),QoQ 3Q Algo (%),EPS YoY (%),YoY 2Q Algo (%),EPS RS,TTM EPS,Rev RS,TTM RPS,TTM PE,Rating (EPS RS),Rating (Rev RS)
MCRB,Healthcare,Biotechnology,18.32,-2.66,-1.04,-0.51,0.91,2.46,19777777795.43,-6.79,-1.6103e+17,,,99,1
ODP,Consumer Cyclical,Specialty Retail,20.07,97000000.0,-7.82,-16.91,205000000.0,,13666666090.3,1.38,-14.89,215.806,15.46,99,17
RCUS,Healthcare,Biotechnology,10.48,114000000.0,-0.11,-0.03,102000000.0,,6799999848.97,-3.14,186.7,2.702,,99,94
LUNR,Industrials,Aerospace & Defense,8.64,-1.0,12.49,-0.79,-2.55,,5386387491.14,-3.23,28.64,2.388,,99,86
LPCN,Healthcare,Biotechnology,3.01,-0.17,0.09,0.08,0.39,-2.89,3444444145.33,-0.84,22.52,0.787,,99,84
QRVO,Technology,Semiconductors,89.07,-0.21,-0.29,3.44,28000000.0,,1866666484.92,0.85,-15.55,38.863,109.35,99,16
RENB,Healthcare,Biotechnology,0.2288,4000000.0,6.0,0.46,54000000.0,0.75,1799999925.63,-0.25,-7.14,,,99,31
KNTK,Energy,Oil & Gas Midstream,39.83,5.6,4.0,-34.0,-0.64,,1644444306.24,0.73,17.11,27.381,55.75,99,81
LITB,Consumer Cyclical,Apparel Manufacturing,1.245,0.0,-12000000.0,2.54,24000000.0,,1599999946.32,0.12,-53.46,12.573,10.33,99,7
RVP,Healthcare,Medical Instruments & Supplies,0.8348,35000000.0,-0.67,-2.0,48000000.0,-36.0,1599998564.66,-0.3,14.13,1.275,,99,79
PBYI,Healthcare,Biotechnology,5.22,1.0,-5.5,-0.05,2.33,,1311111182.59,0.99,-0.66,4.824,5.3,99,53
RSI,Consumer Cyclical,Gambling,20.17,2.0,2.0,1.0,18000000.0,,1200000028.91,0.21,15.6,11.311,99.86,99,80
KAR,Consumer Cyclical,Auto & Truck Dealerships,28.18,-0.12,-0.61,1.42,16000000.0,,1066666686.3,0.73,0.97,17.287,39.96,99,57
FENC,Healthcare,Biotechnology,8.17,-1.75,0.5,2.5,0.82,,666666635.01,-0.45,1705555555555715.5,1.212,,99,97
