Ticker,Name,Sector,Industry,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Price,MA10,MA30,Volume / VMA10,EPS RS (%),TTM EPS,Rev RS (%),TTM RPS,TTM PE
6144,得利影,Communication Services,Entertainment,187.23,191.27,240.34,100.91,4.08,-15.47,99,119.0,102.01,57.04,1.05,-22.03,-0.43,-17.54,5.19,
3230,錦明,Technology,Electronic Components,161.75,187.03,173.06,19.64,-22.96,-26.63,99,53.6,44.78,25.08,0.67,508.03,3.7,-40.86,10.307,14.49
8937,合騏,Consumer Cyclical,Recreational Vehicles,140.94,111.93,104.32,-7.21,-16.23,2.7,99,81.0,59.43,36.49,1.8,47.0,1.12,46.74,1.649,72.32
3081,聯亞,Technology,Semiconductor Equipment & Materials,117.56,124.85,36.92,8.48,9.83,-15.51,99,352.0,213.45,164.45,0.67,103.62,-2.29,-8.41,11.709,
4903,聯光通,Technology,Communication Equipment,116.39,94.13,14.95,7.83,-20.01,-10.61,99,53.4,33.08,25.74,4.0,944.89,1.15,7.83,7.544,46.43
4583,台灣精銳,Industrials,Specialty Industrial Machinery,111.14,100.4,112.15,-1.03,-3.83,-8.67,99,727.0,584.55,377.12,0.89,-19.8,13.45,-3.0,34.891,54.05
3167,大量,Industrials,Specialty Industrial Machinery,108.98,98.09,24.98,10.23,9.1,16.64,99,158.5,107.51,77.26,0.26,544.89,0.49,7.43,20.221,323.47
2543,皇昌,Industrials,Engineering & Construction,108.33,94.3,89.94,94.63,75.81,81.49,99,97.7,74.55,56.34,1.27,178.05,4.98,13.67,46.896,19.62
2424,隴華,Technology,Consumer Electronics,100.76,77.99,44.07,-28.18,-24.88,-13.22,99,79.4,53.29,37.47,1.57,1.28,-4.36,-21.26,1.998,
3450,聯鈞,Technology,Semiconductor Equipment & Materials,97.41,90.43,77.69,74.73,22.6,15.61,99,207.5,167.55,118.95,1.42,151.57,0.62,6.78,40.055,334.68
6640,均華,Technology,Semiconductors,91.03,95.56,149.26,165.97,152.09,34.39,98,932.0,908.4,653.4,1.0,-16.01,8.95,-17.81,64.467,104.13
5443,均豪,Technology,Semiconductor Equipment & Materials,86.4,102.71,134.64,104.77,68.42,-5.28,98,138.5,134.49,91.62,0.73,105.8,1.7,-10.67,22.11,81.47
6442,光聖,Technology,Electronic Components,86.29,68.04,98.99,209.2,56.41,7.46,98,422.5,383.6,301.25,1.56,70.02,6.42,52.16,51.284,65.81
2070,精湛,Industrials,Specialty Industrial Machinery,85.83,111.15,70.25,24.55,-3.19,-2.58,98,96.9,89.58,57.71,0.78,24.02,3.59,-3.17,19.149,26.99
4569,六方科-KY,Industrials,Metal Fabrication,82.77,116.02,66.48,-16.84,-11.77,-7.23,98,231.5,183.81,127.38,2.69,-8.1,5.56,-9.37,42.966,41.64
