Ticker,Name,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
6144,得利影,146.06,168.98,219.06,219.72,23.58,-12.99,99,99,99,90,24,114.0,0.95,109.5,63.75,0.97
3230,錦明,132.15,160.8,211.18,70.34,-20.84,-29.59,99,99,97,17,3,52.6,0.91,50.1,28.03,0.69
8937,合騏,124.77,131.91,100.42,28.37,-14.17,2.65,99,98,92,34,73,82.1,1.0,67.21,40.56,0.33
4583,台灣精銳,123.3,126.12,143.47,2.14,-7.83,-10.59,99,99,77,54,31,837.0,1.0,672.55,416.18,0.71
3450,聯鈞,111.93,109.51,92.14,65.66,1.08,17.25,99,98,97,72,89,241.5,1.0,188.95,129.74,0.55
2543,皇昌,106.02,87.81,78.02,84.85,125.29,66.72,99,98,98,99,98,83.1,1.0,64.39,47.76,0.63
6609,瀧澤科,102.98,117.88,99.96,11.42,-6.0,-18.91,99,98,85,59,11,107.5,0.94,86.5,57.88,0.79
3081,聯亞,102.48,100.14,60.02,-0.63,0.26,-17.45,99,97,74,71,13,352.5,1.0,259.75,178.38,0.05
6442,光聖,99.95,84.27,80.69,249.28,49.26,11.0,99,98,99,96,85,493.5,0.92,402.75,323.45,0.67
2424,隴華,96.83,94.66,91.35,-23.71,-25.82,-9.41,99,98,16,9,36,82.9,1.0,63.84,40.93,0.16
8374,羅昇,93.44,97.05,133.12,150.98,-8.13,-13.88,99,99,99,53,21,144.0,0.93,138.8,96.49,0.2
4903,聯光通,88.79,97.42,46.97,39.25,-16.2,-7.69,98,96,95,28,43,50.0,0.92,37.95,27.98,0.27
3013,晟銘電,81.59,81.34,53.55,72.39,51.24,14.84,98,96,97,96,87,163.0,1.0,128.7,103.37,0.64
3167,大量,81.59,78.58,68.79,1.77,10.0,15.96,98,97,77,82,88,147.0,0.91,120.08,82.99,0.35
8080,印鉐,78.28,70.89,111.73,10.54,28.37,-23.44,98,99,84,92,5,36.0,0.98,33.2,22.03,0.38
6231,系微,75.59,73.39,84.0,100.48,9.81,67.39,98,98,98,82,98,595.0,1.0,509.25,378.42,0.51
4562,穎漢,71.82,75.66,98.29,135.47,2.16,-10.84,98,98,99,74,30,70.0,0.85,68.47,52.5,0.4
6151,晉倫,71.79,44.37,23.21,7.61,-15.45,-10.31,98,90,82,30,32,61.1,1.0,43.79,33.75,1.56
2070,精湛,71.46,78.67,144.33,32.79,-9.95,-3.84,98,99,93,48,56,95.5,0.78,96.04,61.64,0.1
4569,六方科-KY,70.57,62.12,113.46,-11.71,-7.34,-11.65,98,99,54,55,28,227.5,0.79,207.85,135.92,0.51
4510,高鋒,69.57,77.32,108.69,48.61,-3.88,-5.94,98,99,96,63,50,46.5,0.87,46.36,30.43,0.35
3363,上詮,69.55,63.96,42.89,45.77,36.82,30.69,98,95,96,94,94,244.5,0.99,196.5,161.18,0.06
3293,鈊象,69.33,66.88,46.28,41.85,25.88,19.85,98,96,95,90,90,1120.0,1.0,923.3,716.3,0.46
6706,惠特,69.1,66.85,87.55,46.43,-33.92,-21.8,98,98,96,3,7,173.5,1.0,158.7,111.55,0.33
4956,光鋐,64.91,63.49,21.95,23.15,13.42,44.18,98,90,90,85,96,43.95,1.0,32.12,26.6,0.17
6223,旺矽,64.72,67.18,85.55,60.85,59.06,39.1,98,98,97,97,95,834.0,1.0,782.8,594.47,0.28
1595,川寶,64.53,62.95,-11.24,-17.75,-19.99,-14.72,98,48,36,18,19,75.7,1.0,50.27,41.49,3.69
5443,均豪,63.58,68.76,122.57,83.26,41.36,4.67,98,99,98,95,76,130.5,0.84,140.5,96.66,0.07
8064,東捷,63.26,53.11,70.46,89.79,23.67,-5.17,98,97,98,90,53,68.0,1.0,60.44,48.65,0.85
6854,錼創科技-KY創,62.09,44.7,-13.39,-35.57,-30.36,-15.83,98,40,3,5,16,168.0,1.0,101.65,84.41,0.75
6739,竹陞科技,61.84,59.5,108.61,45.43,30.01,7.3,98,99,96,92,80,190.0,0.85,181.9,132.69,0.3
3498,陽程,60.47,53.2,34.96,19.99,-16.55,-21.03,97,94,89,27,8,74.1,1.0,58.0,47.27,0.5
8111,立碁,59.01,62.03,16.76,-7.07,3.79,-1.11,97,87,64,77,65,44.3,0.98,34.83,27.38,0.25
4563,百德,58.76,50.78,84.48,-5.64,-13.2,-3.19,97,98,67,37,59,112.5,0.84,103.1,72.34,0.13
6535,順藥,58.62,62.79,55.58,44.51,90.29,77.32,97,96,95,98,98,317.5,0.99,283.8,228.83,0.28
6438,迅得,57.8,53.22,2.25,-8.85,-0.24,-8.71,97,76,60,70,39,222.0,1.0,154.15,131.93,1.52
3581,博磊,57.28,55.33,59.72,26.5,-8.43,-4.08,97,97,91,52,56,65.3,1.0,56.31,42.63,0.86
4576,大銀微系統,56.78,52.54,33.47,-10.08,-8.88,-18.94,97,93,58,51,11,141.0,1.0,105.74,86.84,2.16
1540,喬福,56.6,57.99,81.43,44.41,1.57,-5.73,97,98,95,73,51,45.55,0.93,44.15,31.45,0.21
6640,均華,56.57,71.4,128.05,141.63,136.47,27.94,97,99,99,99,93,826.0,0.83,924.6,684.18,0.25
