Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
A,,,,,,,,,,,,113.99,0.24,116.78,119.91,
AA,,,,,,,,,,,,,,,,
AACB,,,,,,,,,,,,10.11,0.85,10.09,10.0,
AACBU,,,,,,,,,,,,10.6,1.0,10.38,10.21,
AACG,,,,,,,,,,,,,,,,
AACI,,,,,,,,,,,,,,,,
AACIU,,,,,,,,,,,,,,,,
AACT,,,,,,,,,,,,,,,,
AAL,,,,,,,,,,,,12.51,0.34,11.65,12.11,
AAM,,,,,,,,,,,,,,,,
AAME,,,,,,,,,,,,2.17,0.6,1.99,1.75,
AAMI,,,,,,,,,,,,40.06,1.0,35.19,30.22,
AAOI,,,,,,,,,,,,,,,,
AAON,,,,,,,,,,,,78.69,0.3,80.55,90.28,
AAP,,,,,,,,,,,,,,,,
AAPG,,,,,,,,,,,,,,,,
AAPL,,,,,,,,,,,,211.18,0.52,206.99,211.63,
AARD,,,,,,,,,,,,,,,,
AAT,,,,,,,,,,,,,,,,
AAUC,,,,,,,,,,,,13.52,0.8,13.52,11.74,
AB,,,,,,,,,,,,,,,,
ABAT,,,,,,,,,,,,2.4,0.16,1.69,1.46,
ABBV,,,,,,,,,,,,,,,,
ABCB,,,,,,,,,,,,,,,,
ABCL,,,,,,,,,,,,,,,,
ABEO,,,,,,,,,,,,,,,,
ABEV,,,,,,,,,,,,2.35,0.56,2.4,2.31,
ABG,,,,,,,,,,,,229.96,0.37,241.46,240.05,
ABL,,,,,,,,,,,,,,,,
ABLV,,,,,,,,,,,,,,,,
ABM,,,,,,,,,,,,,,,,
ABNB,,,,,,,,,,,,,,,,
ABOS,,,,,,,,,,,,1.5,0.09,1.25,1.39,
ABP,,,,,,,,,,,,,,,,
ABR,,,,,,,,,,,,,,,,
ABSI,,,,,,,,,,,,,,,,
ABT,,,,,,,,,,,,,,,,
ABTS,,,,,,,,,,,,4.71,0.55,4.58,3.23,
ABUS,,,,,,,,,,,,3.13,0.5,3.25,3.32,
ABVC,,,,,,,,,,,,,,,,
ABVE,,,,,,,,,,,,2.7,0.72,1.85,1.25,
ABVX,,,,,,,,,,,,,,,,
AC,,,,,,,,,,,,,,,,
ACA,,,,,,,,,,,,,,,,
ACAD,,,,,,,,,,,,,,,,
ACB,,,,,,,,,,,,,,,,
ACCO,,,,,,,,,,,,3.75,0.15,3.73,4.04,
ACCS,,,,,,,,,,,,12.02,0.29,11.31,10.33,
ACDC,,,,,,,,,,,,,,,,
ACEL,,,,,,,,,,,,,,,,
ACET,,,,,,,,,,,,,,,,
ACGL,,,,,,,,,,,,88.35,0.47,90.16,92.02,
ACGLN,,,,,,,,,,,,,,,,
ACGLO,,,,,,,,,,,,,,,,
ACHC,,,,,,,,,,,,,,,,
ACHR,,,,,,,,,,,,,,,,
ACHV,,,,,,,,,,,,,,,,
ACI,,,,,,,,,,,,,,,,
ACIC,,,,,,,,,,,,,,,,
ACIU,,,,,,,,,,,,,,,,
ACIW,,,,,,,,,,,,45.34,0.66,45.96,48.44,
ACLS,,,,,,,,,,,,70.96,0.19,67.75,66.61,
ACLX,,,,,,,,,,,,67.59,0.5,66.12,66.66,
ACM,,,,,,,,,,,,,,,,
ACMR,,,,,,,,,,,,,,,,
ACN,,,,,,,,,,,,,,,,
ACNB,,,,,,,,,,,,43.03,0.77,42.6,41.5,
ACNT,,,,,,,,,,,,,,,,
ACOG,,,,,,,,,,,,,,,,
ACON,,,,,,,,,,,,,,,,
ACR,,,,,,,,,,,,,,,,
ACRE,,,,,,,,,,,,4.43,0.19,4.6,4.76,
ACRS,,,,,,,,,,,,1.61,0.08,1.5,1.65,
ACRV,,,,,,,,,,,,1.35,0.03,1.36,2.83,
ACT,,,,,,,,,,,,34.85,0.77,35.67,34.83,
ACTG,,,,,,,,,,,,3.7,0.3,3.72,3.81,
ACTU,,,,,,,,,,,,5.76,0.0,7.23,8.09,
ACU,,,,,,,,,,,,41.61,0.7,40.86,39.7,
ACVA,,,,,,,,,,,,,,,,
ACXP,,,,,,,,,,,,,,,,
ADAG,,,,,,,,,,,,,,,,
ADAP,,,,,,,,,,,,,,,,
ADBE,,,,,,,,,,,,365.79,0.06,380.25,406.34,
ADC,,,,,,,,,,,,,,,,
ADCT,,,,,,,,,,,,,,,,
ADD,,,,,,,,,,,,0.9,0.0,0.92,4.67,
ADEA,,,,,,,,,,,,,,,,
ADGM,,,,,,,,,,,,1.4,0.09,1.37,1.61,
ADI,,,,,,,,,,,,,,,,
ADIL,,,,,,,,,,,,0.45,0.03,0.44,0.65,
ADM,,,,,,,,,,,,54.39,0.3,52.55,50.63,
ADMA,,,,,,,,,,,,16.73,0.67,18.56,18.61,
ADN,,,,,,,,,,,,1.91,0.0,2.23,3.12,
ADNT,,,,,,,,,,,,21.75,0.34,19.67,17.72,
ADP,,,,,,,,,,,,301.79,0.8,306.34,301.01,
ADPT,,,,,,,,,,,,,,,,
ADSE,,,,,,,,,,,,,,,,
ADSK,,,,,,,,,,,,297.03,0.81,295.13,286.38,
ADT,,,,,,,,,,,,8.45,0.97,8.35,7.96,
ADTN,,,,,,,,,,,,9.41,0.69,8.77,8.46,
ADTX,,,,,,,,,,,,,,,,
ADUR,,,,,,,,,,,,,,,,
ADUS,,,,,,,,,,,,,,,,
ADV,,,,,,,,,,,,1.46,0.1,1.46,1.81,
ADVB,,,,,,,,,,,,0.69,0.0,0.91,1.93,
ADVM,,,,,,,,,,,,2.77,0.04,2.57,3.61,
ADXN,,,,,,,,,,,,,,,,
AEBI,,,,,,,,,,,,9.92,0.0,12.4,13.19,
AEE,,,,,,,,,,,,,,,,
AEG,,,,,,,,,,,,7.07,0.93,7.0,6.68,
AEHL,,,,,,,,,,,,,,,,
AEHR,,,,,,,,,,,,15.07,0.18,12.84,11.56,
AEI,,,,,,,,,,,,,,,,
AEIS,,,,,,,,,,,,143.25,1.0,131.09,118.2,
AEM,,,,,,,,,,,,,,,,
AEMD,,,,,,,,,,,,1.29,0.0,1.73,2.9,
AENT,,,,,,,,,,,,5.59,0.54,4.38,3.96,
AEO,,,,,,,,,,,,9.94,0.05,10.09,12.0,
AEON,,,,,,,,,,,,,,,,
AEP,,,,,,,,,,,,,,,,
AER,,,,,,,,,,,,,,,,
AERT,,,,,,,,,,,,1.0,0.05,0.96,0.93,
AES,,,,,,,,,,,,13.37,0.34,11.72,11.73,
AESI,,,,,,,,,,,,13.42,0.11,13.82,15.63,
AEVA,,,,,,,,,,,,32.23,0.88,26.34,15.94,
AEYE,,,,,,,,,,,,,,,,
AFBI,,,,,,,,,,,,18.65,0.75,18.45,18.27,
AFCG,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,
AFJK,,,,,,,,,,,,11.15,0.95,11.14,10.99,
AFJKU,,,,,,,,,,,,,,,,
AFL,,,,,,,,,,,,,,,,
AFRI,,,,,,,,,,,,7.8,0.02,7.83,8.5,
AFRM,,,,,,,,,,,,68.9,0.82,62.91,56.63,
AFYA,,,,,,,,,,,,,,,,
AG,,,,,,,,,,,,8.28,0.79,8.01,6.97,
AGAE,,,,,,,,,,,,1.84,0.47,2.17,1.76,
AGCO,,,,,,,,,,,,107.02,0.54,104.48,99.4,
AGEN,,,,,,,,,,,,,,,,
AGFY,,,,,,,,,,,,,,,,
AGH,,,,,,,,,,,,0.62,0.01,0.64,1.3,
AGI,,,,,,,,,,,,,,,,
AGIO,,,,,,,,,,,,40.0,0.48,35.66,34.51,
AGL,,,,,,,,,,,,,,,,
AGM,,,,,,,,,,,,,,,,
AGMH,,,,,,,,,,,,2.85,0.01,3.14,16.97,
AGNC,,,,,,,,,,,,9.25,0.86,9.14,8.98,
AGNCL,,,,,,,,,,,,24.79,0.99,24.52,24.11,
AGNCM,,,,,,,,,,,,,,,,
AGNCN,,,,,,,,,,,,,,,,
AGNCO,,,,,,,,,,,,25.43,1.0,25.0,24.47,
AGNCP,,,,,,,,,,,,25.3,1.0,24.69,24.16,
AGO,,,,,,,,,,,,83.39,0.71,84.98,85.55,
AGRI,,,,,,,,,,,,0.75,0.0,0.99,3.26,
AGRO,,,,,,,,,,,,9.5,0.25,9.41,9.81,
AGX,,,,,,,,,,,,,,,,
AGYS,,,,,,,,,,,,,,,,
AHCO,,,,,,,,,,,,,,,,
AHG,,,,,,,,,,,,,,,,
AHH,,,,,,,,,,,,7.08,0.1,6.98,7.64,
AHL,,,,,,,,,,,,,,,,
AHR,,,,,,,,,,,,,,,,
AHT,,,,,,,,,,,,,,,,
AI,,,,,,,,,,,,28.71,0.45,25.64,25.63,
AIFE,,,,,,,,,,,,10.22,1.0,10.17,10.08,
AIFEU,,,,,,,,,,,,10.2,0.49,10.27,10.22,
AIFF,,,,,,,,,,,,,,,,
AIFU,,,,,,,,,,,,,,,,
AIG,,,,,,,,,,,,81.21,0.82,82.89,80.69,
AIHS,,,,,,,,,,,,,,,,
AII,,,,,,,,,,,,,,,,
AIM,,,,,,,,,,,,9.25,0.09,8.73,12.18,
AIMD,,,,,,,,,,,,,,,,
AIN,,,,,,,,,,,,,,,,
AIOT,,,,,,,,,,,,4.42,0.42,4.54,5.09,
AIP,,,,,,,,,,,,,,,,
AIR,,,,,,,,,,,,,,,,
AIRE,,,,,,,,,,,,,,,,
AIRG,,,,,,,,,,,,,,,,
AIRI,,,,,,,,,,,,3.5,0.16,3.46,3.73,
AIRJ,,,,,,,,,,,,,,,,
AIRO,,,,,,,,,,,,,,,,
AIRS,,,,,,,,,,,,,,,,
AIRT,,,,,,,,,,,,,,,,
AISP,,,,,,,,,,,,,,,,
AIT,,,,,,,,,,,,260.7,0.89,241.95,235.23,
AIV,,,,,,,,,,,,,,,,
AIXI,,,,,,,,,,,,,,,,
AIZ,,,,,,,,,,,,,,,,
AJG,,,,,,,,,,,,,,,,
AKA,,,,,,,,,,,,10.9,0.3,11.25,13.01,
AKAM,,,,,,,,,,,,,,,,
AKAN,,,,,,,,,,,,,,,,
