Ticker,Sector,Industry,RS (%),1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,RS Rank (P),Price,MA10,MA30,Volume / VMA10,EPS RS (%),TTM EPS,Rev RS (%),TTM RPS,TTM PE
CHSN,Consumer Cyclical,Restaurants,348.43,481.89,-24.71,2.49,-26.54,-50.94,100.0,12.24,4.27,2.77,2.55,,-0.02,,1.287,
DOGZ,Consumer Cyclical,Leisure,226.47,190.86,129.74,68.86,-30.16,-69.65,99.98,40.24,25.67,16.18,1.96,,-3.62,,1.304,
WGS,Healthcare,Health Information Services,219.74,184.69,140.78,201.5,62.82,-65.44,99.96,60.0,39.89,27.48,2.0,40.45,-4.38,20.54,9.334,
LASE,Industrials,Specialty Industrial Machinery,218.22,180.02,225.25,0.59,-36.12,-64.91,99.94,8.53,6.47,3.47,6.31,-32.0,-0.57,-43.96,0.389,
CAPR,Healthcare,Biotechnology,201.83,289.55,-16.89,-13.33,28.98,12.72,99.92,17.77,7.99,6.24,1.51,15.31,-0.89,-67.23,0.907,
RAIL,Industrials,Railroads,182.23,185.82,129.94,-7.42,22.57,-17.54,99.9,13.02,8.68,5.27,1.33,286.08,-0.66,22.35,16.728,
NEON,Technology,Electronic Components,174.38,154.3,194.37,0.27,-62.87,-60.2,99.88,8.6,6.98,3.8,0.32,32.95,-0.72,32.16,0.289,
INSG,Technology,Communication Equipment,167.76,137.2,153.9,107.95,-55.27,-71.46,99.86,19.54,15.31,9.76,1.08,4482.95,-3.73,24.72,16.535,
CLOV,Healthcare,Healthcare Plans,164.68,174.89,100.0,7.65,-36.21,-16.41,99.85,4.07,3.0,1.71,0.89,798.77,-0.24,-15.61,4.3,
SMMT,Healthcare,Biotechnology,158.29,161.42,132.16,86.05,38.86,11.73,99.83,19.95,17.7,10.11,0.49,-27.05,-0.11,3.7,,
TIL,Healthcare,Biotechnology,152.88,206.03,31.31,-11.59,-2.91,-36.11,99.81,42.07,36.95,19.76,0.93,189.5,-18.39,3.7,,
NOVVU,Financial Services,Shell Companies,151.89,162.71,0.55,-14.48,-9.28,-2.25,99.79,41.0,27.04,16.8,0.0,,,3.7,,
SEZL,Financial Services,Credit Services,142.07,121.02,127.73,93.11,118.5,42.6,99.77,179.75,145.28,99.01,0.88,205.33,7.05,19.88,33.982,25.5
WLGS,Industrials,Engineering & Construction,139.08,118.46,6.48,-32.13,-56.22,-45.65,99.75,1.92,1.07,0.74,0.34,,-0.04,,0.478,
LUMN,Communication Services,Telecom Services,139.04,173.28,194.58,-39.38,-31.21,-32.08,99.73,6.2,6.19,2.99,0.3,982.95,-2.1,-1.23,13.927,
HROW,Healthcare,Drug Manufacturers—Specialty & Generic,137.04,144.8,118.71,37.87,-23.29,-43.15,99.71,50.71,43.13,25.82,0.93,64.2,-0.95,30.63,4.379,
NOVV,Financial Services,Shell Companies,132.89,141.81,-5.61,-9.58,-10.92,-4.56,99.69,37.0,24.76,16.2,0.0,501.34,0.02,3.7,,1850.01
WLFC,Industrials,Rental & Leasing Services,132.82,111.64,61.35,18.08,-3.35,-9.79,99.67,174.85,122.81,82.88,1.44,125.22,12.89,30.88,74.904,13.56
CRVS,Healthcare,Biotechnology,130.93,114.74,81.73,-15.92,-21.37,16.8,99.65,6.33,4.9,2.95,1.44,86.52,-0.43,3.7,,
COMM,Technology,Communication Equipment,129.89,143.33,80.5,-59.76,-68.5,-46.16,99.63,6.01,4.89,2.52,0.82,1766.61,-5.06,29.08,23.959,
WAVE,Utilities,Utilities—Renewable,128.13,97.17,44.11,3.43,-46.29,-39.18,99.61,6.6,4.26,3.29,2.19,3.92,-0.32,-764999999999996.4,0.055,
ASTS,Technology,Communication Equipment,126.01,156.0,226.71,141.11,-54.75,-6.19,99.59,24.18,27.22,14.16,0.5,-53.35,-1.3,160.84,0.013,
RCAT,Technology,Computer Hardware,124.37,127.32,112.87,8.35,-24.45,-21.09,99.58,3.38,2.96,1.79,1.4,-1.7,-0.42,-66.16,0.29,
ESGL,Industrials,Waste Management,115.05,114.22,64.34,-33.77,-90.11,-92.41,99.56,2.11,1.69,1.15,0.44,,-4.12,,,
