Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
DRUG,1385.93,1855.95,-19.96,-36.85,-50.63,-28.32,99,33,17,12,25,48.94,1.0,10.53,4.25,0.81
SNYR,835.45,442.28,413.42,337.43,-28.05,-43.56,99,99,99,24,15,8.4,1.0,3.13,1.42,9.72
MNPR,352.33,56.54,39.24,1.4,-9.15,-72.04,99,96,74,49,6,16.93,0.91,5.51,4.09,3.1
DOGZ,311.98,207.66,133.91,53.75,-36.16,-76.16,99,99,97,19,5,56.84,1.0,32.05,18.99,0.6
CHSN,249.28,318.93,12.1,-22.27,-21.64,-50.86,99,86,29,30,12,10.56,0.69,6.21,3.42,0.74
CAPR,234.48,202.89,-0.38,-13.93,0.42,-18.14,99,69,41,72,36,21.78,1.0,11.29,7.16,0.47
WAVE,198.76,151.08,24.54,-1.85,70.86,-48.35,99,92,69,98,13,9.2,1.0,5.21,3.78,1.19
RAIL,192.0,169.22,176.74,-9.82,16.28,-22.76,99,99,51,90,30,14.57,1.0,10.59,5.93,0.93
WGS,182.06,200.33,156.31,206.94,66.97,-57.75,99,99,99,98,10,58.82,0.98,45.04,30.85,0.68
CRVS,179.61,151.2,138.93,3.86,-34.31,7.03,99,99,78,20,84,8.31,1.0,5.65,3.35,2.14
WLGS,175.26,226.41,84.32,-32.27,-42.72,-51.4,99,98,20,15,12,2.38,0.71,1.48,0.87,0.45
GEVO,169.52,189.91,34.34,-45.08,-47.95,-44.22,99,95,13,13,15,2.96,0.93,1.64,0.97,1.38
FTEL,167.76,58.6,53.43,180.76,130.32,-13.97,99,97,99,99,43,32.17,1.0,17.7,17.12,1.44
SEZL,159.59,185.62,155.12,74.79,77.11,136.53,99,99,98,98,99,212.96,0.94,165.09,108.31,1.11
SMMT,152.21,160.3,271.21,115.25,28.2,59.26,99,99,99,94,98,21.26,0.66,19.7,11.28,0.3
INSG,149.95,152.82,174.16,88.28,-42.75,-73.53,99,99,98,15,5,19.64,0.87,16.99,10.86,0.68
EVGO,143.18,132.87,29.44,6.63,-53.69,-46.28,99,94,82,11,14,8.81,1.0,5.71,3.63,0.72
SMR,141.74,145.42,60.84,81.69,-15.82,-73.31,99,98,98,38,5,18.41,1.0,11.97,9.73,2.25
CLOV,139.53,149.79,110.61,38.64,-40.85,-18.24,99,99,96,16,36,3.92,0.96,3.32,1.92,0.67
CRMD,138.75,106.03,52.86,1.29,20.87,-28.79,99,97,74,92,25,13.04,1.0,8.31,6.01,1.75
NOVVU,138.08,142.57,183.03,-6.82,-3.93,-4.85,99,99,59,63,66,41.0,1.0,32.57,18.76,0.0
NXL,137.62,34.44,-21.82,52.71,106.45,-41.35,99,31,97,99,16,2.29,0.91,0.98,1.21,8.27
NEON,137.14,177.94,324.84,49.06,-46.99,-62.82,99,99,97,13,8,8.05,0.6,8.17,4.28,0.2
LUMN,132.49,148.86,194.58,-15.91,-27.47,-44.44,99,99,38,25,15,6.44,0.86,6.35,3.33,1.18
LBPH,131.63,137.1,56.4,121.29,52.91,213.76,99,97,99,97,99,59.6,1.0,39.99,30.19,0.85
WLFC,130.48,158.3,94.33,30.76,2.12,-11.64,99,98,95,74,47,184.91,0.89,142.39,92.51,1.64
COMM,128.85,124.92,155.66,-31.48,-72.24,-51.6,99,99,21,6,12,6.22,0.42,5.44,2.84,0.84
CURI,128.26,130.7,83.4,24.04,38.46,-53.6,98,98,93,96,11,2.62,1.0,1.93,1.39,0.87
HROW,123.08,157.8,132.9,57.72,-35.37,-49.65,98,99,98,19,12,50.6,0.86,46.45,28.6,1.1
NOVV,121.94,125.21,158.1,-8.75,-3.34,-6.52,98,99,54,65,62,37.0,1.0,29.6,17.9,0.0
ASTS,121.74,150.07,184.23,138.43,-53.99,-42.79,98,99,99,11,16,25.62,0.76,27.37,15.77,0.84
PCTTU,120.92,55.63,36.91,-9.46,-15.73,-63.59,98,95,52,38,8,17.92,1.0,10.74,8.73,0.54
PCT,120.23,68.69,55.94,-9.17,-25.56,-58.1,98,97,53,26,10,14.12,1.0,8.79,6.73,2.52
WVE,118.83,134.36,-7.78,-2.22,-6.49,-8.76,98,54,68,56,54,14.45,0.93,8.32,6.59,0.75
AZ,111.78,81.27,-26.86,-36.49,-76.15,-44.79,98,26,17,5,15,5.36,0.72,2.53,1.71,3.14
