Ticker,RS,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,9 Months Ago,Rating (RS),Rating (1M),Rating (3M),Rating (6M),Rating (9M),Price,52W pos,MA10,MA30,Volume / VMA10
A,,,,,,,,,,,,,,,,
AA,,,,,,,,,,,,,,,,
AACB,,,,,,,,,,,,,,,,
AACBU,,,,,,,,,,,,10.6,1.0,10.42,10.27,
AACG,,,,,,,,,,,,,,,,
AACI,,,,,,,,,,,,,,,,
AACIU,,,,,,,,,,,,,,,,
AACT,,,,,,,,,,,,,,,,
AAL,,,,,,,,,,,,,,,,
AAM,,,,,,,,,,,,,,,,
AAME,,,,,,,,,,,,2.17,0.6,2.09,1.78,
AAMI,,,,,,,,,,,,,,,,
AAOI,,,,,,,,,,,,,,,,
AAON,,,,,,,,,,,,78.69,0.3,75.29,86.78,
AAP,,,,,,,,,,,,,,,,
AAPG,,,,,,,,,,,,,,,,
AAPL,,,,,,,,,,,,,,,,
AARD,,,,,,,,,,,,,,,,
AAT,,,,,,,,,,,,,,,,
AAUC,,,,,,,,,,,,,,,,
AB,,,,,,,,,,,,,,,,
ABAT,,,,,,,,,,,,,,,,
ABBV,,,,,,,,,,,,,,,,
ABCB,,,,,,,,,,,,,,,,
ABCL,,,,,,,,,,,,,,,,
ABEO,,,,,,,,,,,,,,,,
ABEV,,,,,,,,,,,,2.35,0.56,2.38,2.43,
ABG,,,,,,,,,,,,229.96,0.37,246.72,233.6,
ABL,,,,,,,,,,,,,,,,
ABLV,,,,,,,,,,,,,,,,
ABM,,,,,,,,,,,,,,,,
ABNB,,,,,,,,,,,,,,,,
ABOS,,,,,,,,,,,,1.5,0.09,1.28,1.13,
ABP,,,,,,,,,,,,,,,,
ABR,,,,,,,,,,,,,,,,
ABSI,,,,,,,,,,,,,,,,
ABT,,,,,,,,,,,,,,,,
ABTS,,,,,,,,,,,,,,,,
ABUS,,,,,,,,,,,,,,,,
ABVC,,,,,,,,,,,,,,,,
ABVE,,,,,,,,,,,,,,,,
ABVX,,,,,,,,,,,,,,,,
AC,,,,,,,,,,,,,,,,
ACA,,,,,,,,,,,,,,,,
ACAD,,,,,,,,,,,,,,,,
ACB,,,,,,,,,,,,,,,,
ACCO,,,,,,,,,,,,3.75,0.15,3.7,3.65,
ACCS,,,,,,,,,,,,12.02,0.29,11.84,10.2,
ACDC,,,,,,,,,,,,,,,,
ACEL,,,,,,,,,,,,,,,,
ACET,,,,,,,,,,,,,,,,
ACGL,,,,,,,,,,,,88.35,0.47,89.17,91.77,
ACGLN,,,,,,,,,,,,,,,,
ACGLO,,,,,,,,,,,,,,,,
ACHC,,,,,,,,,,,,,,,,
ACHR,,,,,,,,,,,,,,,,
ACHV,,,,,,,,,,,,,,,,
ACI,,,,,,,,,,,,,,,,
ACIC,,,,,,,,,,,,,,,,
ACIU,,,,,,,,,,,,,,,,
ACIW,,,,,,,,,,,,,,,,
ACLS,,,,,,,,,,,,,,,,
ACLX,,,,,,,,,,,,67.59,0.5,66.42,63.93,
ACM,,,,,,,,,,,,,,,,
ACMR,,,,,,,,,,,,30.08,0.82,27.33,23.76,
ACN,,,,,,,,,,,,,,,,
ACNB,,,,,,,,,,,,43.03,0.77,42.97,41.89,
ACNT,,,,,,,,,,,,,,,,
ACOG,,,,,,,,,,,,,,,,
ACON,,,,,,,,,,,,,,,,
ACR,,,,,,,,,,,,,,,,
ACRE,,,,,,,,,,,,,,,,
ACRS,,,,,,,,,,,,,,,,
ACRV,,,,,,,,,,,,1.35,0.03,1.27,1.33,
ACT,,,,,,,,,,,,34.85,0.77,36.1,35.69,
ACTG,,,,,,,,,,,,3.7,0.3,3.74,3.55,
ACTU,,,,,,,,,,,,,,,,
ACU,,,,,,,,,,,,41.61,0.7,41.4,39.89,
ACVA,,,,,,,,,,,,,,,,
ACXP,,,,,,,,,,,,,,,,
ADAG,,,,,,,,,,,,,,,,
ADAP,,,,,,,,,,,,,,,,
ADBE,,,,,,,,,,,,365.79,0.06,374.24,383.52,
ADC,,,,,,,,,,,,,,,,
ADCT,,,,,,,,,,,,,,,,
ADD,,,,,,,,,,,,,,,,
ADEA,,,,,,,,,,,,,,,,
ADGM,,,,,,,,,,,,,,,,
ADI,,,,,,,,,,,,,,,,
ADIL,,,,,,,,,,,,0.45,0.03,0.35,0.54,
ADM,,,,,,,,,,,,54.39,0.3,54.05,50.06,
ADMA,,,,,,,,,,,,,,,,
ADN,,,,,,,,,,,,1.91,0.0,2.04,2.35,
ADNT,,,,,,,,,,,,21.75,0.34,21.09,16.52,
ADP,,,,,,,,,,,,301.79,0.8,304.67,306.9,
ADPT,,,,,,,,,,,,,,,,
ADSE,,,,,,,,,,,,,,,,
ADSK,,,,,,,,,,,,297.03,0.81,299.28,288.75,
ADT,,,,,,,,,,,,8.45,0.97,8.4,8.21,
ADTN,,,,,,,,,,,,,,,,
ADTX,,,,,,,,,,,,,,,,
ADUR,,,,,,,,,,,,,,,,
ADUS,,,,,,,,,,,,,,,,
ADV,,,,,,,,,,,,1.46,0.1,1.5,1.36,
ADVB,,,,,,,,,,,,0.69,0.0,0.7,1.14,
ADVM,,,,,,,,,,,,2.77,0.04,2.43,2.64,
ADXN,,,,,,,,,,,,,,,,
AEBI,,,,,,,,,,,,,,,,
AEE,,,,,,,,,,,,,,,,
AEG,,,,,,,,,,,,7.07,0.93,7.05,6.82,
AEHL,,,,,,,,,,,,,,,,
AEHR,,,,,,,,,,,,,,,,
AEI,,,,,,,,,,,,,,,,
AEIS,,,,,,,,,,,,,,,,
AEM,,,,,,,,,,,,,,,,
AEMD,,,,,,,,,,,,1.29,0.0,1.31,2.34,
AENT,,,,,,,,,,,,,,,,
AEO,,,,,,,,,,,,,,,,
AEON,,,,,,,,,,,,,,,,
AEP,,,,,,,,,,,,107.4,1.0,104.16,104.11,
AER,,,,,,,,,,,,,,,,
AERT,,,,,,,,,,,,,,,,
AES,,,,,,,,,,,,,,,,
AESI,,,,,,,,,,,,,,,,
AEVA,,,,,,,,,,,,32.23,0.88,30.56,19.35,
AEYE,,,,,,,,,,,,,,,,
AFBI,,,,,,,,,,,,18.65,0.75,18.56,18.34,
AFCG,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,
AFJK,,,,,,,,,,,,11.15,0.95,11.16,11.11,
AFJKU,,,,,,,,,,,,,,,,
AFL,,,,,,,,,,,,,,,,
AFRI,,,,,,,,,,,,7.8,0.02,7.78,7.95,
AFRM,,,,,,,,,,,,68.9,0.82,66.59,55.68,
AFYA,,,,,,,,,,,,,,,,
AG,,,,,,,,,,,,,,,,
AGAE,,,,,,,,,,,,1.84,0.47,2.29,2.02,
AGCO,,,,,,,,,,,,107.02,0.54,106.44,98.98,
AGEN,,,,,,,,,,,,,,,,
AGFY,,,,,,,,,,,,,,,,
AGH,,,,,,,,,,,,,,,,
AGI,,,,,,,,,,,,,,,,
AGIO,,,,,,,,,,,,,,,,
AGL,,,,,,,,,,,,,,,,
AGM,,,,,,,,,,,,,,,,
AGMH,,,,,,,,,,,,2.85,0.01,2.58,2.84,
AGNC,,,,,,,,,,,,9.25,0.86,9.24,8.81,
AGNCL,,,,,,,,,,,,24.79,0.99,24.6,24.29,
AGNCM,,,,,,,,,,,,,,,,
AGNCN,,,,,,,,,,,,,,,,
AGNCO,,,,,,,,,,,,25.43,1.0,25.1,24.71,
AGNCP,,,,,,,,,,,,25.3,1.0,24.81,24.33,
AGO,,,,,,,,,,,,83.39,0.71,85.27,85.35,
AGRI,,,,,,,,,,,,,,,,
AGRO,,,,,,,,,,,,9.5,0.25,9.35,9.55,
AGX,,,,,,,,,,,,,,,,
AGYS,,,,,,,,,,,,,,,,
AHCO,,,,,,,,,,,,,,,,
AHG,,,,,,,,,,,,,,,,
AHH,,,,,,,,,,,,,,,,
AHL,,,,,,,,,,,,,,,,
AHR,,,,,,,,,,,,,,,,
AHT,,,,,,,,,,,,,,,,
AI,,,,,,,,,,,,28.71,0.45,25.72,24.01,
AIFE,,,,,,,,,,,,,,,,
AIFEU,,,,,,,,,,,,,,,,
AIFF,,,,,,,,,,,,,,,,
AIFU,,,,,,,,,,,,,,,,
AIG,,,,,,,,,,,,81.21,0.82,83.18,82.96,
AIHS,,,,,,,,,,,,,,,,
AII,,,,,,,,,,,,,,,,
AIM,,,,,,,,,,,,9.25,0.09,9.06,7.73,
AIMD,,,,,,,,,,,,,,,,
AIN,,,,,,,,,,,,,,,,
AIOT,,,,,,,,,,,,,,,,
AIP,,,,,,,,,,,,,,,,
AIR,,,,,,,,,,,,,,,,
AIRE,,,,,,,,,,,,,,,,
AIRG,,,,,,,,,,,,,,,,
AIRI,,,,,,,,,,,,,,,,
AIRJ,,,,,,,,,,,,,,,,
AIRO,,,,,,,,,,,,,,,,
AIRS,,,,,,,,,,,,,,,,
AIRT,,,,,,,,,,,,,,,,
AISP,,,,,,,,,,,,,,,,
AIT,,,,,,,,,,,,,,,,
AIV,,,,,,,,,,,,,,,,
AIXI,,,,,,,,,,,,,,,,
AIZ,,,,,,,,,,,,,,,,
AJG,,,,,,,,,,,,,,,,
AKA,,,,,,,,,,,,10.9,0.3,10.89,10.67,
AKAM,,,,,,,,,,,,,,,,
AKAN,,,,,,,,,,,,,,,,
AKBA,,,,,,,,,,,,,,,,
AKR,,,,,,,,,,,,18.55,0.48,18.54,19.04,
AKRO,,,,,,,,,,,,,,,,
AKTX,,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,
ALAB,,,,,,,,,,,,102.13,0.61,94.58,83.8,
ALAR,,,,,,,,,,,,11.92,0.24,12.38,9.26,
ALB,,,,,,,,,,,,,,,,
ALBT,,,,,,,,,,,,,,,,
ALC,,,,,,,,,,,,,,,,
ALCO,,,,,,,,,,,,,,,,
ALCY,,,,,,,,,,,,,,,,
ALCYU,,,,,,,,,,,,,,,,
ALDF,,,,,,,,,,,,10.46,0.92,10.47,10.37,
ALDFU,,,,,,,,,,,,,,,,
ALDX,,,,,,,,,,,,5.39,0.6,4.24,2.99,
ALE,,,,,,,,,,,,,,,,
ALEC,,,,,,,,,,,,1.59,0.09,1.53,1.33,
ALEX,,,,,,,,,,,,,,,,
ALF,,,,,,,,,,,,10.52,0.82,10.54,10.45,
ALFUU,,,,,,,,,,,,,,,,
ALG,,,,,,,,,,,,,,,,
ALGM,,,,,,,,,,,,,,,,
ALGN,,,,,,,,,,,,,,,,
ALGS,,,,,,,,,,,,,,,,
ALGT,,,,,,,,,,,,,,,,
ALHC,,,,,,,,,,,,12.41,0.51,13.43,15.27,
ALIT,,,,,,,,,,,,,,,,
ALK,,,,,,,,,,,,,,,,
ALKS,,,,,,,,,,,,29.22,0.47,29.25,29.53,
ALKT,,,,,,,,,,,,,,,,
ALL,,,,,,,,,,,,,,,,
ALLE,,,,,,,,,,,,152.82,1.0,146.25,140.41,
ALLO,,,,,,,,,,,,,,,,
ALLR,,,,,,,,,,,,,,,,
ALLT,,,,,,,,,,,,8.04,0.8,8.67,7.64,
ALLY,,,,,,,,,,,,,,,,
ALM,,,,,,,,,,,,4.53,0.58,5.93,4.76,
ALMS,,,,,,,,,,,,,,,,
ALMU,,,,,,,,,,,,,,,,
ALNT,,,,,,,,,,,,,,,,
ALNY,,,,,,,,,,,,,,,,
ALOT,,,,,,,,,,,,,,,,
ALRM,,,,,,,,,,,,,,,,
ALRS,,,,,,,,,,,,22.06,0.82,21.98,20.46,
ALSN,,,,,,,,,,,,86.99,0.53,92.38,96.0,
ALT,,,,,,,,,,,,4.08,0.19,4.7,5.21,
ALTG,,,,,,,,,,,,,,,,
ALTI,,,,,,,,,,,,4.41,0.29,4.17,3.64,
ALTO,,,,,,,,,,,,,,,,
ALTS,,,,,,,,,,,,,,,,
ALUR,,,,,,,,,,,,3.14,0.0,2.65,2.59,
ALV,,,,,,,,,,,,,,,,
ALVO,,,,,,,,,,,,,,,,
ALX,,,,,,,,,,,,,,,,
ALXO,,,,,,,,,,,,,,,,
ALZN,,,,,,,,,,,,3.28,0.0,3.07,4.27,
AM,,,,,,,,,,,,,,,,
AMAL,,,,,,,,,,,,,,,,
AMAT,,,,,,,,,,,,,,,,
AMBA,,,,,,,,,,,,,,,,
AMBC,,,,,,,,,,,,,,,,
AMBI,,,,,,,,,,,,4.4,0.17,4.62,4.54,
AMBO,,,,,,,,,,,,,,,,
AMBP,,,,,,,,,,,,4.57,0.93,4.46,3.9,
AMBR,,,,,,,,,,,,,,,,
AMC,,,,,,,,,,,,3.54,0.02,3.18,3.07,
AMCR,,,,,,,,,,,,,,,,
AMCX,,,,,,,,,,,,,,,,
AMD,,,,,,,,,,,,,,,,
AME,,,,,,,,,,,,,,,,
AMED,,,,,,,,,,,,97.46,0.94,97.22,95.22,
AMG,,,,,,,,,,,,,,,,
AMGN,,,,,,,,,,,,,,,,
AMH,,,,,,,,,,,,36.15,0.62,35.98,36.73,
AMIX,,,,,,,,,,,,,,,,
AMKR,,,,,,,,,,,,,,,,
AMLX,,,,,,,,,,,,,,,,
AMN,,,,,,,,,,,,,,,,
AMOD,,,,,,,,,,,,1.23,0.02,1.15,1.23,
AMP,,,,,,,,,,,,544.55,0.9,532.52,505.92,
AMPG,,,,,,,,,,,,,,,,
AMPH,,,,,,,,,,,,,,,,
AMPL,,,,,,,,,,,,,,,,
AMPX,,,,,,,,,,,,8.66,1.0,5.54,3.63,
AMPY,,,,,,,,,,,,,,,,
AMR,,,,,,,,,,,,,,,,
AMRC,,,,,,,,,,,,,,,,
AMRK,,,,,,,,,,,,,,,,
AMRN,,,,,,,,,,,,15.82,0.42,15.55,12.48,
AMRX,,,,,,,,,,,,,,,,
AMRZ,,,,,,,,,,,,,,,,
AMS,,,,,,,,,,,,,,,,
AMSC,,,,,,,,,,,,42.72,1.0,37.73,28.43,
AMSF,,,,,,,,,,,,,,,,
AMST,,,,,,,,,,,,,,,,
AMT,,,,,,,,,,,,,,,,
AMTB,,,,,,,,,,,,19.95,0.37,18.82,17.94,
AMTD,,,,,,,,,,,,1.03,0.01,1.04,1.03,
AMTM,,,,,,,,,,,,25.24,0.49,23.68,21.9,
AMTX,,,,,,,,,,,,,,,,
AMWD,,,,,,,,,,,,52.45,0.03,53.98,56.24,
AMWL,,,,,,,,,,,,,,,,
AMX,,,,,,,,,,,,,,,,
AMZE,,,,,,,,,,,,,,,,
AMZN,,,,,,,,,,,,,,,,
AN,,,,,,,,,,,,,,,,
ANAB,,,,,,,,,,,,,,,,
ANDE,,,,,,,,,,,,,,,,
ANEB,,,,,,,,,,,,,,,,
ANET,,,,,,,,,,,,,,,,
ANF,,,,,,,,,,,,,,,,
ANGH,,,,,,,,,,,,,,,,
ANGI,,,,,,,,,,,,,,,,
ANGO,,,,,,,,,,,,,,,,
